year,dix_DET eaux_NOUN,dix_DET lots_NOUN
1800,0.0,9.432493452976587e-09
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,3.900678446910888e-09
1804,7.4155526164076946e-09,1.730295728918918e-08
1805,0.0,0.0
1806,1.729001475325731e-08,2.881669125542885e-09
1807,2.8469551160981155e-09,0.0
1808,4.5321479902327155e-09,1.8128591960930862e-08
1809,2.259030518203531e-09,2.259030518203531e-09
1810,1.1700633351097167e-08,0.0
1811,0.0,1.504245972228091e-08
1812,0.0,2.6672081432366213e-08
1813,0.0,2.30059336026045e-08
1814,0.0,6.293354282149721e-09
1815,0.0,5.394447111228828e-09
1816,0.0,0.0
1817,3.113746815941454e-09,0.0
1818,0.0,1.668964877410417e-08
1819,0.0,2.070210003424222e-09
1820,1.779972080839798e-08,1.3053129244156025e-08
1821,0.0,9.86148829262845e-10
1822,1.0025615893027862e-09,5.012807946513931e-09
1823,0.0,4.941343334508019e-09
1824,0.0,5.052667617633233e-09
1825,0.0,7.044354433105582e-09
1826,8.807984341885344e-10,0.0
1827,0.0,1.1060728055678481e-08
1828,0.0,0.0
1829,0.0,6.001223074036943e-09
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,1.5591206103948707e-09,4.365537620287796e-08
1832,1.8941957335982806e-08,2.705993873419743e-09
1833,6.950177322551099e-09,1.1583628278799551e-08
1834,0.0,9.334530925997342e-10
1835,0.0,2.571449897459388e-08
1836,0.0,2.1506400549320404e-08
1837,1.3915781860163179e-09,1.878630628837641e-08
1838,6.312161904276081e-10,5.049729523420865e-09
1839,6.9914749545318955e-09,9.088918062616358e-09
1840,6.369688665408546e-10,1.910906599622564e-09
1841,0.0,3.2102742686390684e-09
1842,0.0,2.0124795163667386e-09
1843,0.0,8.26967572198356e-09
1844,2.7442805805577564e-09,8.232842074740176e-09
1845,5.580227946389016e-10,5.022205318283568e-09
1846,0.0,5.269050973311096e-09
1847,5.393223645455691e-10,5.3932236454556914e-09
1848,0.0,4.02261068899179e-09
1849,0.0,7.54147322368226e-09
1850,0.0,1.0862393651223101e-08
1851,1.9348316282474798e-09,2.644269958551604e-08
1852,6.510545436100301e-10,1.4974254503030693e-08
1853,0.0,2.9262466227919504e-08
1854,0.0,3.013485372349578e-08
1855,1.5920811335945473e-09,1.1675261646360013e-08
1856,5.177189232874468e-10,1.2942973248719625e-08
1857,9.763017949637742e-09,1.6597130780837688e-08
1858,0.0,1.9085335978274998e-08
1859,2.036869339860914e-09,1.1711998260111045e-08
1860,1.8308735638683515e-09,3.204028820036342e-09
1861,2.8295781828724387e-09,1.2733102239259608e-08
1862,1.1294965851504912e-08,5.873382225018986e-09
1863,1.4983862484108101e-09,2.996772519026081e-08
1864,1.9178911792039344e-09,1.1507347075223606e-08
1865,1.8827377989971694e-09,2.447559044327363e-08
1866,0.0,2.919367680931373e-08
1867,4.85281148598915e-10,3.0572712361731647e-08
1868,1.4819622196071691e-09,2.6675320397018254e-08
1869,1.0255390314739543e-08,7.81363052038131e-09
1870,5.734048791339319e-10,2.0069169881509197e-08
1871,4.248470908407853e-09,3.504988654867702e-08
1872,1.8746751262455064e-08,3.5679300847135664e-08
1873,1.3169210166807943e-08,9.577606929767057e-09
1874,1.9716209442854904e-08,7.169530746864439e-09
1875,1.2015207051518928e-08,4.691652399912982e-08
1876,2.0556450319730857e-08,1.3301232115736639e-08
1877,9.27722432209066e-09,9.895705588292003e-09
1878,9.058633176906028e-09,8.454723976480949e-09
1879,8.553055375060126e-09,7.94212251520321e-09
1880,2.5671385017744797e-09,1.4119262203848848e-08
1881,2.0917522824959178e-08,1.6036766581351003e-08
1882,1.7969540522244642e-08,1.9966154951589488e-08
1883,2.9700893744433188e-08,1.3270612164717477e-08
1884,1.3203393933736152e-08,9.902545450302114e-09
1885,1.0957580620640783e-08,3.416186822313705e-08
1886,2.968593459939939e-08,1.2906927970846027e-08
1887,3.460330111337839e-08,1.697520485288706e-08
1888,5.706553452000662e-09,1.0779045211961602e-08
1889,2.5687060478674084e-08,3.696430717070598e-08
1890,8.520702365899524e-09,6.554386366985909e-09
1891,9.561329950003028e-09,1.9760081571007504e-08
1892,2.005923960268774e-08,1.6298132621272998e-08
1893,9.23762488724833e-09,1.8475249996541265e-08
1894,5.671385583383426e-09,1.5123694296903523e-08
1895,1.0833505648122355e-08,1.444467478961542e-08
1896,2.358811590497112e-09,1.2383760683576384e-08
1897,6.992056156285287e-09,1.8645483379486905e-08
1898,1.1882545614128048e-08,1.527755810748488e-08
1899,1.1055156790007459e-08,1.9899282222013426e-08
1900,1.5573159428683425e-09,1.8687791425442413e-08
1901,2.235495621949468e-09,2.9620316865930363e-08
1902,1.9641135384773634e-09,2.2096276808269977e-08
1903,1.0800440541913758e-09,2.214090244478939e-08
1904,1.289910045443321e-08,1.1286712897629059e-08
1905,2.0643036169332163e-09,8.257214467732865e-09
1906,3.086510713679047e-09,1.5946971465563564e-08
1907,8.228549397415463e-09,2.7257069046271454e-08
1908,6.875944702500192e-09,2.161011192214346e-08
1909,5.500983557560346e-09,1.5952852705503062e-08
1910,3.2064905175488434e-09,2.2445432179551972e-08
1911,1.0108711201439746e-08,2.2877609140437016e-08
1912,7.814131564032323e-09,2.81308754068732e-08
1913,1.1136278676993072e-08,1.4318072061314524e-08
1914,6.696743715117748e-10,6.696743604095445e-09
1915,0.0,1.8849219074468238e-08
1916,2.197492410260793e-09,3.5159878564172686e-08
1917,5.483212106582869e-09,8.773139548168274e-09
1918,9.189101035644853e-09,2.2972752589112133e-09
1919,9.207848372660976e-10,1.6574126571189396e-08
1920,7.572231730534895e-10,3.786115865267448e-09
1921,6.058197998815018e-09,7.572747429129834e-09
1922,1.2542490157585462e-08,2.139601357198373e-08
1923,5.307974060286824e-09,1.0615948564662858e-08
1924,7.734974771800296e-09,6.445812328337297e-09
1925,5.499088961968823e-09,8.798542339150117e-09
1926,1.114613823460786e-08,1.4489979882625903e-08
1927,1.1149225098705529e-08,1.1149224765638621e-08
1928,1.82816659588525e-08,1.0283437212876834e-08
1929,2.116677211283502e-08,1.7824650200282122e-08
1930,1.7856125911208665e-08,1.3654684494213143e-08
1931,1.4826963656844327e-08,1.8248571542756054e-08
1932,4.38381475564853e-09,2.1919072779041926e-08
1933,3.4411986593596566e-09,1.3764794637438627e-08
1934,3.5944740517379614e-09,7.188948103475923e-09
1935,5.98414207075848e-09,8.377798899061872e-09
1936,4.849885826274658e-09,1.8187072292619177e-08
1937,2.5182236296217297e-09,2.0145788925951535e-08
1938,1.2965214457594243e-09,1.6854778905894818e-08
1939,3.058810094103137e-09,2.7529290846928234e-08
1940,0.0,1.2678914806940611e-08
1941,8.854508237732261e-09,1.1806010391524069e-08
1942,2.4273694165799498e-08,9.102635312174812e-09
1943,5.806470415592457e-09,1.4516175816936538e-08
1944,3.2131861615880553e-09,9.639558484764166e-09
1945,2.178504043826024e-09,2.178504043826024e-09
1946,8.352662561605939e-09,0.0
1947,8.344609669919123e-09,5.960435478513659e-09
1948,1.0871888278529696e-08,7.61032148410834e-09
1949,3.9268033269479474e-09,9.817008095325264e-09
1950,0.0,9.57182533234402e-09
1951,2.1322803522849654e-09,7.462981344019681e-09
1952,8.435843135146115e-09,8.435843135146115e-09
1953,1.0773827385790469e-09,8.619061908632375e-09
1954,1.9545072227344917e-09,1.07497895029951e-08
1955,1.8771215692936494e-09,1.407841176970237e-08
1956,1.4825940475304833e-08,6.976913269340912e-09
1957,2.6505113659425206e-09,8.835037701437898e-09
1958,5.790570523078742e-09,4.9633461784992505e-09
1959,4.650448914844674e-09,7.750747710311146e-09
1960,2.076250060767393e-09,7.61291657491725e-09
1961,2.779263708063695e-09,1.3201502446769098e-08
1962,0.0,1.5220695481765745e-08
1963,1.0345685086399214e-08,1.1638895625054602e-08
1964,4.867174552281028e-09,1.764350843203033e-08
1965,4.924839036579698e-09,7.11365660821528e-09
