year,conséquences_NOUN égales_ADJ,conséquences_NOUN légales_ADJ
1800,0.0,0.0
1801,0.0,7.143547975374531e-09
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,4.2021465418429216e-08
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,4.27043254092041e-08
1808,0.0,9.064295980465431e-09
1809,0.0,2.259030518203531e-09
1810,0.0,2.3401267590372754e-09
1811,0.0,1.7549536934780008e-08
1812,0.0,8.00162425207418e-09
1813,0.0,2.8757416448144113e-09
1814,3.1466771410748606e-09,6.293354282149721e-09
1815,0.0,0.0
1816,9.270415546325239e-09,0.0
1817,0.0,0.0
1818,0.0,7.152706427149269e-09
1819,1.449147024601416e-08,7.24573512300708e-09
1820,0.0,3.5599443393152796e-09
1821,0.0,1.97229765852569e-09
1822,0.0,8.02049271442229e-09
1823,0.0,1.680056804787e-08
1824,0.0,2.5263338088166165e-08
1825,0.0,1.584979791857677e-08
1826,0.0,6.1655889282974385e-09
1827,0.0,9.217273166939322e-09
1828,0.0,2.8434133270138773e-08
1829,0.0,3.0006116702452346e-08
1830,0.0,6.366470017837855e-08
1831,0.0,6.860130952190957e-08
1832,0.0,1.0147476814381662e-07
1833,0.0,7.645194755045992e-08
1834,9.334530925997342e-10,7.934351398120043e-08
1835,0.0,6.958040899007756e-08
1836,1.3441500135158435e-09,6.38471249203576e-08
1837,0.0,6.122944007369568e-08
1838,0.0,6.375283834181289e-08
1839,1.3982950353153e-09,1.5800733166315695e-07
1840,0.0,8.79017063581955e-08
1841,6.420548537278137e-10,1.4253617708348543e-07
1842,0.0,1.8447729610571173e-07
1843,1.1813822142769936e-09,1.5653314400232432e-07
1844,0.0,1.0153838303494922e-07
1845,0.0,1.852635707066952e-07
1846,0.0,1.7212233260899268e-07
1847,5.393223645455691e-10,2.7235779498369084e-07
1848,0.0,2.5020638666495287e-07
1849,8.379414939696517e-10,2.924415758442933e-07
1850,0.0,2.4372495932567517e-07
1851,6.449438760824933e-10,2.934494571782409e-07
1852,0.0,3.7045004841473883e-07
1853,0.0,2.412660422557167e-07
1854,1.506742641765868e-08,1.9120045502418748e-07
1855,0.0,1.9051904587286117e-07
1856,0.0,1.8793197398281336e-07
1857,0.0,1.840328887059428e-07
1858,0.0,2.476200093859404e-07
1859,0.0,2.103067651137991e-07
1860,0.0,2.1055045740236977e-07
1861,1.8863854922557266e-09,2.598495925099087e-07
1862,0.0,2.1189355703388202e-07
1863,1.0988165932701577e-08,2.0927460653297203e-07
1864,4.794727948009836e-10,2.2103695151987068e-07
1865,1.4120533631256649e-09,2.3487153399948113e-07
1866,0.0,1.8732609419203072e-07
1867,1.455843445796745e-09,2.5428732541854515e-07
1868,8.89177353968762e-09,1.6548578685160464e-07
1869,2.9301114867763545e-09,2.1194473731611652e-07
1870,0.0,1.6743422470710811e-07
1871,0.0,3.3138073107785715e-07
1872,0.0,1.965385281188503e-07
1873,1.7958012854535355e-09,2.681730015829942e-07
1874,2.3898436563030145e-09,1.9716209886944114e-07
1875,0.0,1.8022810399642708e-07
1876,0.0,1.6203320352126127e-07
1877,3.710889595609501e-09,2.0100651587640073e-07
1878,3.6234530931267273e-09,2.2586192249818282e-07
1879,1.221865053580018e-09,1.808360299282441e-07
1880,0.0,2.425945861972423e-07
1881,3.4862537301449947e-09,1.5200066583176408e-07
1882,0.0,1.8169201765338983e-07
1883,0.0,2.0917011767096483e-07
1884,6.601696966868076e-09,2.1719582843360286e-07
1885,3.86738152613475e-09,1.8950169444753584e-07
1886,1.936039106809062e-09,2.1038292175035167e-07
1887,0.0,2.6572724387552427e-07
1888,6.340614699951175e-10,2.472839717437836e-07
1889,0.0,1.6352006770858907e-07
1890,1.3108772956016423e-09,1.9466527856337734e-07
1891,6.374220040683554e-10,2.0397504252311904e-07
1892,3.761107425503951e-09,2.4572568690928165e-07
1893,6.158416554491453e-10,2.1246536641150726e-07
1894,0.0,1.644701796976733e-07
1895,0.0,1.4083557386967982e-07
1896,5.89702897624278e-10,2.3057383202740311e-07
1897,5.826713556089658e-10,2.1150969997663083e-07
1898,1.6975064687230201e-09,2.9480030339090746e-07
1899,5.527578395003729e-10,1.708021706292584e-07
1900,3.633737311048435e-09,2.0348928853053394e-07
1901,3.353243460679778e-09,1.715742856678304e-07
1902,4.910283846193408e-10,1.6253040024949428e-07
1903,5.400220270956879e-10,2.100685687622672e-07
1904,5.374625189347171e-10,1.7467531865378305e-07
1905,5.160759042333041e-10,1.5482277793132937e-07
1906,1.0288369045596824e-09,1.7695994181110564e-07
1907,3.0857059130084963e-09,2.59713584638277e-07
1908,2.9468334439286537e-09,1.8270367951878086e-07
1909,0.0,1.364243861767811e-07
1910,0.0,1.6834075156069161e-07
1911,0.0,1.8089272102450593e-07
1912,5.209421227725386e-10,1.4378002849424476e-07
1913,0.0,1.6863506702158304e-07
1914,0.0,1.466586905252143e-07
1915,0.0,1.7671143104358578e-07
1916,0.0,2.4282291377630827e-07
1917,3.289927441585405e-09,2.401646910232813e-07
1918,2.2972752589112133e-09,1.4013379256994085e-07
1919,9.207848372660976e-10,1.4088007482815357e-07
1920,0.0,9.010955892563288e-08
1921,0.0,1.3858127762000905e-07
1922,0.0,1.1066903482515045e-07
1923,0.0,7.961961046021315e-08
1924,0.0,7.86389122708897e-08
1925,0.0,1.2977849905837502e-07
1926,2.229227691330493e-09,7.690835701623655e-08
1927,2.2298449753321847e-09,7.135503921062991e-08
1928,4.570416489713125e-09,6.741364444451392e-08
1929,1.1140406375176326e-09,8.800920880958074e-08
1930,0.0,8.0877747721253e-08
1931,0.0,6.158892773555635e-08
1932,0.0,8.110057170274132e-08
1933,5.735331320977366e-09,5.964744076436546e-08
1934,1.1981580172459871e-09,7.907842913823515e-08
1935,1.196828414151696e-09,1.0173041431471574e-07
1936,2.424942913137329e-09,8.972288867425959e-08
1937,2.5182236296217297e-09,1.0828361496351135e-07
1938,1.2965214457594243e-09,6.612259539906518e-08
1939,3.058810094103137e-09,6.576441791139587e-08
1940,7.607348528892999e-09,5.5787225505810056e-08
1941,0.0,8.264207451702532e-08
1942,0.0,7.585529493425724e-08
1943,0.0,4.935499831049128e-08
1944,3.2131861615880553e-09,2.2492303131116387e-08
1945,0.0,3.267756198965799e-08
1946,1.3921104269343232e-09,4.872386583087973e-08
1947,0.0,3.337843779149807e-08
1948,1.0871887834440486e-09,4.1313175103141475e-08
1949,9.817008317369869e-10,5.2030145525350235e-08
1950,3.190608444114673e-09,5.317680606964359e-08
1951,0.0,6.503455396433822e-08
1952,1.0544803918932644e-09,5.905090050273287e-08
1953,0.0,5.710128547775639e-08
1954,9.772536113672459e-10,6.058972701339371e-08
1955,3.754243138587299e-09,7.414630243118836e-08
1956,0.0,2.703553931837632e-07
1957,2.6505113659425206e-09,1.484286338282459e-07
1958,8.272243445794913e-10,7.693186487855996e-08
