year,trois_DET oies_NOUN,trois_DET lois_NOUN
1800,1.2576657937302116e-08,4.4018303668735825e-08
1801,3.333655484993869e-08,6.191074786165984e-08
1802,3.5805442166747525e-08,9.398928568771225e-08
1803,5.655983681407406e-08,1.0726865706800481e-07
1804,3.213406074564773e-08,6.673997243744623e-08
1805,3.127165526528586e-08,1.478296449697325e-07
1806,8.645007376628655e-09,7.492339904047185e-08
1807,0.0,1.4804166426074516e-07
1808,4.5321479902327155e-09,8.384474003975129e-08
1809,1.129515236897305e-08,6.325285539787728e-08
1810,3.042164919975221e-08,2.457133172484305e-07
1811,0.0,6.76910736352454e-08
1812,3.467370746079723e-08,1.1468995486652034e-07
1813,3.163315653864629e-08,1.5529004304681848e-07
1814,3.1466771410748606e-09,2.5173416684509675e-08
1815,0.0,7.821948599939788e-08
1816,6.952811659743929e-09,1.1588019788177917e-07
1817,2.490997452753163e-08,9.963989633376968e-08
1818,5.960588467246453e-09,8.940882834096442e-08
1819,4.140420006848444e-09,1.6251148693413597e-07
1820,8.306536791735653e-09,2.0647677700935674e-07
1821,8.875339574387908e-09,1.2326860510114557e-07
1822,1.804610860745015e-08,9.624591257306747e-08
1823,1.9765373782121287e-09,9.685033308670654e-08
1824,3.3684450784221553e-09,1.0694812857536817e-07
1825,1.7610886082763955e-09,6.95629989166946e-08
1826,0.0,1.2771577084791375e-07
1827,0.0,9.8624823863247e-08
1828,9.172301140836225e-09,1.476740436601176e-07
1829,1.2002446148073886e-08,1.1316592396504177e-07
1830,0.0,6.470838265215662e-08
1831,7.795603274018958e-09,9.510635567977488e-08
1832,0.0,9.335678852195883e-08
1833,6.950177322551099e-09,6.255159346046923e-08
1834,6.534171426153534e-09,1.0734710542692483e-07
1835,7.563087933704082e-09,1.0285799589837552e-07
1836,0.0,1.297104788022807e-07
1837,4.174734336004349e-09,8.97567931090748e-08
1838,2.5248647617104325e-09,8.584540456268996e-08
1839,0.0,8.66942917454594e-08
1840,5.7327197988676915e-09,1.0509986303475216e-07
1841,6.420548537278137e-10,8.924562777679057e-08
1842,0.0,1.1202802552290336e-07
1843,1.7720733769266417e-09,1.1400338362221873e-07
1844,1.811225169845443e-08,1.2074835176179022e-07
1845,6.138250796539069e-09,1.355995369323182e-07
1846,5.854501328173001e-10,1.4284983063106438e-07
1847,8.089835468183537e-09,1.4399907488638064e-07
1848,0.0,1.1102405750307298e-07
1849,8.379414495607307e-09,1.2652916225874833e-07
1850,1.0183494048021657e-08,1.6768820820800556e-07
1851,8.384270167027807e-09,1.2769888257935236e-07
1852,3.2552727180501506e-09,1.3476829252567768e-07
1853,1.7915795513800958e-09,1.9169900644655513e-07
1854,3.1173986725363534e-09,1.2417637984540875e-07
1855,1.5920811335945473e-08,1.1622191919968827e-07
1856,3.624032518523279e-09,1.744712800899606e-07
1857,3.905207268672939e-09,1.4595712283238527e-07
1858,9.787352039936081e-10,1.7812980246389998e-07
1859,3.055304009791371e-09,2.530810121470495e-07
1860,1.1900677859832953e-08,1.807987670687794e-07
1861,5.187560159214399e-09,1.301605969672437e-07
1862,1.1294966073549517e-08,2.4623024508230174e-07
1863,1.1987089820753027e-08,1.9828645037023307e-07
1864,2.3973640850272204e-09,1.5774655182099195e-07
1865,7.060266649094871e-09,1.4355875244120853e-07
1866,1.2650593461671633e-08,1.775948756943535e-07
1867,7.76449837758264e-09,1.7809818331215865e-07
1868,8.397785578040384e-09,1.911731253301241e-07
1869,7.325278716940886e-09,1.372268823018885e-07
1870,1.0894693147633916e-08,1.57686347534991e-07
1871,1.6993883855676017e-08,1.5825554089410332e-07
1872,1.511834801792844e-08,1.2578465735657574e-07
1873,1.5563611011071288e-08,1.616221254607808e-07
1874,1.553398404352535e-08,1.9596717493186588e-07
1875,5.721527140956084e-10,1.5505338524235412e-07
1876,4.836811839936672e-09,1.711022150630015e-07
1877,4.329371194877751e-09,1.6822698878371511e-07
1878,4.831270938865373e-09,1.6063975927238516e-07
1879,6.109325489944695e-09,1.8022509173931667e-07
1880,8.343199908722454e-09,1.6878936115460874e-07
1881,1.2550513517339823e-08,2.0778072951088689e-07
