year,facteurs_NOUN égaux_ADJ,facteurs_NOUN légaux_ADJ
1800,2.829747991484055e-08,0.0
1801,4.0480102825313224e-08,0.0
1802,1.208433673127729e-07,0.0
1803,7.801356893821776e-09,0.0
1804,5.438072037122765e-08,0.0
1805,1.1371510844071508e-08,0.0
1806,4.8988376022407465e-08,0.0
1807,6.832692633906845e-08,0.0
1808,1.1330369886763947e-07,0.0
1809,1.8072244145628247e-08,0.0
1810,1.7550951270095538e-07,0.0
1811,1.1281845502253418e-07,0.0
1812,7.734903562095496e-08,0.0
1813,4.601186631703058e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,2.1308066777692147e-07,0.0
1816,9.965696534663948e-08,0.0
1817,1.5568733857662664e-08,0.0
1818,1.9073883805731384e-08,0.0
1819,1.3456364911235141e-08,0.0
1820,2.966620371580575e-08,0.0
1821,1.0354562363090736e-07,0.0
1822,2.5064039732569654e-08,0.0
1823,3.4589405117912975e-08,0.0
1824,1.431589158329416e-08,0.0
1825,1.7610886970942374e-08,0.0
1826,3.963592831723872e-08,0.0
1827,1.566936447261469e-08,0.0
1828,4.494427585655103e-08,0.0
1829,2.4862210068476998e-08,0.0
1830,6.78394300734908e-08,0.0
1831,9.042899762334855e-08,0.0
1832,3.6530916958099624e-08,0.0
1833,8.224376557564028e-08,0.0
1834,1.6802156110884425e-08,0.0
1835,7.789980571715205e-08,0.0
1836,4.2340726480460944e-08,0.0
1837,4.5922078584226256e-08,0.0
1838,2.9035945203759184e-08,0.0
1839,2.516931019158619e-08,0.0
1840,8.407989326997267e-08,0.0
1841,2.0545755319290038e-08,0.0
1842,3.4882980060046975e-08,0.0
1843,3.485077471054865e-08,0.0
1844,9.385439625475556e-08,0.0
1845,6.41726245476093e-08,0.0
1846,1.6978054517835517e-08,0.0
1847,4.7999691332734074e-08,0.0
1848,1.0861049304367043e-07,0.0
1849,4.1059134758825167e-08,0.0
1850,1.0726613908218496e-07,0.0
1851,3.224719336003545e-08,0.0
1852,3.6459056218518526e-08,0.0
1853,2.9262466227919504e-08,0.0
1854,3.3771819119010615e-08,0.0
1855,4.2455496895854594e-08,0.0
1856,8.128186834710505e-08,0.0
1857,2.880090299584026e-08,0.0
1858,3.229826006645453e-08,0.0
1859,2.49516496353408e-08,0.0
1860,2.197048232233101e-08,0.0
1861,3.065376574795664e-08,0.0
1862,2.6204320491274302e-08,0.0
1863,4.345320192555846e-08,0.0
1864,2.5412058235474433e-08,0.0
1865,5.412870862642194e-08,0.0
1866,2.092213513549268e-08,0.0
1867,3.930777126015528e-08,0.0
1868,5.3844626535237694e-08,0.0
1869,2.9301114423674335e-08,0.0
1870,3.039045992636602e-08,0.0
1871,2.6552942955504477e-08,0.0
