year,anciennes_ADJ armes_NOUN,anciennes_ADJ larmes_NOUN
1800,1.8864987794131594e-08,0.0
1801,8.334139067756041e-08,0.0
1802,6.265952379180817e-08,0.0
1803,6.046051481689574e-08,0.0
1804,4.2021465418429216e-08,0.0
1805,1.3930100806192058e-07,0.0
1806,7.780506905419315e-08,0.0
1807,8.256169792275614e-08,0.0
1808,4.305540457494317e-08,0.0
1809,7.90660692473466e-08,0.0
1810,7.020380365929668e-08,0.0
1811,1.2535383575595915e-07,0.0
1812,2.400487453257938e-08,0.0
1813,6.326631307729258e-08,0.0
1814,1.7306724942045548e-07,0.0
1815,5.3944472000466703e-08,0.0
1816,3.7081662185300956e-08,0.0
1817,1.1365175822675155e-07,9.341240669868967e-09
1818,8.702459552978326e-08,0.0
1819,4.34744116262209e-08,0.0
1820,7.357218123615894e-08,0.0
1821,7.59334568556369e-08,0.0
1822,1.2030739071633434e-08,0.0
1823,2.3718449426723964e-08,0.0
1824,7.915846111927749e-08,0.0
1825,3.2580140141291736e-08,0.0
1826,1.2066938381849468e-07,0.0
1827,8.387718786195819e-08,0.0
1828,7.979902250099258e-08,0.0
1829,5.829759786024624e-08,0.0
1830,7.618889985572252e-08,0.0
1831,1.1693404644574912e-07,0.0
1832,9.741578133048989e-08,1.3529969367098715e-09
1833,1.4479535082045913e-07,0.0
1834,6.814207753613744e-08,8.401078055442213e-09
1835,7.487457054367042e-08,0.0
1836,7.661655238022647e-08,6.048674894287842e-09
1837,1.0436836106464398e-07,0.0
1838,1.1803742938631956e-07,0.0
1839,8.389770300709642e-08,0.0
1840,8.917564287003188e-08,6.369688665408546e-10
1841,7.062603657459476e-08,1.926164561183441e-09
1842,9.861149719014861e-08,4.024959032733477e-09
1843,7.383638506164303e-08,0.0
1844,7.354671988091255e-08,0.0
1845,5.6918325608279474e-08,0.0
1846,1.0011197093540147e-07,2.9272506640865004e-09
1847,7.011190916728083e-08,1.0786447290911383e-09
1848,7.079795238951192e-08,4.82713291560799e-09
