year,vingt - deux yeux,vingt - deux lieues
1800,0.0,4.1337223422033276e-08
1801,0.0,2.3534845183803554e-08
1802,0.0,8.129563866532408e-08
1803,0.0,2.999998116592906e-08
1804,0.0,7.611535579599149e-08
1805,0.0,4.058905744841468e-08
1806,0.0,5.3718839154726084e-08
1807,0.0,4.049433144359682e-08
1808,0.0,1.3197784198837326e-07
1809,0.0,2.4462497516530846e-07
1810,0.0,9.744303186565162e-08
1811,0.0,1.020942295149041e-07
1812,0.0,6.42601705180823e-08
1813,0.0,5.035304795342199e-08
1814,0.0,5.846944084453298e-08
1815,0.0,5.9128351992399075e-08
1816,0.0,8.359364667143154e-08
1817,0.0,5.2889831847480195e-08
1818,0.0,5.995285334847722e-08
1819,0.0,4.1832536212815796e-08
1820,0.0,9.193595928991272e-08
1821,0.0,4.6441382739459414e-08
1822,0.0,7.565685855581705e-08
1823,0.0,1.3170964052733325e-07
1824,0.0,4.042517121050082e-08
1825,0.0,9.70681139911278e-08
1826,0.0,1.4223675071090014e-07
1827,0.0,9.557621893918622e-08
1828,0.0,1.4132582748516143e-07
1829,0.0,3.184267782785355e-08
1830,0.0,1.0729085397898075e-07
1831,0.0,4.620910232233655e-08
1832,0.0,6.375297090244203e-08
1833,0.0,1.7236339999726624e-07
1834,0.0,7.1601206741434e-08
1835,0.0,5.4777395064320444e-08
1836,0.0,7.857534001232125e-08
1837,0.0,9.261005340377437e-08
1838,0.0,9.359850822177052e-08
1839,0.0,6.572617650135726e-08
1840,0.0,5.7060020708377124e-08
1841,0.0,6.458207146842199e-08
1842,0.0,6.968447419097856e-08
1843,0.0,5.034259231706528e-08
1844,0.0,7.898845666431953e-08
1845,0.0,6.405424812783167e-08
1846,0.0,7.36759560027167e-08
1847,0.0,6.774189387215301e-08
1848,0.0,6.871032809385724e-08
1849,0.0,1.0275116579805399e-07
1850,0.0,6.538458308114059e-08
1851,0.0,3.035184548139114e-08
1852,2.140059685018514e-09,5.920831469552468e-08
1853,2.614816807522402e-09,6.863893986519543e-08
1854,5.683183923466117e-10,3.5235739659356113e-08
1855,5.817787918083184e-10,4.13062941073683e-08
1856,0.0,7.599327744856055e-08
1857,0.0,1.9793880312590773e-08
1858,0.0,6.808454600104596e-08
1859,1.1148520995263311e-09,5.072577025089231e-08
1860,0.0,3.4624075828659784e-08
1861,0.0,2.943390953191738e-08
1862,0.0,5.347171949665608e-08
1863,2.1930453009133544e-09,7.127397338990704e-08
1864,0.0,2.3097974755081907e-08
1865,0.0,2.889379047132934e-08
1866,0.0,3.523942065930541e-08
1867,1.0646663550772928e-09,2.235799267946703e-08
1868,0.0,4.7066228137104815e-08
1869,0.0,6.268055163793917e-08
1870,0.0,4.3354688727959e-08
1871,0.0,1.8663881107272573e-08
1872,0.0,3.7811015651811886e-08
1873,0.0,3.739442011596594e-08
1874,0.0,1.442136099427671e-08
1875,0.0,3.89792160770952e-08
1876,0.0,1.4609828902223398e-08
1877,0.0,3.1314776549606904e-08
1878,0.0,2.99107689727407e-08
1879,1.3441058266394634e-09,2.352185113352334e-08
1880,7.066983109815794e-10,1.6254061208087478e-08
1881,0.0,2.920069164247252e-08
1882,0.0,1.172421376649524e-08
1883,0.0,1.880984612512293e-08
1884,0.0,2.1097042723905446e-08
1885,0.0,2.1306251207775517e-08
1886,0.0,2.417897215778453e-08
1887,0.0,2.8090234138744563e-08
1888,0.0,7.687921410592935e-09
1889,1.38281242012539e-09,1.728515464094471e-08
1890,6.50607701047079e-09,2.4578513446726902e-08
1891,0.0,1.194625198763788e-08
1892,6.917188488664294e-10,2.075156579905979e-08
1893,0.0,2.1058119914485474e-08
1894,6.958809639634467e-10,2.2964071533237984e-08
1895,0.0,3.387398450627188e-08
1896,0.0,2.211480421010492e-08
1897,0.0,1.4816235127668165e-08
1898,0.0,4.994074043196406e-09
1899,0.0,1.0370697189898692e-08
1900,0.0,4.588803559357757e-09
1901,0.0,1.3568161705279635e-08
