year,des_DET oies_NOUN,des_DET lois_NOUN
1800,3.772997354545282e-07,1.852227342169499e-05
1801,4.643306181772999e-07,1.988287521470511e-05
1802,4.1400042505301826e-07,2.1472075843576022e-05
1803,4.5442904728076883e-07,2.4342183962744457e-05
1804,3.3617172467970136e-07,2.5583657617289646e-05
1805,4.0368864784312564e-07,2.0485777412204698e-05
1806,1.9595349609602408e-07,1.7281370077171232e-05
1807,2.9893028363758845e-07,2.2243259564902473e-05
1808,2.809931678449118e-07,1.8069674126763857e-05
1809,5.195770000909761e-07,1.8903566910921654e-05
1810,3.9314129374190543e-07,1.7653916074777953e-05
1811,3.183987451471637e-07,1.719854697057599e-05
1812,1.520308643421231e-07,1.813701589981065e-05
1813,2.0705340375570813e-07,1.769156173736519e-05
1814,3.27254436438551e-07,2.534019051836367e-05
1815,2.751168040049379e-07,2.702618050420824e-05
1816,2.2248996955909206e-07,2.5767119154807006e-05
1817,1.9149542329621738e-07,2.974251029286279e-05
1818,3.31408723130977e-07,2.8900509875029456e-05
1819,2.1944226169523517e-07,3.2567507076919355e-05
1820,2.385162769513727e-07,3.234921459238649e-05
1821,2.790801291174816e-07,2.752538625827583e-05
1822,2.1254305693219067e-07,2.6919781419110222e-05
1823,2.15442573114899e-07,2.2388238505754998e-05
1824,1.5158002586446173e-07,2.236731816651627e-05
1825,2.4391076713925486e-07,2.2332365489319272e-05
1826,2.3164998708136153e-07,2.380974362381494e-05
1827,2.2582319425534791e-07,2.7455491931505094e-05
1828,2.1830077412410276e-07,2.4609283713061814e-05
1829,2.3490502504275312e-07,2.4602443659205164e-05
1830,2.536151120224872e-07,2.512250839004082e-05
1831,3.3053355763534853e-07,2.406814445521377e-05
1832,2.1783250325757564e-07,2.4291706722578965e-05
1833,3.475088590221276e-07,2.1160972380585008e-05
1834,2.623003139134994e-07,2.460022322736677e-05
1835,2.6243915129953166e-07,2.178396141516714e-05
1836,2.473235943822871e-07,1.8608412304388366e-05
1837,2.9710193816256947e-07,2.0081863922882803e-05
1838,2.1650715620324945e-07,1.8172083073864087e-05
1839,2.481973737644694e-07,1.8895161687737527e-05
1840,1.9427551034567614e-07,2.2197090217446203e-05
1841,2.2471919214339664e-07,1.8050729835294987e-05
1842,2.508891068231378e-07,2.1042485627731367e-05
1843,1.8665839540688012e-07,2.164587516517713e-05
1844,2.3820356265247256e-07,2.0216567122588458e-05
1845,2.985421990731041e-07,2.042865732221344e-05
1846,1.8266044810033577e-07,2.1171633491690045e-05
1847,2.3244794267185398e-07,2.3013424879536615e-05
1848,2.260707319123867e-07,2.3328730321736657e-05
1849,1.9188860278518405e-07,2.208981312890046e-05
1850,1.8058729089887038e-07,1.9364932029475312e-05
1851,2.4636856132964624e-07,1.9960368163651765e-05
1852,1.5950836518285882e-07,1.8254267871498087e-05
1853,2.573902571079145e-07,1.7879963266409504e-05
1854,1.8860262152031737e-07,1.7502633951949065e-05
1855,2.2819829226250476e-07,1.686332407757618e-05
1856,1.8948512314764798e-07,1.585980123053332e-05
1857,1.6694761151292425e-07,1.543533191750157e-05
1858,1.942789422115787e-07,1.7352974509776686e-05
1859,2.2762014584287726e-07,1.8980057333806144e-05
1860,2.1970482655397916e-07,1.697219879304157e-05
1861,2.5371885348235423e-07,1.7985742040593777e-05
