year,longueurs_NOUN égales_ADJ
1800,4.087413785214267e-08
1801,2.6193008650921e-08
1802,1.5664880947952042e-08
1803,7.996391104825307e-08
1804,3.9549615138412264e-08
1805,1.1371510844071508e-08
1806,4.034336598124355e-08
1807,1.195721210933698e-07
1808,3.6257183921861724e-08
1809,1.581321384946932e-08
1810,4.914266327205041e-08
1811,8.022645658911642e-08
1812,3.200649700829672e-08
1813,3.163315653864629e-08
1814,5.034683425719777e-08
1815,1.8880564667256294e-08
1816,1.969963250303408e-07
1817,5.7604317760251433e-08
1818,8.344824387052086e-09
1819,4.34744116262209e-08
1820,1.779972080839798e-08
1821,2.070912508145284e-08
1822,2.2056354964661296e-08
1823,4.0519015698237126e-08
1824,7.747424035642325e-08
1825,5.195211372210906e-08
1826,1.9553725394416688e-07
1827,5.069500019772022e-08
1828,6.512333783348367e-08
1829,3.3435387791769244e-08
1830,4.279102583382155e-08
1831,3.1182413096075834e-08
1832,7.441482807735156e-08
1833,5.21263281427764e-08
1834,8.214387037241977e-08
1835,4.4622218808854086e-08
1836,5.107770206791429e-08
1837,8.001574514082677e-08
1838,6.185918977053007e-08
1839,8.739343826391632e-08
1840,1.0318895959926522e-07
1841,5.521671653241356e-08
1842,4.9641162291891305e-08
1843,8.683159080646874e-08
1844,1.1416207712500182e-07
1845,7.812319324784767e-08
1846,6.322861167973315e-08
1847,1.0408921724547326e-07
1848,9.654266364123032e-08
1849,5.446619866233959e-08
1850,1.0930283877996771e-07
1851,5.611011744122152e-08
1852,6.901178295493082e-08
1853,1.0152284346531815e-07
1854,9.404152478964534e-08
1855,1.146298416188074e-07
1856,1.6722320594908524e-07
1857,1.0934580529919913e-07
1858,5.9213480341213653e-08
1859,1.2628589729501982e-07
1860,1.2724571263333928e-07
1861,1.4666646563910035e-07
1862,9.71367057900352e-08
1863,9.339940731933893e-08
1864,1.4863657327168767e-07
1865,1.1720042181195822e-07
1866,1.3185811553739768e-07
1867,1.4024625727415696e-07
1868,1.2497881130002497e-07
1869,1.3576183732766367e-07
1870,7.626285025708057e-08
1871,1.2108142755096196e-07
1872,1.3727459702295164e-07
1873,1.3947389732038573e-07
1874,1.105302658288565e-07
1875,1.5619768589658634e-07
1876,1.0217765122888522e-07
1877,7.359930975781026e-08
1878,1.1353486684129166e-07
1879,9.530547373515219e-08
1880,9.370055664703614e-08
1881,9.203709794292081e-08
1882,1.257867836557125e-07
1883,1.383935170906625e-07
1884,1.7560513754233398e-07
1885,1.4502680301120563e-07
1886,1.6908074940147344e-07
1887,1.5342972403686872e-07
1888,7.101488108673948e-08
1889,9.58565919972898e-08
1890,1.0224842839079429e-07
1891,2.1417379514332424e-07
1892,7.27147408952078e-08
1893,1.3918021579684137e-07
1894,1.2035940244459198e-07
1895,9.870527861721712e-08
1896,1.0791563198608856e-07
1897,6.292850684985751e-08
1898,1.3806385368297924e-07
1899,1.111043275159318e-07
1900,9.499627395825883e-08
1901,1.0786266102513764e-07
1902,1.2128401749578188e-07
1903,1.468859949227408e-07
1904,9.889310348398794e-08
1905,9.650619148260375e-08
1906,6.790323681116206e-08
1907,7.765693510464189e-08
1908,9.429867020571692e-08
1909,9.40668201110384e-08
1910,8.497199388557419e-08
1911,7.7677462684278e-08
1912,7.241095545396092e-08
1913,7.901454779357664e-08
1914,8.571831955350717e-08
1915,6.125996065975414e-08
1916,9.339342454950383e-08
1917,6.908847183240141e-08
1918,9.418828739171659e-08
1919,9.115770183143468e-08
1920,8.405176998849129e-08
1921,9.693116709286187e-08
1922,1.165713783279898e-07
1923,7.749642350063368e-08
1924,8.379555538340355e-08
1925,7.148815939217457e-08
1926,4.346993875969929e-08
1927,4.5711821883287485e-08
1928,6.398582996780533e-08
1929,7.798284684668033e-08
1930,4.621585603103995e-08
1931,6.729160162421977e-08
1932,6.685317543997371e-08
1933,4.3588517684156614e-08
1934,3.354842448288764e-08
1935,7.77938495843955e-08
1936,4.243650053581405e-08
1937,6.043736533456467e-08
1938,5.186085871855539e-08
1939,3.976452944698394e-08
1940,1.0396709626547818e-07
1941,5.60785480274717e-08
1942,7.282108072104165e-08
1943,6.67744117777147e-08
1944,4.4984606262232774e-08
1945,5.446259976338297e-08
1946,5.986074569364064e-08
1947,4.172304812755101e-08
1948,5.218506160531433e-08
1949,4.123143426681963e-08
1950,7.019338710279044e-08
1951,4.371174711081949e-08
1952,5.377849987553418e-08
1953,5.8178667217134716e-08
1954,5.961246785091134e-08
1955,5.349796339260138e-08
1956,6.366433069615596e-08
1957,4.50586910005768e-08
1958,6.617794667818089e-08
1959,4.8829711829512235e-08
1960,2.2838749558218296e-08
1961,3.404598203360365e-08
1962,3.2343976386073336e-08
1963,3.7503109950876024e-08
1964,3.1636634645337836e-08
1965,4.6512369067386317e-08
1966,4.154306054715562e-08
1967,3.106111279294055e-08
1968,2.9643343779639508e-08
1969,2.3162964879475112e-08
1970,1.8854771965948203e-08
1971,2.8261185391897925e-08
1972,4.2580218462262565e-08
1973,2.4809416743210022e-08
1974,2.81278591529599e-08
1975,2.627280792921738e-08
1976,1.9425991482080462e-08
1977,2.1744092748576804e-08
1978,1.9603952239322098e-08
1979,2.1067103617156135e-08
1980,1.7055452161685025e-08
1981,4.7441620409927054e-08
1982,1.0552754226011984e-08
1983,1.0104505676622466e-08
1984,1.9716628330002095e-08
1985,1.564045071233977e-08
1986,1.1389522214244607e-08
1987,1.8332450224534114e-08
1988,1.3792074149421296e-08
1989,1.3720305780395847e-08
1990,1.0897301727652575e-08
1991,1.817054240405014e-08
1992,1.3774860363469088e-08
1993,1.606370148010683e-08
1994,8.439882570598911e-09
1995,1.0844901865425527e-08
1996,7.473328622609188e-09
1997,1.5823152565985765e-08
1998,1.716526476513991e-08
1999,1.3253583119876566e-08
2000,5.743440834038438e-09
2001,1.4019877703219663e-08
2002,1.5772396722013582e-08
2003,1.12506919336397e-08
2004,2.026203915761471e-08
2005,1.261049931144953e-08
2006,1.1118302722934459e-08
2007,1.2382886716011399e-08
2008,1.1495087548496485e-08
2009,1.0013204487790972e-08
2010,1.0864724231396394e-08
2011,1.1089518636708817e-08
2012,9.872333173177594e-09
2013,2.0639525644128298e-08
2014,1.0394137106572998e-08
2015,1.8397575018980206e-08
2016,1.8020658743012063e-08
2017,1.0817128526241504e-08
2018,1.7295826992835828e-08
2019,1.5561024468979667e-08
