year,beautés_NOUN égales_ADJ
1800,1.5720821977538435e-08
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,3.9549615138412264e-08
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,4.5321479902327155e-09
1809,4.518061036407062e-09
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,1.4378708002027452e-08
1814,2.2026739543434815e-08
1815,0.0
1816,2.0858434979231788e-08
1817,9.341240669868967e-09
1818,7.152706427149269e-09
1819,1.2421260464634543e-08
1820,0.0
1821,4.930744257336528e-09
1822,1.0025615893027862e-09
1823,1.581229902569703e-08
1824,1.3473780313688621e-08
1825,2.201360693732113e-08
1826,0.0
1827,3.6869092223668076e-09
1828,2.2013523448549677e-08
1829,1.1145129263923081e-08
1830,1.0436835840010872e-09
1831,1.5591206103948707e-09
1832,0.0
1833,4.6334514003376626e-09
1834,8.401078055442213e-09
1835,7.563087933704082e-09
1836,0.0
1837,1.3915781860163179e-09
1838,6.312161904276081e-10
1839,5.5931801412612e-09
1840,4.458782232319436e-09
1841,3.2102742686390684e-09
1842,0.0
1843,3.5441467538532834e-09
1844,3.2931368743049916e-09
1845,5.580227946389016e-10
1846,1.1709002656346001e-09
1847,5.9325460100012606e-09
1848,8.045221711050488e-10
1849,0.0
1850,2.0366988096043315e-09
1851,1.9348316282474798e-09
1852,0.0
1853,5.971931837933653e-10
1854,2.0782657816909023e-09
1855,9.021793090369101e-09
1856,2.5885946719483854e-09
1857,1.0739319655783675e-08
1858,9.787352039936081e-10
1859,2.036869339860914e-09
1860,1.0069804545764782e-08
1861,0.0
1862,2.710791813242963e-09
1863,4.495158911765884e-09
1864,0.0
1865,5.177528628053096e-09
1866,1.4596839292835284e-09
1867,0.0
1868,9.87974813071446e-10
1869,3.4184632902167778e-09
1870,1.0321287824410774e-08
1871,1.0621177271019633e-09
1872,1.2094678591978436e-09
1873,5.9860045809045914e-09
1874,5.974609140757536e-10
1875,5.721527140956084e-10
1876,0.0
1877,1.8554447978047506e-09
1878,1.2078177347163432e-09
1879,0.0
1880,3.2089231272180996e-09
1881,0.0
1882,0.0
1883,1.2638677882037541e-09
1884,5.941527270181268e-09
1885,4.511945039809007e-09
1886,1.936039106809062e-09
1887,6.528924623161458e-10
1888,0.0
1889,1.8795409673089125e-09
1890,1.3108772956016423e-09
1891,1.2748440081367107e-09
1892,1.8805537127519756e-09
1893,3.079208221734575e-09
1894,0.0
1895,0.0
1896,2.948514543632541e-09
1897,4.078699600285063e-09
1898,5.6583548957434e-10
1899,5.527578395003729e-10
1900,4.15284251431558e-09
1901,5.58873880507349e-09
1902,9.820567692386817e-10
