year,elles_PRON essaient_VERB,elles_PRON laissaient_VERB
1800,9.432493897065797e-09,3.144164395507687e-08
1801,1.4287095950749062e-08,3.5717737434382e-08
1802,0.0,3.8043282302169246e-08
1803,0.0,2.145373123596528e-08
1804,0.0,3.707776485839531e-08
1805,0.0,1.1371510622026904e-08
1806,8.645007376628655e-09,2.881669214360727e-08
1807,5.693910232196231e-09,0.0
1808,1.8128591960930862e-08,9.064295980465431e-09
1809,2.0331274441787173e-08,3.162642769893864e-08
1810,2.106114038724627e-08,2.574139479349924e-08
1811,0.0,6.769107585569145e-08
1812,3.467370746079723e-08,3.7340914360584065e-08
1813,0.0,3.4508900625951355e-08
1814,0.0,8.810695817373926e-08
1815,1.3486118000116676e-08,2.966945977789237e-08
1816,2.3176038865813098e-09,5.0987285504788815e-08
1817,0.0,4.981994772279563e-08
1818,1.1921177378582115e-09,6.91428301280439e-08
1819,1.2421260464634543e-08,3.3123360054787554e-08
1820,2.3732961373923445e-08,6.28923482182131e-08
1821,2.859831660373402e-08,5.818278214775319e-08
1822,1.604098542884458e-08,6.115625694746996e-08
1823,2.9648061783404955e-09,7.214361641416644e-08
1824,6.736890156844311e-09,4.968456579490521e-08
1825,0.0,4.931048280809591e-08
1826,6.1655889282974385e-09,4.492072136486058e-08
1827,9.217273166939322e-09,4.5164637085814974e-08
1828,1.4675682002973645e-08,5.4116576109208836e-08
1829,1.800366966620004e-08,9.94488407179972e-08
1830,6.262101504006523e-09,5.0096811143873765e-08
1831,4.677361831184612e-09,3.741889376129848e-08
1832,2.0294953273491956e-08,9.335678852195883e-08
1833,1.853380560135065e-08,1.1004446953677416e-07
1834,3.080395316601425e-08,6.440826227915863e-08
1835,1.3613558280667348e-08,8.092504089063368e-08
1836,1.344150035720304e-08,5.779844869380213e-08
1837,2.365682938432201e-08,1.0228099789344469e-07
1838,1.3886755745318169e-08,6.501526783608824e-08
1839,2.2372720676067104e-08,8.599514522700247e-08
1840,1.2739377108772487e-08,7.197748308485075e-08
1841,8.346713542550788e-09,9.374000686790396e-08
1842,2.683305977413397e-08,9.861149763423782e-08
1843,2.008349847537616e-08,7.738053220407437e-08
1844,1.975882124582995e-08,9.220782626329083e-08
1845,4.464182357111213e-09,9.988607718725007e-08
1846,1.3465353276842507e-08,8.254846939337313e-08
1847,1.294373674909366e-08,1.0031395802911902e-07
1848,1.609044364414558e-08,9.573813741781123e-08
1849,1.5920887941334172e-08,1.390982884430514e-07
1850,1.1541293254424545e-08,8.214685109919628e-08
1851,1.2898877521649865e-08,1.1608989858302721e-07
1852,1.0416872919805087e-08,1.0742400036178879e-07
1853,2.2096148244443725e-08,8.778739779558009e-08
1854,3.4810952009856067e-08,8.57284652155954e-08
1855,2.2289135870323662e-08,5.73149208094037e-08
1856,1.2942973248719625e-08,1.1648676068176655e-07
1857,1.8549735303352577e-08,1.4107561518983402e-07
1858,8.319249067412215e-09,8.12350231527148e-08
1859,1.7313389832906978e-08,9.165912295827638e-08
1860,7.323494338740133e-09,1.1717590453486082e-07
1861,1.4619487842537637e-08,9.620566121526508e-08
1862,1.1746764450037972e-08,7.95165622236027e-08
1863,2.9967726078439227e-09,1.4883969967627309e-07
1864,1.7740493074569486e-08,1.0740190248270665e-07
1865,1.8827376990770972e-08,7.62508767238046e-08
1866,2.432806400776144e-09,8.952727559297102e-08
1867,1.552899675516528e-08,7.764498732854008e-08
1868,4.44588676984381e-09,8.397786022129594e-08
1869,3.027781758646597e-08,9.57169774551403e-08
1870,6.307453670473251e-09,9.23181886491875e-08
1871,7.434824311758348e-09,1.232056545674709e-07
1872,1.3908880269752899e-08,1.2034204921462788e-07
1873,1.915521447015678e-08,9.39802706767523e-08
