year,soyez_VERB également_ADV
1800,2.2009151834367913e-08
1801,1.4287095284615248e-08
1802,1.1189200677108602e-08
1803,1.3652374120098898e-08
1804,2.2246659181490713e-08
1805,5.685755422035754e-09
1806,1.152667650217154e-08
1807,1.4234775580490577e-08
1808,0.0
1809,0.0
1810,2.106114038724627e-08
1811,1.0028307073639553e-08
1812,5.3344164641089264e-09
1813,2.8757416448144113e-09
1814,9.440030979135372e-09
1815,8.091670444798638e-09
1816,0.0
1817,1.556873407970727e-09
1818,5.960588467246453e-09
1819,1.9666995143552413e-08
1820,2.3732962262101864e-09
1821,4.930744257336528e-09
1822,1.1028177482330648e-08
1823,7.906149512848515e-09
1824,1.7684336661716316e-08
1825,4.4027217427355936e-09
1826,1.4973573048138178e-08
1827,1.1982455028203276e-08
1828,1.0089531432555532e-08
1829,7.715858452161939e-09
1830,1.878630406793036e-08
1831,2.494592932222872e-08
1832,2.0294954272692678e-08
1833,1.1583628500844156e-09
1834,1.0267984240641681e-08
1835,2.117664621437143e-08
1836,8.064899859050456e-09
1837,3.1310508852300245e-08
1838,1.1361890983607736e-08
1839,4.894032734625853e-09
1840,9.554532942601668e-09
1841,1.1556987367100646e-08
1842,1.408735705865638e-08
1843,9.4510577697271e-09
1844,7.1351298203126134e-09
1845,6.138250796539069e-09
1846,8.196301859442201e-09
1847,1.0786447290911383e-09
1848,5.63165514222419e-09
1849,1.6758829879393033e-09
1850,4.073397619208663e-09
1851,5.804495106787044e-09
1852,3.906327261660181e-09
1853,2.9859659189668264e-09
1854,1.714569253241649e-08
1855,1.8574279891936385e-08
1856,2.0191037897188124e-08
1857,1.122747095294585e-08
1858,1.0766087521485446e-08
1859,2.342399829657893e-08
1860,6.408057418028079e-09
1861,8.960331143725853e-09
1862,6.325180823552046e-09
1863,1.0988165488612367e-08
1864,4.31525504218655e-09
1865,1.553258677233771e-08
1866,1.0704348518686402e-08
1867,1.067618526917613e-08
1868,1.975949626142892e-09
1869,7.813630742425914e-09
1870,1.6055337059839303e-08
1871,1.6993883633631413e-08
1872,8.466275014384905e-09
1873,6.5846050834039715e-09
1874,1.7923826867161097e-09
1875,3.4329163400848017e-09
1876,6.650616279912924e-09
1877,5.566334282391949e-09
1878,1.8117265465633636e-09
1879,3.6655952717623563e-09
1880,1.6686400039489513e-08
1881,2.370652524286143e-08
1882,8.652000449416164e-09
1883,2.5277355764075082e-09
1884,1.1222884843675729e-08
1885,1.4180398411056672e-08
1886,5.808117431449489e-09
1887,7.181816974455302e-09
1888,1.9021844099853524e-09
1889,7.518164091280255e-09
1890,5.243509182406569e-09
1891,1.912266012205066e-09
1892,1.8805537127519756e-09
1893,7.390099865389743e-09
1894,4.4110775032635274e-09
1895,1.2639089774779677e-08
1896,4.717623180994224e-09
1897,4.661370955894029e-09
1898,3.3950129374460403e-09
1899,1.1055156790007459e-08
1900,4.6719478286050276e-09
1901,2.794369458047896e-09
1902,7.365425824801264e-09
1903,5.940242298052567e-09
1904,1.0749250378694342e-09
1905,3.6125313851442797e-09
1906,3.6009290549365858e-09
1907,1.1828539481228972e-08
1908,5.402527980535865e-09
1909,2.8055016088046614e-08
1910,6.947395769785203e-09
1911,1.5961122423746588e-09
1912,2.6047105583515417e-09
1913,6.3635876568213234e-09
1914,7.366418253162976e-09
1915,2.3561523843085297e-09
1916,5.493730803607377e-09
1917,3.289927441585405e-09
1918,4.594550517822427e-09
1919,8.287063701928332e-09
1920,1.817335615328375e-08
1921,2.2718242842501013e-09
1922,5.164554894854234e-09
1923,1.0615948120573648e-08
1924,2.578324886925998e-09
1925,6.598906754362588e-09
1926,4.458455382660986e-09
1927,6.689534814974252e-09
1928,2.2852082448565625e-09
1929,2.0052731031228177e-08
1930,5.2518018822667045e-09
1931,3.4216069977333063e-09
1932,2.1919073223131136e-09
1933,6.882397318719313e-09
1934,1.1981580172459871e-09
1935,4.787313656606784e-09
1936,4.849885826274658e-09
1937,1.2591118148108649e-09
1938,2.5930428915188486e-09
1939,4.588215141154706e-09
1940,5.0715658339584024e-09
1941,0.0
1942,1.2136847082899749e-08
1943,5.806470415592457e-09
1944,1.927911696952833e-08
1945,2.178504043826024e-09
1946,1.3921104269343232e-09
1947,1.0728783861324587e-08
1948,1.7395020757149382e-08
1949,1.9634016634739737e-09
1950,5.317680518146517e-09
1951,1.1727541604500402e-08
1952,2.1089607837865287e-09
1953,3.2321482157371406e-09
1954,4.886268056836229e-09
1955,2.815682353940474e-09
1956,1.1337484284723587e-08
1957,9.718541194025931e-09
1958,7.445019101215422e-09
1959,5.425523363911111e-09
1960,3.4604167309382206e-09
1961,6.94815938118154e-09
1962,5.07356523460345e-09
1963,7.759263898066138e-09
1964,4.258777719368112e-09
1965,4.924839036579698e-09
1966,2.7695373772118614e-09
1967,7.395503542895199e-09
1968,7.63540675130514e-09
1969,1.8167031212712459e-09
1970,7.3579600190498695e-09
1971,8.221435865429783e-09
1972,3.078088173236182e-09
1973,5.513203671370093e-09
1974,2.250228725575454e-09
1975,2.8557400888473694e-09
1976,0.0
1977,4.113747231748732e-09
1978,5.940591352171509e-10
1979,2.3407893401383717e-09
1980,1.7055452605774235e-09
1981,6.325549528618524e-10
1982,3.103751144983846e-09
1983,8.209910973278056e-09
1984,3.479405208395292e-09
1985,1.2031116103372597e-09
1986,7.193382389747427e-09
1987,4.277571907795874e-09
1988,2.9982769045311386e-09
1989,7.683371050504206e-09
1990,4.358920779878872e-09
1991,4.103025585955322e-09
1992,2.2039777225479895e-09
1993,2.2156829704300662e-09
1994,3.1649559639745917e-09
1995,2.168980273165033e-09
1996,3.736664533349199e-09
1997,1.3425704548097883e-08
1998,3.337690346327804e-09
1999,5.0272213059088244e-09
2000,4.4180314962005696e-09
2001,3.943090520763803e-09
2002,6.571832411594869e-09
2003,5.833692307000149e-09
2004,7.928623979580607e-09
2005,8.106749049829887e-09
2006,8.647568661146465e-09
2007,9.586750504553265e-09
2008,2.8950589481269162e-08
2009,1.5735035496788896e-08
2010,2.172944846279279e-08
2011,3.785732172190137e-08
2012,2.92765731657596e-08
2013,2.7333424412745444e-08
2014,2.533570864216017e-08
2015,2.881547978006438e-08
2016,2.2163339163938645e-08
2017,3.295450845541836e-08
2018,3.484979949064382e-08
2019,3.214244603810812e-08
