year,nos_DET armes_NOUN,nos_DET larmes_NOUN
1800,2.094013488829205e-06,9.746910025754119e-07
1801,2.052579279876454e-06,1.004859079500875e-06
1802,2.9472355720372434e-06,9.175144271011959e-07
1803,1.4003435175879986e-06,8.679009759759992e-07
1804,1.5547942950888682e-06,1.1864884612577953e-06
1805,1.2650806127112446e-06,8.528633195226121e-07
1806,1.8644399091272135e-06,5.878605167097817e-07
1807,2.149451162836158e-06,6.547996918015997e-07
1808,1.6995554652510236e-06,8.293830879857467e-07
1809,1.5722852069188775e-06,7.274078441810161e-07
1810,2.026549807965239e-06,1.3713142550386692e-06
1811,1.253538407297583e-06,5.691064099977439e-07
1812,1.3282697324257242e-06,4.56092607237224e-07
1813,1.535646013905989e-06,7.620715543055212e-07
1814,4.288920994355294e-06,1.7117923931664336e-06
1815,2.308823280117167e-06,1.0303394333277538e-06
1816,1.9699632218816987e-06,8.992302831245524e-07
1817,2.6544691777985463e-06,7.052636359361486e-07
1818,2.08620608077581e-06,7.271918001094946e-07
1819,1.961523985016811e-06,6.252034374654158e-07
1820,2.661651677726695e-06,9.57625012176777e-07
1821,2.4486075602681012e-06,9.052846170476414e-07
1822,2.4101579754187696e-06,1.04166147707474e-06
1823,2.9351579158287677e-06,8.321222288998342e-07
1824,2.9448631693185234e-06,1.025691474865198e-06
1825,2.4602408430496325e-06,8.787832417311847e-07
1826,2.5261298688405986e-06,8.120961805246907e-07
1827,2.808503118956196e-06,7.410687299369556e-07
1828,2.515962165716701e-06,6.19130354095887e-07
1829,2.9911810912608416e-06,5.452540214889723e-07
1830,2.550762577158139e-06,8.203352983571222e-07
1831,2.4400238487487513e-06,5.020368156749555e-07
1832,2.166148121318656e-06,6.332025801469854e-07
1833,2.701302271646e-06,7.633611307511501e-07
1834,2.286026667519536e-06,6.98222898165568e-07
1835,2.6092654223930367e-06,7.578213967462943e-07
1836,2.9020199505680466e-06,6.687146409944944e-07
1837,2.692703795048601e-06,5.510649696560677e-07
1838,2.3872597196827883e-06,5.895559063162636e-07
1839,2.3840931149266e-06,4.4535698151548786e-07
1840,2.4758980394778973e-06,5.598956196450899e-07
1841,2.3043347816553705e-06,5.926166402048239e-07
1842,2.3458803362075287e-06,6.091104616245957e-07
1843,1.844728295452569e-06,5.830121025951485e-07
1844,2.104314383188921e-06,7.437000775212255e-07
1845,2.21702463321094e-06,6.115929824801469e-07
1846,2.089471628607953e-06,5.321741500807775e-07
1847,2.2338732215132495e-06,4.050310851155814e-07
1848,2.3073695700759345e-06,4.883449622461455e-07
1849,2.6252707456819735e-06,4.6338165482495697e-07
1850,2.5112495425361203e-06,4.4875263771615437e-07
1851,2.276651816401909e-06,4.2501801011951557e-07
1852,2.125693104204629e-06,5.436305663408803e-07
1853,2.01433266866502e-06,5.661391622169276e-07
1854,2.1723073935220327e-06,9.253478321369357e-07
1855,2.4650722068031428e-06,6.442621867108755e-07
1856,2.422406922164555e-06,9.137738743447699e-07
1857,2.281129095393908e-06,6.414302866630806e-07
1858,2.077365483188487e-06,6.875614833035115e-07
1859,2.697833483722434e-06,5.769432522839679e-07
1860,3.054354863252229e-06,6.069345666048775e-07
1861,2.556523888586071e-06,5.824214994731847e-07
1862,2.3823341237516615e-06,6.212230836410981e-07
1863,2.1881433411863327e-06,6.323190007151425e-07
1864,2.1418049591659383e-06,5.844773340868414e-07
1865,1.9716970669492184e-06,6.551927160813875e-07
1866,1.9491645275593328e-06,7.079466950443702e-07
1867,1.6543234124810624e-06,6.313507974198274e-07
