year,dimensions_NOUN égales_ADJ,dimensions_NOUN légales_ADJ
1800,4.087413785214267e-08,0.0
1801,1.6668277424969347e-08,3.5717739876872656e-08
1802,4.2518962573012686e-08,0.0
1803,4.4857802805609026e-08,0.0
1804,5.19088700912107e-08,2.4718509461507665e-09
1805,3.1271653710973624e-08,0.0
1806,1.4120178093435243e-07,0.0
1807,5.124519120158766e-08,0.0
1808,7.024829073998262e-08,0.0
1809,1.784634093837667e-07,0.0
1810,7.020380365929668e-08,0.0
1811,7.019814773912003e-08,1.2535384286138651e-08
1812,8.801787032552966e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,2.2026739543434815e-08,6.293354282149721e-09
1815,4.045835311217161e-08,0.0
1816,1.4137383175238938e-07,0.0
1817,4.670620157298799e-08,0.0
1818,5.6029534789558966e-08,0.0
1819,9.626476327184719e-08,0.0
1820,4.2719332071783356e-08,1.1866481131050932e-09
1821,3.747365440176509e-08,0.0
1822,4.3110148340019805e-08,5.012807946513931e-09
1823,8.696764552951208e-08,0.0
1824,1.0021123841852386e-07,0.0
1825,6.868245350233337e-08,0.0
1826,7.222546827279075e-08,0.0
1827,2.6730091917670507e-08,1.2904182611350734e-08
1828,4.769596628761974e-08,1.7427371545863934e-08
1829,5.572564276690173e-08,2.571952872898464e-09
1830,9.497520636614354e-08,0.0
1831,4.677361786775691e-08,0.0
1832,3.788391467196561e-08,5.411987746839486e-09
1833,3.359252431778259e-08,0.0
1834,4.947301235347368e-08,0.0
1835,7.638718813041123e-08,0.0
1836,3.1587525484155776e-08,0.0
1837,5.427154903259179e-08,0.0
1838,6.185918977053007e-08,0.0
1839,8.809258389419483e-08,1.5381244722334486e-08
1840,5.350538501147639e-08,1.9109065441114126e-09
1841,2.8892468861840825e-08,1.2841097074556274e-09
1842,4.159124245006751e-08,1.475818312002275e-08
1843,8.742228629898818e-08,2.3627644285539873e-09
1844,9.440325499099345e-08,6.586273748609983e-09
1845,8.035528509253709e-08,2.2320911785556063e-09
1846,4.9177810268474786e-08,3.5127007969038004e-09
1847,7.011190916728083e-08,2.6966118227278457e-09
1848,4.34441957963827e-08,1.6090443422100975e-09
1849,7.206296714912241e-08,8.379414939696517e-10
1850,6.85688590351674e-08,0.0
1851,6.44943867200709e-08,1.3543821175687754e-08
