year,suis_VERB en_PRON,suis_VERB lent_ADJ
1800,2.829747991484055e-08,0.0
1801,4.0480102825313224e-08,0.0
1802,8.951360541686881e-09,0.0
1803,3.9006784247064274e-08,1.950339223455444e-09
1804,1.730295728918918e-08,4.943701892301533e-09
1805,1.9900143755080535e-08,0.0
1806,5.76333825108577e-09,0.0
1807,5.124519120158766e-08,0.0
1808,6.798222074166915e-08,1.1330369531492579e-08
1809,1.581321384946932e-08,0.0
1810,4.212228077449254e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,4.000812481308458e-08,0.0
1813,3.163315653864629e-08,1.1502966579257645e-08
1814,9.440030979135372e-09,9.440030979135372e-09
1815,8.091670444798638e-09,0.0
1816,3.0128852301913867e-08,0.0
1817,3.269434145636296e-08,1.556873407970727e-09
1818,3.814776761146277e-08,1.668964877410417e-08
1819,6.210630232317271e-09,4.140420006848444e-09
1820,4.9839222526770754e-08,0.0
1821,9.861488337037372e-08,0.0
1822,5.012807946513931e-08,0.0
1823,6.917881023582595e-08,0.0
1824,4.7158231097910175e-08,8.421112696055388e-10
1825,2.201360693732113e-08,4.4027217427355936e-09
1826,9.688783109140786e-09,8.807984341885344e-10
1827,3.502563927781921e-08,1.1060727445055818e-08
1828,2.0179061976932644e-08,0.0
1829,3.1720752247110795e-08,1.800366966620004e-08
1830,3.757260813586072e-08,1.3567886369969528e-08
1831,7.639690835503643e-08,4.677361609140007e-09
1832,2.841293600397421e-08,0.0
1833,5.21263281427764e-08,4.6334514003376626e-09
1834,2.42697808516823e-08,3.733812370398937e-09
1835,6.277362984974388e-08,1.5126175867408165e-09
1836,3.36037508930076e-08,6.720750067579218e-10
1837,4.453050195252217e-08,4.87052354003481e-09
1838,1.9567702125300457e-08,8.837027110075724e-09
1839,2.3771015378315496e-08,9.788065469251706e-09
1840,3.121147429396842e-08,2.5478754661634184e-09
1841,3.4028907691663335e-08,1.2841097074556274e-09
1842,1.9453969546390226e-08,6.708265054555795e-10
1843,4.430183153658618e-08,6.497602011990011e-09
1844,3.677336124496833e-08,4.390849017710252e-09
1845,2.9575208060350633e-08,8.37034175305007e-09
1846,3.571245699163228e-08,0.0
1847,2.8044762956369595e-08,1.1325769655456952e-08
1848,7.24069959545659e-09,4.02261068899179e-09
1849,1.005529792763582e-08,0.0
1850,1.1541293254424545e-08,6.788996032014438e-10
1851,1.7413483988093503e-08,1.2898877521649865e-09
1852,2.148479971708639e-08,1.3021090872200602e-09
1853,2.3290533723852036e-08,1.1943863675867306e-09
1854,2.5978321716024766e-08,6.234797567117312e-09
1855,2.4411910715116392e-08,5.306937111981824e-10
1856,1.7602443946884705e-08,1.0354378465748937e-09
1857,2.9289054737091647e-08,1.0251168802710708e-08
