year,serais_VERB également_ADV
1800,3.144164484325529e-09
1801,0.0
1802,4.475680270843441e-09
1803,1.1702034896643454e-08
1804,2.9662210465630778e-08
1805,5.685755422035754e-09
1806,2.881669125542885e-09
1807,0.0
1808,2.2660739951163578e-09
1809,2.259030518203531e-09
1810,3.510190182964834e-08
1811,1.2535384286138651e-08
1812,2.1337665856435706e-08
1813,2.8757416448144113e-09
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,1.622322720606917e-08
1817,9.341240669868967e-09
1818,2.384235475716423e-09
1819,6.210630232317271e-09
1820,1.898636980968149e-08
1821,9.86148829262845e-10
1822,1.2030739071633434e-08
1823,7.906149512848515e-09
1824,3.03160057057994e-08
1825,1.3208164340028361e-08
1826,1.4092774947016551e-08
1827,1.2904182611350734e-08
1828,4.586150570418113e-09
1829,6.858540846366168e-09
1830,1.6698937344017395e-08
1831,1.2472964883158966e-08
1832,1.6235963684607668e-08
1833,2.3167257001688313e-09
1834,2.240287422239362e-08
1835,1.8151411040889798e-08
1836,7.392825018825988e-09
1837,6.957891152126194e-09
1838,1.009945904684173e-08
1839,8.38977065598101e-09
1840,1.0828470564661075e-08
1841,8.346713542550788e-09
1842,1.2074877098200432e-08
1843,1.6539351221922516e-08
1844,1.0428266250528395e-08
1845,2.2320911785556063e-09
1846,1.5221703009160592e-08
1847,9.168480197274675e-09
1848,1.448139919091318e-08
1849,3.77073661184113e-08
1850,4.752297222410107e-09
1851,1.9993260380601896e-08
1852,1.9531636752390114e-08
1853,1.2541057081705276e-08
1854,1.7145692865483397e-08
1855,2.0166361025530932e-08
1856,4.141751386299575e-09
1857,1.122747050885664e-08
1858,1.3212924976357954e-08
1859,6.619825576592575e-09
1860,1.6477862629926676e-08
1861,8.017138064531082e-09
1862,6.325180823552046e-09
1863,1.897955925755923e-08
1864,3.835782358407869e-09
1865,6.118897832863013e-09
1866,6.811858188626729e-09
1867,1.94112459439566e-08
1868,2.865126980111654e-08
1869,8.790334682373668e-09
1870,1.204150201772336e-08
1871,5.3105884134652115e-09
1872,6.652073114565837e-09
1873,1.0774807712721213e-08
1874,1.5533982988813477e-08
1875,1.0870901512305409e-08
1876,4.836811839936672e-09
1877,1.793596560162314e-08
1878,9.058632954861423e-09
1879,9.163987790827832e-09
1880,1.6044616302224313e-08
1881,2.5101027034679646e-08
1882,7.986462158271479e-09
1883,2.0853818227806187e-08
1884,1.5183903911974994e-08
1885,1.933690718658454e-08
1886,1.2261581083805595e-08
1887,1.3710741875172516e-08
1888,8.242799331981132e-09
1889,1.3156786771162388e-08
1890,1.9007721618891082e-08
1891,1.211101796627645e-08
1892,2.0686091062316336e-08
1893,1.6627724974682678e-08
1894,7.561847148451761e-09
1895,1.444467478961542e-08
1896,2.0049897742069334e-08
1897,2.505486840220783e-08
1898,1.6975064909274806e-08
1899,1.8241008703512307e-08
1900,3.010810800674335e-08
1901,4.470991132876634e-09
1902,1.915010727771005e-08
1903,2.1600881083827517e-08
1904,1.6123875568041512e-08
1905,2.9932401446330914e-08
1906,1.594697174311932e-08
1907,1.6457098794830927e-08
1908,3.5361999550787004e-08
1909,2.3104130164597336e-08
1910,6.412980813053082e-09
1911,1.1704822888702893e-08
1912,2.2921453179947093e-08
1913,8.484783542428431e-09
1914,1.875088173619588e-08
1915,1.4136913861761968e-08
1916,7.69122365795738e-09
1917,1.6449636319748606e-08
1918,8.040463406189247e-09
1919,7.366278698128781e-09
