year,sommes_VERB à_ADP,sommes_VERB a_ADP,sommes_VERB las_ADJ
1800,1.4714689768879907e-06,1.8864986461863964e-08,5.0306631749208464e-08
1801,1.3834670653523062e-06,2.6193007984787187e-08,4.286128785224719e-08
1802,1.351655441794719e-06,1.1189200677108602e-08,4.699464284385613e-08
1803,1.1819055316664162e-06,1.1702034896643454e-08,1.1702034896643454e-08
1804,1.16177000109019e-06,7.4155528384522995e-09,7.4155526164076946e-09
1805,1.412910251019639e-06,2.842877711017877e-09,8.528632911009026e-09
1806,1.0662175782272243e-06,1.729001475325731e-08,3.1698359492793315e-08
1807,1.1217002793273423e-06,1.7081731140677903e-08,3.701041606518629e-08
1808,1.0559905376794632e-06,1.3596443526608937e-08,2.7192887941396293e-08
1809,1.301201564274379e-06,6.7770917766551975e-09,2.710836710662079e-08
1810,1.3081308907203493e-06,1.8721014516387413e-08,1.8721014072298203e-08
1811,9.401537681696936e-07,5.0141535368197765e-09,1.504245972228091e-08
1812,1.0428784662508406e-06,5.3344164641089264e-09,2.9339290108509886e-08
1813,7.764502356621961e-07,0.0,6.901780125190271e-08
1814,1.1800038919318467e-06,5.349351184236184e-08,4.090680150170556e-08
1815,1.1948700375796761e-06,1.3486117778072071e-08,6.74305908887618e-08
1816,1.2677293170781923e-06,1.3905623319487859e-08,2.7811246638975717e-08
1817,1.3451385711960029e-06,2.490997452753163e-08,2.1796227045456362e-08
1818,1.2934477808812517e-06,8.344824387052086e-09,7.391130196765516e-08
1819,1.248336616299639e-06,1.449147024601416e-08,1.5526575580793178e-08
1820,1.495176661592268e-06,4.746592452420373e-09,5.458581142647745e-08
1821,1.733649696689099e-06,1.0847637232913598e-08,1.577838126820552e-08
1822,1.6321703242283547e-06,8.02049271442229e-09,2.3058916553964082e-08
1823,1.2570777698783786e-06,2.9648061450338048e-08,1.4824030003524058e-08
1824,1.4517997897200985e-06,9.263223965660927e-09,4.21055617039201e-08
1825,1.4775533827560139e-06,7.92489873724378e-09,1.937197424695114e-08
1826,1.4207279264155659e-06,3.5231937367541377e-09,2.3781558056157337e-08
1827,1.4489553450403037e-06,1.659109177820639e-08,3.410390903013649e-08
