year,mes_DET livres_NOUN
1800,5.973912795553815e-07
1801,1.0905816765216514e-06
1802,5.527465418708744e-07
1803,7.118737990197133e-07
1804,5.759412768924221e-07
1805,5.913185479045069e-07
1806,6.28203890684631e-07
1807,5.494623369628471e-07
1808,7.410062150547958e-07
1809,5.918660122006258e-07
1810,9.571118280149449e-07
1811,5.866559540379512e-07
1812,6.988085736736593e-07
1813,4.888760862797881e-07
1814,6.356287798325866e-07
1815,4.612252180180576e-07
1816,4.171686924792084e-07
1817,1.6689683164372582e-06
1818,7.474578112010022e-07
1819,8.260138013582718e-07
1820,7.665747006058155e-07
1821,9.289522111544102e-07
1822,8.190928184603763e-07
1823,9.487379557526765e-07
1824,1.1755873661201122e-06
1825,1.3164137424581668e-06
1826,1.1124484160518477e-06
1827,5.963575837597546e-07
1828,7.888179229809111e-07
1829,7.784443951663889e-07
1830,7.566706088368846e-07
1831,8.185383393310985e-07
1832,1.0499256397622503e-06
1833,1.1073948869011474e-06
1834,8.401077806752255e-07
1835,9.287472266805707e-07
1836,1.0423883018972901e-06
1837,1.0513373602805132e-06
1838,6.173294311295763e-07
1839,1.015162141015935e-06
1840,5.821895694424484e-07
1841,7.158911632387799e-07
1842,6.191728889604065e-07
1843,7.02331719892868e-07
1844,6.366730858076153e-07
1845,6.874840980941599e-07
1846,9.847271122964685e-07
1847,4.940192734892435e-07
1848,7.900407652527974e-07
1849,6.837602581910573e-07
1850,6.9790881696008e-07
1851,6.133416405873504e-07
1852,7.669422359413147e-07
1853,7.26186913269089e-07
1854,6.458210854987101e-07
1855,7.084761151077146e-07
1856,8.034997662775822e-07
1857,9.006383976384313e-07
1858,8.466059497891365e-07
1859,8.030357481203509e-07
1860,7.968876936104152e-07
1861,8.80470437891745e-07
1862,7.206188303854333e-07
1863,7.856538406514346e-07
1864,9.69493971325619e-07
1865,9.192467054219833e-07
1866,7.084332551698935e-07
1867,6.725996470891005e-07
1868,6.565092469656975e-07
1869,7.447366456858617e-07
1870,7.070081888826962e-07
1871,5.384937082908436e-07
1872,8.224381602417452e-07
1873,8.021245747613648e-07
1874,6.004482369093012e-07
1875,7.272061246510475e-07
1876,7.515196678298253e-07
1877,9.345257225845671e-07
1878,6.449746710046611e-07
1879,6.689711256058217e-07
1880,8.477974944298694e-07
1881,7.216545121480067e-07
1882,6.888323653697626e-07
1883,7.798064523001358e-07
1884,7.631561960153022e-07
1885,7.238448631596839e-07
1886,6.718055871601791e-07
1887,6.457106458412909e-07
1888,8.242799083291175e-07
1889,7.793830292257553e-07
1890,6.344646372724583e-07
1891,6.55269825955429e-07
1892,6.418956814968624e-07
1893,6.244634427332585e-07
1894,6.874979128212999e-07
1895,6.560289769197425e-07
1896,6.852347738117714e-07
1897,5.197428656344982e-07
1898,7.333228140282699e-07
1899,7.628058042996599e-07
1900,5.5180892388762e-07
1901,6.108491632517143e-07
1902,5.882520071054387e-07
1903,6.048246490308884e-07
1904,5.310129580493594e-07
1905,7.994015831513934e-07
1906,7.366472338787844e-07
1907,7.703979179041198e-07
1908,8.418121026920744e-07
1909,7.140276565564818e-07
1910,8.978173369200704e-07
1911,8.118890661990008e-07
1912,7.17858242182956e-07
1913,7.609790060314481e-07
1914,7.453475934227072e-07
1915,6.691473011244398e-07
1916,7.361599472233138e-07
1917,7.270739441622709e-07
1918,8.37356829208602e-07
1919,8.857950284379967e-07
1920,1.0775285517183875e-06
1921,8.708659500200611e-07
1922,9.141262324874333e-07
1923,1.0669028043253093e-06
1924,1.0648481847397306e-06
1925,1.4341624208213943e-06
1926,9.842040178398292e-07
1927,1.45162906051155e-06
1928,1.1665988211007061e-06
1929,1.0850755600699813e-06
1930,1.2446770547569486e-06
1931,9.59190487037631e-07
1932,8.08813794606067e-07
1933,1.103477664798902e-06
1934,1.0136416577211094e-06
1935,1.0113200232808595e-06
1936,9.045037323573979e-07
1937,8.524186831948555e-07
1938,1.1979857639232705e-06
1939,9.008195540616271e-07
1940,8.215936659894396e-07
1941,8.795477803857921e-07
1942,1.1621030537867227e-06
1943,1.09742288856296e-06
1944,1.1310415430898502e-06
1945,1.082716543976403e-06
1946,1.1150804368753597e-06
1947,1.7726335386214487e-06
1948,1.1763382552487656e-06
1949,9.915178171837624e-07
1950,1.1273483160323394e-06
1951,1.4264955510157051e-06
1952,1.2653764542847057e-06
1953,1.1150911483071013e-06
1954,1.315383308053697e-06
1955,1.078406327792436e-06
1956,1.488698842422309e-06
1957,8.852707580331298e-07
1958,9.388996140557992e-07
1959,1.2618217155591083e-06
1960,1.057503375534452e-06
1961,1.2541427807377659e-06
1962,1.0445201823472416e-06
1963,1.2343695559025036e-06
1964,1.0811211517136599e-06
1965,1.1299769333561471e-06
1966,1.147142363322473e-06
1967,1.1147489331619909e-06
1968,1.1111762994175933e-06
1969,9.337853903446103e-07
1970,1.0949564170914527e-06
1971,1.1530563419626105e-06
1972,1.1029816349150678e-06
1973,1.1445410734722827e-06
1974,8.455234059567829e-07
1975,1.0155012191148671e-06
1976,1.0867127713254376e-06
1977,1.145972422733621e-06
1978,1.1299004363252152e-06
1979,1.197898932048247e-06
1980,1.2729052087934178e-06
1981,1.1790823961632668e-06
1982,1.2756416936099413e-06
1983,1.1500190026936252e-06
1984,1.2386682328724419e-06
1985,1.2181504942532229e-06
1986,1.3121928859050058e-06
1987,1.1671660438139497e-06
1988,1.2125031751963888e-06
1989,1.4532547822909692e-06
1990,1.3692459539527135e-06
1991,1.3088651584780564e-06
1992,1.2232076187501661e-06
1993,1.485615378271632e-06
1994,1.3503812184012531e-06
1995,1.3127753177855084e-06
1996,1.5379043958319016e-06
1997,1.3732578239000759e-06
1998,1.4905172491808116e-06
1999,1.3372409171097388e-06
2000,1.4314422003280924e-06
2001,1.545691560522755e-06
2002,1.4295925652163533e-06
2003,1.6276001417736552e-06
2004,1.5143672555950616e-06
2005,1.5758619511530014e-06
2006,1.6978059633743214e-06
2007,1.6429293765440889e-06
2008,1.6195300105437127e-06
2009,1.6822182828946097e-06
2010,1.7161540242227602e-06
2011,1.6485143206068642e-06
2012,1.7797433784494388e-06
2013,1.847795324749768e-06
2014,2.3181091037827173e-06
2015,1.87278452301598e-06
2016,1.8283718148381922e-06
2017,1.8142588800174053e-06
2018,1.9972808047441504e-06
2019,2.1836454919821335e-06
