year,vos_DET livres_NOUN
1800,1.4148740090647038e-07
1801,3.2860319443273056e-07
1802,3.2672465977157117e-07
1803,3.003522450750751e-07
1804,1.6808587055550106e-07
1805,2.81444901162331e-07
1806,1.3832011624970164e-07
1807,2.619198746778295e-07
1808,2.877913951593314e-07
1809,2.507523859662797e-07
1810,4.586648358895218e-07
1811,2.4067935555649456e-07
1812,3.60073105998282e-07
1813,1.8979895344273245e-07
1814,1.6992055851261512e-07
1815,1.5913619555441016e-07
1816,2.549364204185167e-07
1817,4.686188947999881e-07
1818,4.0412790136556964e-07
1819,6.779937558043514e-07
1820,2.693691136812504e-07
1821,5.98592318823421e-07
1822,3.5991961055970023e-07
1823,2.5102025169587705e-07
1824,3.595815165624572e-07
1825,2.447913232117571e-07
1826,3.8843212069039623e-07
1827,3.5578673651670556e-07
1828,3.210305449252715e-07
1829,3.094916518620039e-07
1830,2.7240141609041757e-07
1831,5.254236201679419e-07
1832,4.938438744606088e-07
1833,2.826405389733111e-07
1834,2.4829851685836957e-07
1835,3.554651257786645e-07
1836,4.3953705453070313e-07
1837,3.7781347117515907e-07
1838,2.827848599729066e-07
1839,2.7546411418555294e-07
1840,3.4651105823568784e-07
1841,4.0192632511093507e-07
1842,3.951167997229277e-07
1843,3.9280959107657054e-07
1844,2.8156318432337457e-07
1845,3.5043830221015426e-07
1846,3.7702987221166495e-07
1847,2.9500932186010687e-07
1848,2.815827713220642e-07
1849,4.105913227192559e-07
1850,2.729176298288394e-07
1851,3.1021801660813253e-07
1852,3.4050152586395654e-07
1853,2.902358806622374e-07
1854,2.717332643342729e-07
1855,2.950657069789031e-07
1856,4.240117970066848e-07
1857,3.539093980098329e-07
1858,3.2787630277475444e-07
1859,3.2284378193025987e-07
1860,3.167411391780117e-07
1861,3.669019807972518e-07
1862,3.153554364310196e-07
1863,4.0006912271906003e-07
1864,4.185797362055155e-07
1865,4.6503622130877886e-07
1866,3.410794763292202e-07
1867,3.319323162997989e-07
1868,2.647772525676828e-07
1869,3.36962830971288e-07
1870,3.5436422685108937e-07
1871,2.3791436998266136e-07
1872,2.8724862932705264e-07
1873,3.5437146195249625e-07
1874,2.64077723244327e-07
1875,4.1824364416243043e-07
1876,2.811396901947205e-07
1877,3.914988546682707e-07
1878,2.7840197791562105e-07
1879,3.616720647414695e-07
1880,3.767275709165574e-07
1881,2.802948122493376e-07
1882,2.9616463592674336e-07
1883,3.2291822754659805e-07
1884,2.5284500093647466e-07
1885,2.410667781505005e-07
1886,2.839524020359363e-07
1887,2.4548756227815716e-07
1888,2.916682662057468e-07
1889,2.9195536299653213e-07
1890,2.38579671130168e-07
1891,2.753663090881986e-07
1892,2.356960635552241e-07
1893,2.2909309038698922e-07
1894,1.8967633907962522e-07
1895,2.473650586587439e-07
1896,2.193694779162314e-07
1897,2.1733641542009963e-07
1898,2.546259657565386e-07
1899,2.7693167758968684e-07
1900,2.2217706785454538e-07
1901,2.6322959639779597e-07
1902,2.312743647703286e-07
1903,2.721711147568584e-07
1904,2.4078320404186115e-07
1905,2.270733987508322e-07
1906,2.927041089506588e-07
1907,2.7565640614568565e-07
1908,2.6325045343611464e-07
1909,2.7064839702717336e-07
1910,3.7729702828670497e-07
1911,3.0113318139068923e-07
1912,4.188374607139167e-07
1913,3.277247671018557e-07
1914,3.823840660222011e-07
1915,3.4753248634444844e-07
1916,2.1425550400522297e-07
1917,2.390680544639423e-07
1918,3.9168542098622083e-07
1919,4.1251160809441245e-07
1920,3.6346713194745917e-07
1921,2.960944101015883e-07
1922,3.386472409161456e-07
1923,3.8960529202825e-07
1924,4.744117663157965e-07
1925,4.311285626279471e-07
1926,3.9011483110584777e-07
1927,5.173240236189258e-07
1928,5.084588510229082e-07
1929,4.6344090565142437e-07
1930,4.295973816681453e-07
1931,3.7523622342661156e-07
1932,3.331699185427084e-07
1933,4.2326743354692553e-07
1934,3.426731840505681e-07
1935,3.8418191206091024e-07
1936,3.6374144229966987e-07
1937,3.802517766215985e-07
1938,3.0338603040913625e-07
1939,3.2270446492788096e-07
1940,3.119013010088878e-07
1941,3.984528635925244e-07
1942,2.5183957585994676e-07
1943,4.2387233833984794e-07
1944,3.277449920346953e-07
1945,2.527064704160864e-07
1946,3.1740116757106307e-07
1947,3.957729166614854e-07
1948,3.022384902351405e-07
1949,2.5229711120289267e-07
1950,3.084254740493009e-07
1951,3.688844965044069e-07
1952,2.8787313333111797e-07
1953,3.3614340311238777e-07
1954,3.8112891198593957e-07
1955,3.360047502454222e-07
1956,3.8373023270033e-07
1957,3.321974149095297e-07
1958,2.96146317968482e-07
1959,3.2243110048568724e-07
1960,3.7510917771932384e-07
1961,3.446287037967011e-07
1962,3.551495630915724e-07
1963,3.879632046732695e-07
1964,3.6929687663445065e-07
1965,5.493931460875956e-07
1966,3.6391719682171697e-07
1967,3.535050732139666e-07
1968,3.4224588407738565e-07
1969,3.224648179589451e-07
1970,4.042279244664826e-07
1971,3.817829469232592e-07
1972,3.267903587733656e-07
1973,3.098420622293929e-07
1974,2.6327676050375004e-07
1975,2.484493859533643e-07
1976,3.0567367881317864e-07
1977,2.9618979713319504e-07
1978,3.617820221180068e-07
1979,4.3948318784181595e-07
1980,3.8715875672057365e-07
1981,4.529093554639374e-07
1982,3.53206893621838e-07
1983,4.1807391815140704e-07
1984,3.9723209122044523e-07
1985,3.5912882700994686e-07
1986,4.453902704426582e-07
1987,3.8803686719379726e-07
1988,4.0836530773580293e-07
1989,5.581420046141261e-07
1990,5.192564458411653e-07
1991,4.6305575285288114e-07
1992,3.779821776128678e-07
1993,3.7888179704737013e-07
1994,4.963705996785528e-07
1995,3.6818441095931576e-07
1996,4.7562402905043655e-07
1997,3.3612209848765673e-07
1998,3.6762277388913134e-07
1999,4.209155317624891e-07
2000,4.210383939273754e-07
2001,3.7065051880502686e-07
2002,3.3647780539602934e-07
2003,3.775232255698313e-07
2004,3.5414522125964965e-07
2005,3.5894885286325007e-07
2006,4.311430634729163e-07
