year,ayons_VERB eu_VERB,ayons_VERB lu_VERB
1800,2.2323567350213125e-07,0.0
1801,1.2144030847593967e-07,9.524730337773235e-09
1802,1.969299319171114e-07,2.2378401354217203e-09
1803,1.7553053055507917e-07,7.801356893821776e-09
1804,2.669599155069591e-07,4.943701892301533e-09
1805,1.648869130121966e-07,0.0
1806,1.0085842205853623e-07,2.881669125542885e-09
1807,2.562259737715067e-07,2.8469551160981155e-09
1808,1.11037628869326e-07,1.3596443970698147e-08
1809,1.197286110254936e-07,4.518061036407062e-09
1810,1.0764583180389309e-07,0.0
1811,2.3315813280078146e-07,2.5070767684098882e-09
1812,1.0935553973467904e-07,0.0
1813,2.8469841595324397e-07,2.8757416448144113e-09
1814,2.1397404736944736e-07,6.293354282149721e-09
1815,1.537417375629957e-07,0.0
1816,2.062667476820934e-07,1.1588019432906549e-08
1817,2.2574664626517915e-07,1.556873407970727e-09
1818,2.777634335870971e-07,3.5763532135746345e-09
1819,1.531955433620169e-07,5.175524897538253e-09
1820,1.281579926626364e-07,8.306536791735653e-09
1821,2.2977268088197889e-07,1.577838126820552e-08
1822,2.3660453507545753e-07,9.023054303725075e-09
1823,1.7690010167825676e-07,1.9765373782121287e-09
1824,2.39159589909832e-07,0.0
1825,1.514536194235916e-07,6.163809906922779e-09
1826,2.078684246953344e-07,2.290075862276808e-08
1827,1.7236300209333422e-07,1.1982455028203276e-08
1828,1.9445278098828567e-07,8.255071293206129e-09
1829,2.3061843990035413e-07,3.429270423183084e-09
1830,2.4526565312044113e-07,7.305785310052215e-09
1831,2.1671776551102084e-07,0.0
1832,2.54363413887404e-07,1.3529969367098715e-09
1833,2.2472239891158097e-07,1.3900354645102198e-08
1834,2.2869600968533632e-07,4.667265685043276e-09
1835,2.0344705831121246e-07,3.025235173481633e-09
1836,1.371032993802146e-07,1.008112526790228e-08
1837,2.2126093313090678e-07,1.87863058442872e-08
1838,2.202944529017259e-07,8.2058102535143e-09
1839,2.544896915424033e-07,1.2584655095793096e-08
1840,1.9172762222297024e-07,9.554533164646273e-09
1841,2.3563413265037525e-07,8.346713542550788e-09
1842,1.784398477866489e-07,8.049918065466954e-09
1843,2.1855571219475678e-07,1.2404512972352677e-08
1844,1.65205690905168e-07,1.756339607084101e-08
1845,2.3102143131836783e-07,2.0646844234306627e-08
1846,1.639260318597735e-07,6.439951683034906e-09
