year,chefs_NOUN égaux_ADJ,chefs_NOUN légaux_ADJ
1800,3.144164484325529e-09,0.0
1801,7.143547975374531e-09,0.0
1802,0.0,0.0
1803,1.1702034896643454e-08,0.0
1804,3.213406074564773e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,1.129515236897305e-08,0.0
1810,0.0,0.0
1811,5.0141535368197765e-09,0.0
1812,1.600324850414836e-08,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,5.394447111228828e-09,5.394447111228828e-09
1816,0.0,0.0
1817,4.670620334934483e-09,7.784366928831332e-09
1818,1.0729059418679299e-08,3.5763532135746345e-09
1819,1.1386155129855524e-08,0.0
1820,1.3053129244156025e-08,0.0
1821,2.5639868894700157e-08,0.0
1822,1.7043547018147365e-08,2.0051231786055723e-09
1823,2.075364236020505e-08,0.0
1824,7.57900142644985e-09,0.0
1825,1.3208164340028361e-08,0.0
1826,9.688783109140786e-09,4.403992281964975e-09
1827,1.6591091167583727e-08,8.295545583791863e-09
1828,4.586150570418113e-09,0.0
1829,6.001223074036943e-09,0.0
1830,5.218417697960831e-09,4.174734336004349e-09
1831,6.236482441579483e-09,0.0
1832,1.8941957335982806e-08,0.0
1833,2.3167256557599103e-08,6.950177322551099e-09
1834,1.4935249481595747e-08,0.0
1835,2.117664621437143e-08,7.563087933704082e-10
1836,3.8308275662757296e-08,0.0
1837,2.7135774516295896e-08,5.5663127440652715e-09
1838,4.418513555037862e-09,6.312161904276081e-10
1839,2.3771015378315496e-08,0.0
1840,1.52872523528913e-08,0.0
1841,6.420548537278137e-09,1.8619591202195807e-08
1842,1.0062397137744483e-08,2.0124795163667386e-09
1843,1.1223130869097986e-08,1.1813822142769936e-09
1844,2.6345094994439933e-08,5.488561272137815e-10
1845,1.0602432709561072e-08,2.2320911785556063e-09
1846,2.5759806732139623e-08,1.0538101946622191e-08
1847,1.4022381478184798e-08,2.6966118227278457e-09
1848,2.413566457803995e-09,2.413566457803995e-09
1849,7.54147322368226e-09,0.0
1850,2.7155984128057753e-09,1.425689166723032e-08
1851,5.8044946626978344e-09,0.0
1852,7.812654523320361e-09,3.906327261660181e-09
1853,3.5831591027601917e-09,3.5831591027601917e-09
1854,1.2989160858012383e-08,4.1565315633818045e-09
1855,5.306937111981824e-09,1.0613874223963649e-09
1856,7.248064815001953e-09,1.5531567143511893e-09
1857,7.810414537345878e-09,0.0
1858,1.3702292633865909e-08,4.893676019968041e-10
1859,1.5276519604867644e-08,3.055304009791371e-09
1860,6.865775947773045e-09,5.034902272882391e-09
1861,4.715963730639317e-10,2.357981809808507e-09
1862,9.035972858839614e-09,3.162590411776023e-09
1863,1.3485475847119233e-08,0.0
1864,7.671564716815737e-09,4.315255264231155e-09
1865,6.589582213223366e-09,5.177528628053096e-09
1866,1.0704348518686402e-08,7.298419202328432e-09
1867,1.067618526917613e-08,9.7056229719783e-10
1868,3.951899252285784e-09,0.0
