year,ses_DET eaux_NOUN,ses_DET lots_NOUN
1800,7.29131750176748e-06,1.2576657937302116e-08
1801,6.350613830363727e-06,4.7623651688866175e-09
1802,9.786074770090636e-06,6.713520406265161e-09
1803,7.477600348693159e-06,3.900678446910888e-09
1804,9.55370396127364e-06,0.0
1805,6.604005093890919e-06,5.685755422035754e-09
1806,6.0025169261734845e-06,0.0
1807,7.222724946132075e-06,0.0
1808,6.415255626279759e-06,2.2660739951163578e-09
1809,6.250737442314858e-06,0.0
1810,6.056247940477988e-06,2.3401266702194334e-08
1811,6.232593023014488e-06,2.5070767684098882e-09
1812,7.428174882306848e-06,0.0
1813,6.306501518338337e-06,5.751483289628823e-09
1814,5.210897285223837e-06,0.0
1815,4.34252993386508e-06,8.091670444798638e-09
1816,5.0037069598829476e-06,1.8540831092650478e-08
1817,4.376371066427964e-06,3.113746815941454e-09
1818,5.666135464821309e-06,2.384235475716423e-09
1819,4.332949657737117e-06,5.175524897538253e-09
1820,5.325676738721086e-06,0.0
1821,4.665470214604284e-06,1.2819934447350079e-08
1822,5.791798173504503e-06,8.02049271442229e-09
1823,4.699217583947757e-06,5.929612356680991e-09
1824,4.559190628583565e-06,2.5263338088166165e-09
1825,5.242760593660023e-06,4.4027217427355936e-09
1826,6.053727787502794e-06,1.7615968683770689e-09
1827,4.123807855194173e-06,8.295545583791863e-09
1828,4.8539817782966566e-06,2.7516904310687096e-09
1829,5.31022510585899e-06,2.571952872898464e-09
1830,5.133879398044883e-06,1.0436835840010872e-09
1831,5.466277002597053e-06,3.1182412207897414e-09
1832,5.0480313689149625e-06,2.3000947924067816e-08
1833,7.221234170629032e-06,5.791814139399776e-09
1834,5.709932622721681e-06,5.600718555598405e-09
1835,5.971057817077963e-06,3.025235173481633e-09
1836,5.223366983386768e-06,7.392825018825988e-09
1837,5.070911015536694e-06,1.043683617307778e-08
1838,5.344507485460781e-06,5.049729523420865e-09
1839,4.167618499195669e-06,6.9914749545318955e-09
1840,4.895742691246596e-06,5.095750932326837e-09
1841,4.443019719246877e-06,7.0626033910059505e-09
1842,4.607236263609593e-06,3.3541325272778977e-09
1843,4.280147635427056e-06,1.1813821976236483e-08
1844,3.849127978128308e-06,3.293136707771538e-09
1845,4.2560396451563065e-06,7.254296274794569e-09
1846,4.042533049641861e-06,7.025401593807601e-09
1847,3.7757957898065797e-06,5.9325460100012606e-09
1848,4.015369981402728e-06,2.4135665133151463e-09
1849,3.980222174959636e-06,1.005529792763582e-08
1850,3.942370099707659e-06,2.0366988096043315e-09
1851,4.119901419130656e-06,1.5478653470069048e-08
1852,4.3275595658087695e-06,4.557381805270211e-09
1853,4.1289937087185535e-06,4.777545248302317e-09
1854,4.1461400144271465e-06,3.117398617025202e-09
1855,4.2359970109373535e-06,1.1675261646360013e-08
1856,4.155729655508367e-06,1.6567004990086787e-08
1857,4.142448688071454e-06,9.274867096564776e-09
1858,3.978558709150093e-06,1.2234189605830892e-08
1859,4.140446108635842e-06,2.5460866748261424e-09
1860,3.826067924705967e-06,3.3413442679375294e-08
1861,4.2778507634011476e-06,1.2733101961703852e-08
1862,4.4524755082875345e-06,5.4215836819970775e-09
1863,3.770439263917069e-06,2.1476870337711063e-08
1864,4.161344378417198e-06,1.582260189536555e-08
1865,3.77018224639869e-06,6.118897832863013e-09
1866,3.763064995609966e-06,1.1677471434268227e-08
1867,3.5808896683420244e-06,1.7955402498159856e-08
1868,3.7473885186045663e-06,7.903798393549266e-09
1869,3.711474647616342e-06,1.660396442559886e-08
1870,3.5453623326020534e-06,7.454263428741115e-09
1871,3.5092370609390855e-06,8.496942038860311e-09
1872,3.4149324648069523e-06,1.572308183650506e-08
1873,3.577834775114752e-06,1.6760813181804224e-08
1874,3.416281614931904e-06,1.2546679251101978e-08
1875,3.694962131817192e-06,8.582290655922975e-09
1876,4.102220998447592e-06,1.3301232781870453e-08
1877,4.404207629704615e-06,3.3398006138440905e-08
1878,3.4531508958934864e-06,2.113681046855831e-08
1879,3.714469713145263e-06,9.774920428640144e-09
1880,3.897558059406947e-06,2.5671385017744797e-08
1881,4.195357604430683e-06,2.1614773970668466e-08
1882,3.5526445998357303e-06,1.5307386025398273e-08
1883,3.6816469730638346e-06,5.624211613097785e-08
1884,3.677145201663734e-06,3.895001032816481e-08
1885,3.5670148719191275e-06,3.158361416844002e-08
1886,3.4713181236156743e-06,3.6784744139595205e-08
1887,3.410710263551664e-06,4.9619826247848664e-08
1888,3.1373361650821607e-06,3.233713385952797e-08
1889,3.5454407765200813e-06,2.7566601445982997e-08
1890,3.3938612631345677e-06,3.342737137090879e-08
1891,2.7708734151588033e-06,2.5496880495801122e-08
1892,3.497203081792577e-06,4.450643920073105e-08
1893,3.103226063672082e-06,2.52495075958592e-08
1894,3.398420233224897e-06,1.827446460822557e-08
1895,3.113429173140503e-06,2.4074457982692365e-08
1896,3.1112725480397785e-06,2.6536630670648265e-08
1897,2.7851690589386635e-06,3.6708295514387146e-08
1898,2.899906910158734e-06,2.885760985726904e-08
1899,2.7765027112991447e-06,3.814029092552573e-08
1900,2.951113614813039e-06,1.6611369391128505e-08
1901,2.8262253195521225e-06,3.744455068233066e-08
1902,2.4242071816615862e-06,5.3522094145552757e-08
1903,3.0840658098441054e-06,2.9161189019077938e-08
1904,2.8206032425259764e-06,4.460938729522468e-08
1905,2.8337727684402125e-06,3.5093161820931584e-08
1906,2.9260121863217137e-06,1.9547901075611662e-08
1907,2.5642215888410647e-06,4.11427460988989e-08
1908,2.8972284695782946e-06,3.143289029061691e-08
