year,talents_NOUN égaux_ADJ
1800,6.288328968651058e-09
1801,9.524730337773235e-09
1802,0.0
1803,1.950339223455444e-09
1804,1.730295728918918e-08
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,1.1330369531492579e-08
1809,9.036122072814123e-09
1810,9.360507036149102e-09
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,2.0858434979231788e-08
1817,0.0
1818,0.0
1819,1.0351049795076506e-08
1820,8.306536791735653e-09
1821,9.86148829262845e-10
1822,0.0
1823,1.9765373782121287e-09
1824,0.0
1825,3.258013947515792e-08
1826,5.284790383086602e-09
1827,1.8434546111834038e-09
1828,0.0
1829,1.714635211591542e-09
1830,9.39315203396518e-09
1831,0.0
1832,1.3529969367098715e-09
1833,0.0
1834,1.8669061851994684e-09
1835,5.294161553592858e-09
1836,6.048674894287842e-09
1837,3.409366655660051e-08
1838,1.64116205070286e-08
1839,7.690622361167243e-09
1840,1.7198159341091923e-08
1841,9.630822361827995e-09
1842,2.0795621225033756e-08
1843,4.134837805480629e-09
1844,7.683985892015244e-09
1845,9.48638767539478e-09
1846,3.5127007969038004e-09
1847,1.941560512364049e-08
1848,1.609044275596716e-08
1849,6.703531951757213e-09
1850,1.3577992064028876e-09
1851,1.483370937194195e-08
1852,1.1067927019325907e-08
1853,1.2541057081705276e-08
1854,2.182179059673217e-08
1855,1.4859423913549108e-08
1856,1.3978411317339123e-08
1857,1.1715622250108026e-08
1858,1.0766087576996597e-08
1859,1.4258085379026397e-08
1860,4.119465657481669e-09
1861,2.0278644541349422e-08
1862,8.132375661773494e-09
1863,4.994620717013731e-09
1864,6.233146443435089e-09
1865,9.413688495385486e-09
1866,0.0
1867,0.0
1868,5.9278488784286765e-09
1869,6.8369265804335555e-09
1870,2.8670243956696595e-09
1871,2.1242354542039266e-09
1872,1.1489944995446422e-08
1873,1.7958012854535355e-09
1874,1.1949218503559678e-08
1875,4.577221712764867e-09
1876,1.209202959984168e-09
1877,6.80329748092845e-09
1878,7.850815109122777e-09
1879,1.832797580370027e-09
1880,7.059631101924424e-09
1881,7.669758161910067e-09
1882,3.9932310791357395e-09
1883,1.0110942305630033e-08
1884,7.2618666635548834e-09
1885,9.023890079618013e-09
1886,1.2906927748801422e-09
1887,2.6115698492645834e-09
1888,6.340614699951175e-10
1889,1.2530273485467092e-09
1890,2.6217545912032847e-09
1891,0.0
1892,4.387958441043338e-09
1893,1.847525021858587e-09
1894,1.2603078580752936e-09
1895,6.018614495673091e-10
1896,5.89702897624278e-10
1897,1.1653427112179315e-09
1898,0.0
1899,0.0
1900,3.633737311048435e-09
1901,1.676621730339889e-09
1902,9.820567692386817e-10
