year,soins_NOUN égaux_ADJ
1800,9.432493897065797e-09
1801,3.5717739876872656e-08
1802,2.0140561218795483e-08
1803,7.801356893821776e-09
1804,0.0
1805,1.9900143755080535e-08
1806,0.0
1807,8.540865792383556e-09
1808,2.945896149242344e-08
1809,0.0
1810,9.360507036149102e-09
1811,1.0028307073639553e-08
1812,0.0
1813,0.0
1814,0.0
1815,1.6183340889597275e-08
1816,2.3176038865813098e-09
1817,0.0
1818,2.384235475716423e-09
1819,2.173720581311045e-08
1820,1.0679833017945839e-08
1821,2.9584463767662328e-09
1822,0.0
1823,5.929612356680991e-09
1824,1.9368560089105813e-08
1825,0.0
1826,1.7615968683770689e-09
1827,0.0
1828,1.8344602503717056e-09
1829,8.573175946935407e-09
1830,1.3567886369969528e-08
1831,1.4032085715598441e-08
1832,1.3529969367098715e-09
1833,8.108539617524002e-09
1834,0.0
1835,2.2689263801112247e-08
1836,4.032449929525228e-09
1837,4.174734336004349e-09
1838,1.009945904684173e-08
1839,9.088918062616358e-09
1840,9.554533164646273e-09
1841,7.0626033910059505e-09
1842,9.391571076378114e-09
1843,1.4176587015413133e-08
1844,8.781698035420504e-09
1845,3.9061593959388574e-09
1846,4.6836010625384006e-09
1847,1.6179670936367074e-09
1848,2.172209789819135e-08
1849,4.1897072478036534e-09
1850,0.0
1851,1.2898877521649865e-09
1852,7.812654523320361e-09
1853,8.360704129017904e-09
1854,5.7152309551611324e-09
1855,7.960405667972736e-09
1856,5.177189343896771e-09
1857,1.3668225662399891e-08
1858,4.404308473482388e-09
1859,1.018434669930457e-09
1860,1.2816115280145368e-08
1861,3.772770984511453e-09
1862,9.035972525772706e-10
1863,4.495158911765884e-09
1864,1.2466292886870178e-08
1865,2.8241067262513297e-09
1866,8.271541673821048e-09
1867,8.73506067478047e-09
1868,2.4699371437009177e-09
1869,1.0743741896135361e-08
1870,1.1468097582678638e-09
1871,4.248470908407853e-09
1872,9.675742873582749e-09
1873,0.0
1874,4.182226565063729e-09
1875,5.149374260327022e-09
1876,1.813804439976252e-09
