year,ces_DET yeux_NOUN,ces_DET lieues_NOUN
1800,1.4651806452548044e-06,7.231578535993322e-08
1801,1.500145003774378e-06,3.0955374485941434e-08
1802,8.459035711894103e-07,1.1189200677108602e-08
1803,1.273571541560159e-06,2.7304748684287006e-08
1804,1.399067642182672e-06,5.19088700912107e-08
1805,1.3247809675931421e-06,3.1271653710973624e-08
1806,1.1324959672265322e-06,0.0
1807,8.76862159771008e-07,0.0
1808,1.264469290163106e-06,9.064295625194063e-08
1809,9.917144296878178e-07,3.388545621874073e-08
1810,1.095179300136806e-06,8.658468919620077e-08
1811,1.318722354426427e-06,1.2535384286138651e-08
1812,8.935147590705128e-07,2.400487453257938e-08
1813,1.0611486942480042e-06,3.163315653864629e-08
1814,7.457624917606154e-07,1.4474714760126517e-07
1815,6.527281044554911e-07,3.506390555685357e-08
1816,9.061831178769353e-07,3.476405652236281e-08
1817,1.033763922464459e-06,3.269434145636296e-08
1818,1.0884035077651788e-06,3.5763532135746345e-09
1819,1.0237188661221808e-06,3.2088255608186955e-08
1820,1.4346575767376635e-06,1.6613073583471305e-08
1821,1.1892954745462703e-06,2.3667571014129862e-08
1822,1.2732531757819743e-06,1.303330066093622e-08
1823,1.164180517321256e-06,2.075364324838347e-08
1824,1.013901965052355e-06,9.263223965660927e-09
1825,1.0575336801821322e-06,2.6416328680056722e-08
1826,8.085729845674905e-07,3.3470339388941284e-08
1827,7.751726940341541e-07,2.5808364056967292e-08
1828,8.667824431540794e-07,5.503380595683893e-08
1829,9.421920736940592e-07,1.2859763753869657e-08
1830,1.1772751236094336e-06,2.922314124020886e-08
1831,1.3174569488683119e-06,2.182768810143898e-08
1832,1.6046543152015147e-06,9.470978667991403e-09
1833,1.2510318470049242e-06,4.6334514003376626e-09
1834,1.05573546704818e-06,6.34748094086035e-08
1835,1.3152210271982767e-06,3.2521278114927554e-08
1836,1.182851960379594e-06,7.392825185359442e-09
1837,1.0993468038122955e-06,1.0436835840010872e-08
1838,9.335687209954813e-07,6.943378094703689e-09
1839,8.263923803042417e-07,1.677953997969439e-08
1840,8.236007644768506e-07,1.8472096741106725e-08
1841,9.104337692633635e-07,1.733548060656176e-08
1842,1.0719807477244103e-06,1.0062397581833693e-08
1843,9.533754479207346e-07,1.7130042495594466e-08
1844,9.654379482526565e-07,1.5367971784030487e-08
1845,1.0853542917743653e-06,2.5111024815061e-08
1846,8.875424271082011e-07,2.1661654692195498e-08
1847,6.347824026420312e-07,1.3483059113639229e-08
1848,7.996950159849803e-07,1.609044364414558e-08
1849,8.58052082719496e-07,2.513824481908955e-09
1850,7.637620598188732e-07,1.5614690873633208e-08
1851,7.977955576166096e-07,2.644269914142683e-08
1852,9.511906924331015e-07,1.0416872697760482e-08
1853,8.599581917678734e-07,9.555090940693844e-09
1854,1.2973573859653698e-06,1.2989161579657349e-08
1855,1.3309798134741868e-06,1.2736649068756378e-08
1856,1.0292252170529537e-06,1.9155599773057475e-08
1857,9.977804324989847e-07,2.391939402102139e-08
1858,1.1049920445316275e-06,3.3766365703513657e-08
1859,1.32192815271992e-06,1.1202781369235026e-08
