year,bonnes_ADJ oies_NOUN,bonnes_ADJ lois_NOUN
1800,0.0,8.835102107696002e-07
1801,0.0,1.3429869341052836e-06
1802,0.0,1.3538932535084314e-06
1803,0.0,1.6928944432947901e-06
1804,0.0,2.086242147925077e-06
1805,0.0,9.125637348006421e-07
1806,0.0,6.195588753143966e-07
1807,0.0,1.0989247130055446e-06
1808,0.0,8.679063512317953e-07
1809,2.259030518203531e-09,5.534624847314262e-07
1810,0.0,6.575756401616673e-07
1811,0.0,7.170239655351907e-07
1812,0.0,6.294611694102059e-07
1813,0.0,1.0438942581458832e-06
1814,0.0,1.4411781421586056e-06
1815,0.0,1.2353283409538562e-06
1816,2.3176038865813098e-09,9.478999913881125e-07
1817,0.0,1.4292097603174625e-06
1818,0.0,1.5008762375146034e-06
1819,0.0,1.776240196704748e-06
1820,0.0,1.4833101431577234e-06
1821,0.0,1.2504367532528704e-06
1822,0.0,1.3755145573668415e-06
1823,0.0,1.125638050325506e-06
1824,0.0,9.608489790480235e-07
1825,0.0,1.0143870667889132e-06
1826,0.0,1.1318260249026935e-06
1827,0.0,1.4581726190954214e-06
1828,0.0,1.0383045037087868e-06
1829,0.0,1.21567632049846e-06
1830,0.0,1.1073483392465278e-06
1831,0.0,9.900415989250178e-07
1832,0.0,1.4382356994246948e-06
1833,0.0,1.0691688885344774e-06
1834,9.334530925997342e-10,1.0893397757172352e-06
1835,0.0,1.0716895531004411e-06
1836,7.392825018825988e-09,8.958759849519993e-07
1837,0.0,8.871310797076148e-07
1838,0.0,6.747700922460353e-07
1839,0.0,6.299318897617923e-07
1840,1.2739377330817092e-09,1.0847579687833786e-06
1841,6.420548537278137e-10,6.709473154842271e-07
1842,0.0,7.104052883732948e-07
1843,0.0,6.609833462789538e-07
1844,2.7442805805577564e-09,6.509433774226636e-07
1845,0.0,6.846939868410118e-07
1846,0.0,6.709258286718978e-07
1847,5.393223645455691e-10,9.88577880889352e-07
1848,0.0,7.570553748337261e-07
1849,0.0,6.594599426534842e-07
1850,0.0,6.028628263266e-07
1851,0.0,6.017326086293906e-07
1852,0.0,6.673308803328837e-07
1853,0.0,6.808002126490464e-07
1854,0.0,5.211251163927955e-07
1855,0.0,4.15002489262406e-07
1856,0.0,5.254847224023251e-07
1857,0.0,5.686957820216776e-07
1858,4.893676130990343e-09,5.784324912383454e-07
1859,0.0,6.67074687044078e-07
1860,0.0,5.945761927250715e-07
1861,0.0,5.376198828344059e-07
1862,0.0,6.727281629537174e-07
1863,9.989241656072068e-10,5.329260375219746e-07
1864,4.794727948009836e-10,6.199583140187315e-07
1865,0.0,5.464646051223099e-07
1866,4.865612801552288e-09,4.325529801008088e-07
1867,5.338092634588065e-09,5.299270355862973e-07
1868,0.0,5.493139951795456e-07
1869,4.883519144627257e-10,5.640464451062144e-07
1870,0.0,6.221442845344427e-07
1871,0.0,6.234631086954323e-07
1872,0.0,5.279327410789847e-07
1873,0.0,4.465559300115274e-07
1874,0.0,5.484691314450174e-07
1875,0.0,4.846133379032835e-07
1876,0.0,4.903317858406808e-07
1877,0.0,4.0757936403679196e-07
1878,0.0,4.86146632283635e-07
1879,0.0,5.174598527446506e-07
1880,0.0,4.4218961647857213e-07
1881,6.972507571312292e-10,3.7442364941853157e-07
1882,0.0,3.973264881551586e-07
1883,0.0,4.0254190025734715e-07
1884,0.0,3.2678400430086185e-07
1885,0.0,2.823188367528928e-07
1886,6.453463874400711e-10,3.7171952271819464e-07
1887,6.528924623161458e-10,3.2644624070599093e-07
1888,0.0,3.024473187451804e-07
1889,0.0,2.8381069228089473e-07
1890,6.554386478008212e-10,3.3361826012878737e-07
1891,0.0,3.550440510480257e-07
1892,0.0,4.0933386458164023e-07
1893,0.0,2.709703323944268e-07
1894,0.0,3.138166562166589e-07
1895,0.0,3.2199588417825e-07
1896,5.89702897624278e-10,2.977999713493773e-07
1897,0.0,1.981082675683865e-07
1898,1.6975064687230201e-09,2.783910701964487e-07
1899,0.0,2.387913866641611e-07
1900,5.191053142894475e-10,2.11794969118273e-07
1901,0.0,2.5149324756057467e-07
1902,4.910283846193408e-10,2.2243585817705025e-07
1903,5.400220270956879e-10,2.9053185812699667e-07
1904,0.0,2.1498500757388683e-07
1905,0.0,2.7352024289939436e-07
1906,0.0,2.1245482173526398e-07
1907,2.5714217422034835e-09,2.237136840221865e-07
1908,9.822778146428846e-10,2.0971631897737097e-07
1909,1.6502950117569526e-09,2.8275056251914066e-07
