year,dix_DET yeux_NOUN,dix_DET lieux_NOUN
1800,6.288328968651058e-09,1.2576657937302116e-08
1801,3.5717739876872656e-08,0.0
1802,4.475680270843441e-09,8.951360541686881e-09
1803,0.0,3.900678446910888e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,1.9928686256776018e-08,1.7081731584767113e-08
1808,0.0,4.5321478125970316e-08
1809,3.840351858741542e-08,0.0
1810,9.360507036149102e-09,7.020380277111826e-09
1811,1.2535384286138651e-08,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,8.627225156487839e-09
1814,2.8320094713762956e-08,0.0
1815,0.0,0.0
1816,0.0,1.3905623319487859e-08
1817,1.556873407970727e-09,1.5568733857662664e-08
1818,3.5763532135746345e-09,1.0729059418679299e-08
1819,1.035105001712111e-09,2.070210003424222e-09
1820,2.1359666035891678e-08,2.3732962262101864e-09
1821,7.88919063410276e-09,4.437669787193954e-08
1822,4.010246357211145e-09,6.015369535816717e-09
1823,7.906149512848515e-09,3.9530747564242574e-09
1824,1.2631669044083083e-08,5.052667617633233e-09
1825,5.283265824829186e-09,4.4027217427355936e-09
1826,1.761596823968148e-08,8.80798456392995e-09
1827,5.530363722527909e-09,2.7651818612639545e-09
1828,2.109629271274116e-08,7.337841001486822e-09
1829,8.573175946935407e-09,1.0287811491593857e-08
1830,2.0873671680021744e-09,2.0873671680021744e-09
1831,1.091384405071949e-08,7.795603274018958e-09
1832,1.488296597074168e-08,1.352996914505411e-08
1833,0.0,0.0
1834,1.4001796166951408e-08,1.9602515166639023e-08
1835,4.5378527602224494e-09,1.1344631900556124e-08
1836,2.688300027031687e-09,1.3441500135158435e-09
1837,1.1132625488130543e-08,1.530736071231331e-08
1838,1.5780405204779413e-08,1.4517972601879592e-08
1839,4.194885327990505e-09,0.0
1840,9.554533164646273e-09,3.821813088222825e-09
1841,2.0545755319290038e-08,3.852329122366882e-09
1842,4.695785538189057e-09,6.708265054555795e-09
1843,2.008349753168659e-08,1.2995204023980023e-08
1844,1.7563396292885614e-08,4.390849017710252e-09
