year,avez_VERB eu_VERB,avez_VERB lu_VERB
1800,1.9368053472135216e-06,2.5467733166806283e-07
1801,2.512147602828918e-06,2.0716288418043405e-07
1802,2.246791609650245e-06,2.864435373339802e-07
1803,1.7728583543430432e-06,3.939685200293752e-07
1804,2.867347120627528e-06,3.781931923185766e-07
1805,2.5216324957000325e-06,2.9850215810256486e-07
1806,2.8931958695466164e-06,1.7578182109900808e-07
1807,1.9074598185397917e-06,1.7366426163789583e-07
1808,1.774335942172911e-06,2.809931629599305e-07
1809,2.4374940039706416e-06,2.4623432182124816e-07
1810,2.6232821710436838e-06,2.7145469516653975e-07
1811,1.6897697605600115e-06,1.6295999216708879e-07
1812,2.107094587699976e-06,2.5871921138787e-07
1813,1.5126400967346854e-06,3.6809493053624465e-07
1814,1.9540864286682336e-06,2.5488085952929396e-07
1815,1.882661990748602e-06,2.643278946834471e-07
1816,1.9769161099247867e-06,2.804300720526953e-07
1817,2.797701426970889e-06,4.2969705305040407e-07
1818,2.561861037975177e-06,3.552510747795168e-07
1819,2.3621096261194907e-06,3.136368036393833e-07
1820,2.950007228719187e-06,2.990353209497698e-07
1821,4.243398507242091e-06,6.607197065022774e-07
1822,2.961566906378721e-06,2.9274798407641356e-07
1823,2.855108277799445e-06,2.441023525534547e-07
1824,2.629071332194144e-06,3.6716050999530125e-07
1825,2.668049319254351e-06,2.4214969585045765e-07
1826,2.2522015115100658e-06,2.3253078040852415e-07
1827,2.0296436105127214e-06,2.7467473273645737e-07
1828,2.7168355245521525e-06,3.5955420685240824e-07
1829,2.062706244032597e-06,3.47213642726274e-07
1830,2.2908855044079246e-06,3.8511925026796234e-07
1831,2.7565251912164968e-06,4.334355310220417e-07
1832,3.180895873811096e-06,5.222568120188953e-07
1833,2.5657736841822043e-06,5.455888754113403e-07
1834,2.41951033785881e-06,3.5377871654418414e-07
1835,2.822544502123492e-06,3.781543966852041e-07
1836,2.754163460849668e-06,2.661417113358766e-07
1837,2.3002787656878354e-06,2.9918930977146374e-07
1838,2.1145742721273564e-06,3.408567295082321e-07
1839,2.2351746338244993e-06,3.0552746466128156e-07
1840,2.161872316719382e-06,2.3758938993978518e-07
1841,2.1219912014203146e-06,2.6837892619369086e-07
1842,2.1124326394783566e-06,2.6698896249399695e-07
1843,2.2050498955650255e-06,2.8175966804155905e-07
1844,1.9402064026508015e-06,2.639997944697825e-07
1845,2.1210446448094444e-06,2.1707086261812947e-07
1846,2.2077324501879048e-06,3.3604837312850577e-07
1847,1.8719879335549194e-06,2.2004351762916485e-07
1848,2.124743105014204e-06,2.4779282625786436e-07
1849,2.175296231143875e-06,2.865759824999259e-07
1850,2.207102625106927e-06,2.3557815609365207e-07
1851,2.1050968825875316e-06,2.2444046976488607e-07
1852,2.140016249541077e-06,2.1810326700233418e-07
1853,2.124813363479916e-06,2.7291727633382834e-07
1854,2.0569634671119275e-06,2.7640933808470436e-07
1855,2.230505742772948e-06,2.435884027818247e-07
1856,2.460200221321429e-06,2.490228041551745e-07
1857,2.294309297212749e-06,2.479806653354899e-07
1858,2.703756081245956e-06,3.347274457610183e-07
1859,2.2069480110076256e-06,2.841432831246493e-07
1860,2.5174510938086314e-06,3.162834047998331e-07
1861,2.549450073274784e-06,2.8012823349854443e-07
1862,2.8196752737130737e-06,2.0195398064970504e-07
1863,2.4833254883560585e-06,3.366374414781603e-07
