year,autres_ADJ âmes_NOUN,autres_ADJ ames_NOUN,autres_ADJ lames_NOUN
1800,1.8864987794131594e-08,3.144164395507687e-08,1.1947824418712116e-07
1801,2.3811825844433088e-09,2.3811825400343878e-08,9.048493865293494e-08
1802,1.3427040812530322e-08,1.0070280609397742e-07,9.398928568771225e-08
1803,5.851017448321727e-09,3.510610468993036e-08,1.3457341196954076e-07
1804,9.887403784603066e-09,3.460591457837836e-08,1.656140113936999e-07
1805,8.528632911009026e-09,2.55858996212055e-08,7.391481915419718e-08
1806,2.305335300434308e-08,2.5935023018064385e-08,8.645007198992971e-08
1807,1.7081731584767113e-08,3.131650672116848e-08,1.7081731584767113e-08
1808,2.2660739951163578e-09,5.891792298484688e-08,8.611080914988634e-08
1809,0.0,9.262024946998793e-08,2.0331274441787173e-08
1810,1.4040760554223652e-08,1.0530570282440976e-07,1.8721014072298203e-08
1811,2.5070768572277302e-08,5.766276700569506e-08,1.504245972228091e-08
1812,2.1337665856435706e-08,1.0935553973467904e-07,1.7603574065105931e-07
1813,2.5881675469463516e-08,8.052076339026826e-08,1.121539270343419e-07
1814,6.293354282149721e-09,5.034683425719777e-08,4.405347908686963e-07
1815,1.6183340889597275e-08,7.282503844407984e-08,4.315557688983063e-08
1816,2.1785476178592944e-07,5.5622493277951435e-08,5.28413693245966e-07
1817,4.514932783195036e-08,8.251429051142622e-08,1.1053801074467628e-07
1818,2.6226590676969863e-08,7.033494608954527e-08,6.795070817133819e-08
1819,8.280839836061205e-08,6.003609342997152e-08,6.624672010957511e-08
1820,9.8491796052258e-08,6.407899544313977e-08,1.1747816586193949e-07
1821,4.832129363308013e-08,8.480879720718093e-08,6.607196922914227e-08
1822,1.1529458276982041e-07,5.213320264374488e-08,1.1729970594842598e-07
1823,5.5343047478118024e-08,4.15072847204101e-08,3.063632902922109e-08
1824,6.231623217445303e-08,2.4421225930382207e-08,7.579001248814166e-08
1825,9.245714949202011e-08,5.723537910284904e-08,7.396571932716256e-08
1826,2.7304752237000685e-08,3.170874407487645e-08,6.077509140389736e-08
1827,5.346018383534101e-08,4.2399456390285195e-08,1.1982455028203276e-08
1828,4.4027046897099353e-08,4.861319524707142e-08,8.89713192009367e-08
1829,4.4580517055692326e-08,5.658296231558779e-08,8.05878560550255e-08
1830,4.905312778191728e-08,3.444155893816969e-08,1.1480519646056564e-07
1831,5.456922025359745e-08,1.138158063351824e-07,3.274153215215847e-08
1832,4.6001897402447867e-08,4.6001897402447867e-08,8.253281436054749e-08
1833,6.255159235024621e-08,7.29768601104297e-08,1.633291617508803e-07
1834,9.427876079826092e-08,1.2134890314818847e-07,6.067445212920575e-08
1835,6.882410019670715e-08,7.865611451052246e-08,7.563087933704082e-08
1836,1.25005954032531e-07,9.677879830860547e-08,5.309392392405243e-08
1837,9.949783930096601e-08,4.87052354003481e-08,1.0367257630150561e-07
1838,8.584540012179787e-08,1.64116205070286e-08,4.607878167917079e-08
1839,8.040196775027653e-08,5.1037767900830033e-08,6.292327725532232e-08
1840,1.0382592563473736e-07,2.8663599493938818e-08,8.407989326997267e-08
1841,1.8105946253399452e-07,7.640452803769904e-08,6.22793194793303e-08
1842,2.2741018312899541e-07,3.8237111255057243e-08,4.695785449371215e-08
1843,2.002442869297738e-07,2.953455624510326e-08,5.611565612184677e-08
1844,1.9758820712922898e-07,3.0187087551869496e-08,2.140538946093784e-08
1845,2.4329793291144597e-07,1.7298706134205588e-08,5.9150416120701266e-08
1846,2.534999055114895e-07,3.219975797108532e-08,3.805426018743674e-08
1847,9.707802917091612e-08,2.6966118227278457e-09,6.903326266183285e-08
1848,1.078059739256787e-07,2.413566591030758e-08,3.539897619475596e-08
1849,1.944024319300297e-07,2.0948537127196687e-08,7.54147322368226e-08
1850,1.0862393651223101e-07,1.3577992064028876e-08,5.634866795389826e-08
1851,1.3221350059211545e-07,5.159551008659946e-09,3.998651920689156e-08
1852,2.1159272023396625e-07,1.0416872697760482e-08,6.445439737490233e-08
1853,2.0662884026023676e-07,4.180352286553557e-09,4.837264810930719e-08
1854,2.3276577110209473e-07,1.0910894965299178e-08,6.754363823802123e-08
1855,2.297903733960993e-07,3.1841622671890946e-09,5.306937111981824e-08
1856,2.0398125855081162e-07,2.2779633290781476e-08,3.209857268871019e-08
1857,3.5146865684509976e-07,2.147864019974577e-08,8.347380742179666e-08
1858,2.941099239706091e-07,1.9085335867252695e-08,4.7468656561022726e-08
1859,3.4779543511831434e-07,6.110608019582742e-09,3.106225676674512e-08
1860,2.2107798258730327e-07,9.612086460109026e-09,4.165237399433863e-08
1861,3.5605526704785007e-07,4.244367357575385e-09,6.366551019709732e-08
1862,3.14451853000719e-07,1.1294965879260488e-08,7.093238707511773e-08
1863,2.64215429979231e-07,7.491931519609807e-09,2.097740825490746e-08
1864,2.382979857884493e-07,2.06173303984869e-08,2.6371003158942585e-08
1865,2.033356736319547e-07,6.589582213223366e-09,4.000817810378976e-08
1866,2.2819725131739688e-07,4.37905156580598e-09,2.8707116683790446e-08
1867,1.9265661421741243e-07,4.367530337390235e-09,6.648351558169452e-08
1868,2.025348351253342e-07,5.433861360870651e-09,4.297690381349639e-08
1869,2.6126826924155466e-07,2.441759683335931e-09,4.199826619810665e-08
1870,1.9667787398702785e-07,8.027668307875047e-09,4.3578772590535664e-08
1871,1.4338588982809597e-07,8.496941816815706e-09,8.284518315804235e-08
1872,1.9411959328863304e-07,4.8378714367913744e-09,2.7817760539505798e-08
1873,2.0711576098619844e-07,8.979006316245375e-09,1.5264311059581814e-07
1874,1.1530995891462226e-07,4.779687312606029e-09,5.018671700440791e-08
1875,1.4418247928915662e-07,1.0298749131276708e-08,3.89063856687244e-08
1876,1.6868381180756842e-07,3.02300739996042e-09,1.6324239737741664e-08
1877,1.7193788437452895e-07,6.184815992682502e-09,3.587193120324628e-08
1878,1.437303041029736e-07,8.454723976480949e-09,5.495570576385944e-08
1879,1.6250805856543593e-07,7.94212251520321e-09,5.376206146934237e-08
1880,1.5852080537115398e-07,2.5671385017744797e-09,4.299957012676714e-08
1881,1.3526664588425774e-07,2.7890030285249168e-09,4.113779539238749e-08
1882,1.457529350545883e-07,5.324307883469714e-09,8.518892968822911e-08
1883,1.6430281846169237e-07,3.791603475633565e-09,4.486730631469982e-08
1884,1.5381954199256143e-07,1.3203393933736152e-09,9.110341636642261e-08
1885,1.443822412738882e-07,5.156508664505566e-09,4.576401479994274e-08
1886,1.3745878391091537e-07,5.1627709884982664e-09,5.808117364836107e-08
1887,1.4037188122983935e-07,2.6115698492645834e-09,5.6148753202478474e-08
1888,1.6231973631875007e-07,6.340614699951175e-10,7.989174832800927e-08
1889,1.4723070762556745e-07,2.506054641582267e-09,4.698852507090123e-08
1890,1.3108773089243186e-07,7.865263995654459e-09,6.226667448316903e-08
1891,1.5043158896332898e-07,4.46195413950079e-09,5.16311828846483e-08
1892,1.8366741016961896e-07,1.8805537127519756e-09,4.137218212463267e-08
1893,1.576554637949812e-07,1.2316833108982905e-09,5.173069794750518e-08
1894,1.4934647651898558e-07,1.0082462864602348e-08,3.465846631911518e-08
1895,2.2991108039605024e-07,5.416753046105782e-09,4.4537749044337716e-08
1896,1.8752551511624915e-07,1.179405795248556e-09,2.181900704556483e-08
1897,2.1733642086019245e-07,6.992056045262984e-09,5.127508018176741e-08
1898,2.1275414496813028e-07,6.2241901632731356e-09,7.525611778191887e-08
1899,2.1447004883157206e-07,4.9748205555033564e-09,3.371822998587959e-08
1900,2.0089375141196797e-07,1.038210628578895e-09,4.879590065343109e-08
1901,2.0398897504492197e-07,1.1177477832191585e-09,4.694540578498163e-08
1902,1.5860216251439851e-07,3.437198747846537e-09,1.1342755357190981e-07
