year,certaines_DET armes_NOUN,certaines_DET larmes_NOUN
1800,4.087413785214267e-08,3.144164484325529e-09
1801,3.809892135109294e-08,0.0
1802,1.5664880947952042e-08,8.951360541686881e-09
1803,5.851017448321727e-09,0.0
1804,2.2246657849223084e-08,0.0
1805,5.685755422035754e-09,0.0
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,9.064295980465431e-09,0.0
1809,1.129515236897305e-08,0.0
1810,0.0,0.0
1811,2.0056614147279106e-08,7.521229861140455e-09
1812,2.1337665856435706e-08,0.0
1813,3.163315653864629e-08,5.751483289628823e-09
1814,3.4613449884091096e-08,0.0
1815,8.091670444798638e-09,8.091670444798638e-09
1816,2.0858434979231788e-08,0.0
1817,1.5568733857662664e-08,1.556873407970727e-09
1818,2.98029441125891e-08,3.5763532135746345e-09
1819,3.726378139390363e-08,1.035105001712111e-09
1820,2.8479554714522237e-08,4.746592452420373e-09
1821,2.3667571014129862e-08,8.875339574387908e-09
1822,1.303330066093622e-08,3.0076847679083585e-09
1823,1.581229902569703e-08,1.087095569118901e-08
1824,1.8526447931321854e-08,0.0
1825,3.6102318246022946e-08,3.522177216552791e-09
1826,9.072223861039674e-08,1.7615968683770689e-09
1827,2.488663675137559e-08,7.373818444733615e-09
1828,2.8434133270138773e-08,1.1923991571904935e-08
1829,2.6576845613135447e-08,3.429270423183084e-09
1830,2.817945699007396e-08,0.0
1831,3.1182413096075834e-08,4.677361609140007e-09
1832,3.3824925083081325e-08,1.3529969367098715e-09
1833,2.20088942626262e-08,8.108539617524002e-09
1834,2.14694217959277e-08,1.120143711119681e-08
1835,8.470658485748572e-08,3.025235173481633e-09
1836,5.04056263395114e-08,1.008112526790228e-08
1837,2.991893033321702e-08,9.74104708006962e-09
1838,5.9334322344284374e-08,5.680945491803868e-09
1839,4.055055669027752e-08,2.0974426639952526e-09
1840,3.3759349093998026e-08,1.9109065441114126e-09
1841,3.274479842829692e-08,3.852329122366882e-09
1842,3.018719274550108e-08,2.683306021822318e-09
1843,2.3036953678001737e-08,2.3627644285539873e-09
1844,3.0735944511750546e-08,6.586273748609983e-09
1845,3.459741293454499e-08,0.0
1846,3.3956109035671034e-08,1.1709002656346001e-09
1847,4.206714443455439e-08,2.6966118227278457e-09
1848,2.333114274000181e-08,2.413566457803995e-09
1849,2.513824570726797e-08,0.0
1850,2.7834882843080777e-08,1.0862393651223101e-08
1851,5.997978291816253e-08,3.2247193804124663e-09
1852,3.190167419120371e-08,5.208436348880241e-09
1853,4.18035241978032e-08,1.0749477752369785e-08
1854,2.8056587719760273e-08,1.5586993362681767e-09
1855,3.449509122788186e-08,1.326734277995456e-08
1856,3.6240326295455816e-08,5.177189232874468e-10
1857,4.539803488690097e-08,2.9289055625270066e-09
1858,4.5511185930990905e-08,5.3830437884982985e-09
1859,4.53203412575931e-08,3.055304009791371e-09
1860,2.9751696217772405e-08,4.577183909670879e-10
1861,6.508030159224631e-08,6.602349167383892e-09
1862,4.969784950237255e-08,1.8071945329101169e-09
1863,3.3963421408600425e-08,3.995696662428827e-09
1864,4.2193605054308136e-08,9.589455896019672e-10
1865,3.812543841741345e-08,1.882737743486018e-09
1866,6.471265301399853e-08,2.919367858567057e-09
1867,5.095452237924292e-08,5.338092634588065e-09
1868,5.878450082263953e-08,8.397785578040384e-09
