year,vingt - trois lettres
1800,2.755814776378429e-08
1801,1.8304880278208202e-08
1802,3.4489059608233674e-08
1803,0.0
1804,5.436811001402475e-09
1805,3.122235137098528e-09
1806,2.211952132569195e-08
1807,0.0
1808,0.0
1809,7.412877423007558e-09
1810,3.846435348009436e-08
1811,0.0
1812,2.920916841731014e-09
1813,3.1470654970888745e-09
1814,0.0
1815,3.2520592441187546e-08
1816,0.0
1817,3.4122471515019015e-09
1818,5.213291576211532e-09
1819,4.5224362033025045e-09
1820,9.064108574818874e-09
1821,1.0800321748050123e-09
1822,0.0
1823,7.5571104929395e-09
1824,3.031887629845187e-08
1825,4.805352116221684e-09
1826,4.805295716892033e-09
1827,0.0
1828,2.0046215798430467e-09
1829,9.365494157975718e-09
1830,0.0
1831,0.0
1832,1.1861017945591357e-08
1833,0.0
1834,1.125161752657533e-08
1835,4.149802723674156e-09
1836,5.87479176417105e-09
1837,7.590987838312913e-10
1838,2.0646728771112066e-09
1839,1.0699610086817302e-08
1840,8.350246716304355e-09
1841,1.9655413296959523e-08
1842,9.535770395530108e-09
1843,2.3235042334590617e-08
1844,2.752627992208545e-08
1845,2.318153846658788e-08
1846,7.687925851485033e-09
1847,9.42495947953148e-09
1848,8.80901662725364e-09
1849,1.834842278114479e-09
1850,1.1145099954035231e-08
1851,8.470282253369987e-09
1852,3.424095346149514e-08
1853,1.24203793916422e-08
1854,2.159609913121585e-08
1855,2.152581535241893e-08
1856,1.644630742703157e-08
1857,2.6748486092742496e-08
1858,2.144395061520754e-08
1859,1.6722781381872664e-08
1860,1.8064735984868463e-08
1861,1.7557068687779065e-08
1862,3.020161853939385e-08
1863,2.522002073845897e-08
1864,4.094640859708676e-08
1865,3.766512074454553e-08
1866,2.295901602167305e-08
1867,2.1293327989724276e-08
1868,2.163964563095533e-09
1869,1.7143399144714522e-08
1870,1.6336549890638707e-08
1871,1.2831418372272196e-08
1872,7.296862669647908e-09
1873,6.560424203883031e-09
1874,7.210680497138355e-09
1875,4.3380094183476103e-08
1876,1.2617579092655262e-08
1877,2.79109961809354e-08
1878,2.7916717826315107e-08
1879,5.779655065651923e-08
1880,6.360284798834215e-09
1881,1.0758149371348225e-08
1882,1.6120793588925153e-08
1883,5.573287609195177e-09
1884,1.236723196074152e-08
1885,6.39187558437726e-09
1886,2.560126555195552e-08
1887,2.1607871936168976e-08
1888,6.9890195852906345e-09
1889,2.8347654168481284e-08
1890,2.168692442294784e-08
1891,1.8973458526527764e-08
1892,1.106750158186287e-08
1893,2.377529639829845e-08
1894,6.958809528612164e-09
1895,5.313565976106105e-09
1896,7.80522491083957e-09
1897,2.1902260449735422e-08
1898,1.872777799505343e-08
1899,2.928196840557007e-08
1900,1.548721195732128e-08
1901,1.6651834466863136e-08
1902,9.19215947803309e-09
1903,2.2651770681392236e-08
1904,2.5521474933398736e-08
1905,1.025621299000079e-08
1906,2.554045774871838e-08
1907,9.093903408086135e-09
1908,7.05232355846519e-09
1909,1.516516379140853e-08
1910,1.828491158484269e-08
1911,1.8202611196116436e-08
1912,1.2070215937853845e-08
1913,2.4574620116624146e-08
1914,6.647934203130035e-09
1915,1.1689287759963918e-08
1916,7.256016232304319e-09
1917,9.64881863296796e-09
1918,2.5275392556700638e-08
1919,2.4323870917442036e-08
1920,7.509038890685105e-09
1921,1.2535439353200672e-08
1922,2.4431661138635263e-09
1923,1.2904556534465428e-08
1924,2.99230187295052e-08
1925,1.4622223432070314e-08
1926,4.938281339406103e-09
1927,2.838816359762575e-08
1928,8.856155808700805e-09
1929,2.0982465542829232e-08
1930,8.138055562767477e-09
1931,7.577127592028887e-09
1932,8.490174341346801e-09
1933,8.88158435685682e-09
1934,1.9911264415028995e-08
1935,1.5916487683398373e-08
1936,2.0133439804226327e-08
1937,3.0684700558225586e-08
1938,2.151616662615652e-08
1939,3.388435088069741e-09
1940,2.8146149855245994e-09
1941,1.3123854003538327e-08
1942,1.6821976700498453e-08
1943,1.284549089319853e-08
1944,3.5494505112865227e-09
1945,0.0
1946,3.079471788680621e-09
1947,2.633565587828457e-09
