year,belles_ADJ armes_NOUN,belles_ADJ larmes_NOUN
1800,2.829747991484055e-08,1.8864987794131594e-08
1801,1.1191558257905854e-07,2.3811825844433088e-09
1802,1.2755688771903806e-07,5.594600338554301e-08
1803,1.1116933507082649e-07,9.166594594489652e-08
1804,1.038177401824214e-07,4.943701892301533e-09
1805,8.812921237222326e-08,3.695740957709859e-08
1806,7.492339904047185e-08,4.8988376022407465e-08
1807,1.7081731584767113e-08,1.1103124819555887e-07
1808,1.5635910699529632e-07,2.7192887941396293e-08
1809,4.51806094758922e-08,4.0662548883574345e-08
1810,8.89248141788812e-08,2.3401267590372754e-09
1811,2.0558029234507558e-07,5.515568801683912e-08
1812,1.520308643421231e-07,2.400487453257938e-08
1813,1.322841143291953e-07,5.751483289628823e-09
1814,7.866692897096073e-08,6.293354282149721e-09
1815,3.776112933451259e-08,1.0788894222457657e-08
1816,1.3905623319487859e-08,6.952811659743929e-09
1817,9.808302792180257e-08,2.0239355080775567e-08
1818,1.0729059596314983e-07,1.3113295338484932e-08
1819,3.56076128582572e-07,1.8631890696951814e-08
1820,9.967844505354151e-08,2.1359666035891678e-08
1821,1.64686852599516e-07,0.0
1822,1.664252238242625e-07,2.5064039732569654e-08
1823,2.1148949258531502e-07,9.882686891060644e-10
1824,7.747424035642325e-08,3.452656116564867e-08
1825,2.685660263068712e-07,2.905796137042671e-08
1826,2.809746888488007e-07,5.284790383086602e-09
1827,1.3733736636822869e-07,8.295545583791863e-09
1828,1.2474329480482993e-07,2.659967357487858e-08
1829,1.1659519572049248e-07,2.571952872898464e-09
1830,1.0436836106464398e-07,7.305785310052215e-09
1831,1.3096612860863388e-07,1.2472964883158966e-08
1832,1.1500473817704915e-07,1.8941957335982806e-08
1833,1.1467792404573629e-07,3.1275796175123105e-08
1834,1.3721761149554368e-07,2.0535967593104942e-08
1835,2.38993578705049e-07,3.781543966852041e-09
1836,3.1318694482251885e-07,1.344150035720304e-08
1837,1.9134199646941852e-07,9.045257876039159e-09
1838,3.793609266722342e-07,3.408567295082321e-08
1839,2.0415107826465828e-07,1.5381244722334486e-08
1840,2.1274760797496128e-07,2.293087852933695e-08
1841,1.46388501320871e-07,3.146068650039524e-08
1842,1.442276982288604e-07,2.0795621225033756e-08
1843,9.569195924541418e-08,1.0041748765843295e-08
1844,1.0208724177118711e-07,1.4270259640625227e-08
1845,1.964240254892502e-07,2.287893430263921e-08
1846,1.3933713205460663e-07,2.9272506196775794e-08
1847,7.658377398911398e-08,4.853901280910122e-09
1848,1.0056527344204369e-07,2.172209789819135e-08
1849,1.0306680309213334e-07,2.1786478399121734e-08
1850,1.9280749086192372e-07,3.869727649430388e-08
1851,1.2060451126671978e-07,1.4188765717904062e-08
1852,1.0026239749549859e-07,3.711010876372711e-08
1853,1.4272917780999705e-07,3.642878354526147e-08
1854,1.3352857308746025e-07,2.5458755104068587e-08
1855,9.97704177052583e-08,3.290301009428731e-08
1856,1.4081955157507764e-07,2.7956822634678247e-08
1857,1.6450685791369324e-07,3.9540225316159194e-08
1858,1.414272361444091e-07,4.306435030798639e-08
1859,2.057238077668444e-07,2.5970084749360467e-08
1860,1.4601216946630302e-07,4.027921818305913e-08
1861,1.3393336928402277e-07,4.0557289082698844e-08
1862,1.527079405150289e-07,2.981871105589562e-08
1863,1.4784077961849107e-07,3.3963420520422005e-08
1864,1.2034767848945194e-07,4.267307929239905e-08
1865,1.510897078560447e-07,2.165148416111151e-08
1866,1.8586641203910403e-07,2.77339928800302e-08
1867,2.3002326088317204e-07,4.076361648230886e-08
1868,1.6647375389311492e-07,3.556709415875048e-08
1869,1.3185501757106977e-07,4.0044856319809696e-08
1870,1.5309910850191955e-07,3.096386436141074e-08
1871,1.2957836759142083e-07,3.9298356568906456e-08
1872,1.1610891448299299e-07,2.3584624031514068e-08
1873,1.4426271377487865e-07,2.5141218884527916e-08
1874,1.4817030091762717e-07,2.9873046258899194e-08
1875,1.6249137502200028e-07,3.20405533216217e-08
1876,2.7932588864132413e-07,4.111290152764013e-08
1877,1.4225076938600978e-07,2.968711676487601e-08
1878,7.669642343444139e-08,3.744235144154118e-08
