year,devons_VERB imiter_VERB,devons_VERB limiter_VERB
1800,1.0061326349841693e-07,3.144164484325529e-09
1801,7.619784270218588e-08,0.0
1802,5.147032311469957e-08,0.0
1803,6.826187615160961e-08,0.0
1804,7.168367943677367e-08,0.0
1805,6.822906328807221e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,5.4092147649953404e-08,0.0
1808,5.211970233176544e-08,0.0
1809,6.777091243748146e-08,0.0
1810,3.7442028144596406e-08,0.0
1811,5.0141537144554604e-08,0.0
1812,1.520308643421231e-07,0.0
1813,5.176335093892703e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,5.933891955578474e-08,0.0
1816,1.715026911597306e-07,0.0
1817,2.9580593974287694e-08,0.0
1818,6.675859509641668e-08,0.0
1819,3.519356894798875e-08,0.0
1820,3.678609061807947e-08,0.0
1821,1.1932401378089708e-07,0.0
1822,8.521773509073682e-08,0.0
1823,6.324919610278812e-08,0.0
1824,5.052667617633233e-08,0.0
1825,1.0566531472022689e-07,0.0
1826,6.34174881497529e-08,0.0
1827,5.346018383534101e-08,0.0
1828,4.494427585655103e-08,0.0
1829,6.77280880267972e-08,0.0
1830,8.975678866818271e-08,0.0
1831,3.274153215215847e-08,0.0
1832,5.0060886991332154e-08,0.0
1833,6.602667923516492e-08,0.0
1834,9.801257760955195e-08,0.0
1835,5.596685070941021e-08,0.0
1836,1.1089237261785456e-07,0.0
1837,8.349469027280065e-08,4.87052354003481e-09
1838,4.292270006089893e-08,0.0
1839,5.733009800223954e-08,0.0
1840,9.681927082283437e-08,0.0
1841,8.796151718115652e-08,0.0
1842,6.439934452373564e-08,6.708265054555795e-10
1843,8.565021403228457e-08,0.0
1844,1.08673511078905e-07,6.037417232818143e-09
1845,1.1606874039671311e-07,2.7901139176833567e-09
1846,7.025401771443285e-08,2.3418005312692003e-09
1847,7.5505127483666e-08,3.775256551818984e-09
1848,1.0378335701943797e-07,0.0
1849,4.776266493422554e-08,5.865590679832167e-09
1850,7.807345525634446e-08,3.394498016007219e-09
1851,6.965393595237401e-08,1.2898877521649865e-09
1852,7.161600024119252e-08,0.0
1853,6.867721680237082e-08,1.1943863675867306e-09
1854,9.715892446138241e-08,0.0
1855,7.695058457102277e-08,1.2205955357558196e-08
1856,1.1545132139190173e-07,5.177189232874468e-10
1857,7.127002987772357e-08,0.0
1858,5.725600971118183e-08,4.893676019968041e-10
1859,3.258990943777462e-08,4.582956236731661e-09
1860,7.094634923987542e-08,1.8308735638683515e-09
1861,6.460870594082735e-08,8.960331143725853e-09
1862,4.789065499721801e-08,4.066187830886747e-09
1863,5.4940830551686304e-08,4.495158911765884e-09
1864,6.664672014267126e-08,5.274200631788517e-09
1865,9.554894120356039e-08,1.882737743486018e-09
1866,1.0996285482178791e-07,7.784980660119345e-09
1867,5.532205094027631e-08,5.338092634588065e-09
1868,4.890475224783586e-08,1.0373735648272486e-08
1869,5.274200631788517e-08,5.860222973552709e-09
1870,8.486392033546508e-08,6.307453670473251e-09
1871,6.585129597169725e-08,2.1242354542039266e-09
1872,5.744972497723211e-08,2.4189357183956872e-09
1873,6.70432527272169e-08,3.591602570907071e-09
1874,2.6288279997288555e-08,2.9873046258899194e-09
1875,4.63443683429432e-08,6.865832347102696e-09
1876,3.567148709748835e-08,1.209202959984168e-09
1877,4.824156363270049e-08,4.9478527941460015e-09
1878,3.744235144154118e-08,4.22736201599605e-09
1879,3.726688291294522e-08,1.221865053580018e-09
1880,4.3641353641987735e-08,3.2089231272180996e-09
1881,3.2770785196589713e-08,2.7890030285249168e-09
1882,3.527354053289855e-08,5.989846840748214e-09
1883,4.486730631469982e-08,3.159669414998234e-09
1884,1.8484751507230612e-08,7.2618666635548834e-09
1885,2.0626034213933053e-08,3.2228177904158883e-09
1886,3.549405036551434e-08,3.872078213618124e-09
1887,3.395040693021656e-08,4.570247291724172e-09
1888,4.057993407968752e-08,9.510921827882157e-09
1889,2.318100555953606e-08,1.1277245803853475e-08
1890,2.1629475099871343e-08,3.2771931834929546e-09
1891,3.633305567518619e-08,6.3742202627281586e-09
1892,5.202865338560514e-08,1.8805537127519756e-09
1893,1.847524977449666e-08,1.2316833108982905e-09
1894,2.457600345451283e-08,8.192000855444803e-09
1895,2.8287487907618925e-08,8.426059849853118e-09
1896,2.7716035688740703e-08,5.307326134129653e-09
1897,2.680288169187861e-08,1.1653427112179315e-09
1898,4.3003495875382214e-08,1.6975064687230201e-09
1899,3.814029270188257e-08,6.633094074004475e-09
1900,2.803168719367477e-08,6.22926377147337e-09
1901,2.459045056468767e-08,2.794369402536745e-09
1902,1.2275709337927765e-08,6.874397495693074e-09
1903,2.6461078661554893e-08,1.4040573148577096e-08
1904,1.7198800605910947e-08,8.599400302955473e-09
1905,2.7352022868853965e-08,6.708986699521802e-09
1906,2.6749759740596346e-08,5.658602919567102e-09
1907,2.4171363577352167e-08,1.5942815068115124e-08
1908,2.504808449543816e-08,1.1296195090437777e-08
1909,2.7504917454734823e-08,3.850688656825696e-09
1910,1.7635697346918278e-08,6.947395991829808e-09
1911,1.702519725199636e-08,9.044636151145369e-09
1912,2.135862686714063e-08,2.6047106693738442e-09
1913,3.1287640922528226e-08,3.71209285532359e-09
1914,1.0714789944188396e-08,6.696743604095445e-09
1915,3.416420923940677e-08,1.0602685840410686e-08
1916,1.3184954461564757e-08,2.0876177231343718e-08
1917,2.0836205649743533e-08,1.4256351654751143e-08
1918,1.4932290071101306e-08,5.743188147278033e-09
1919,1.6574126959767455e-08,6.4454939163738345e-09
1920,2.7260034229925623e-08,1.2115570768855832e-08
1921,1.5902768879527684e-08,1.741731914250977e-08
1922,2.5822775029382683e-08,8.115729421831475e-09
1923,1.6985516992917837e-08,9.554353752605493e-09
1924,1.675911143195208e-08,1.0313299547703991e-08
1925,7.698724324711748e-09,8.798542339150117e-09
1926,1.671920735191179e-08,1.89484357093761e-08
1927,1.3379070296082318e-08,4.4596899506643695e-09
1928,1.3711249025050165e-08,6.8556245125250825e-09
1929,8.912325100141061e-09,1.7824650200282122e-08
1930,1.995684684175103e-08,5.2518016602221e-09
1931,1.8248570654577634e-08,6.843213995466613e-09
1932,2.1919072779041926e-08,6.575722188983946e-09
1933,2.064719240024715e-08,1.0323596200123575e-08
1934,1.5576054224197833e-08,7.188948103475923e-09
1935,2.2739740757060645e-08,8.377798899061872e-09
1936,8.487299751891442e-09,7.274828739411987e-09
1937,1.1332006444320086e-08,1.3850230295986421e-08
1938,1.0372171566075394e-08,6.482607339819424e-09
1939,1.8352860564618823e-08,9.176430282309411e-09
1940,5.0715658339584024e-09,5.0715658339584024e-09
1941,2.9515025978810172e-09,2.9515025978810172e-09
1942,6.068423541449874e-09,0.0
1943,1.4516175816936538e-08,5.806470415592457e-09
1944,2.2492303131116387e-08,3.213186161588055e-08
1945,1.089252066321933e-08,1.089252066321933e-08
1946,9.744772988540262e-09,2.7842208538686464e-09
1947,1.7881307101674793e-08,1.6689218895749036e-08
1948,2.174377566888097e-09,8.697510267552389e-09
1949,8.835307596655184e-09,1.3743811422273211e-08
1950,6.381216888229346e-09,7.444753258312176e-09
1951,1.0661401539380222e-08,1.7058242818279723e-08
1952,8.435843135146115e-09,1.1599284199803606e-08
1953,7.54167928107563e-09,1.8315507332999914e-08
1954,1.4658803948464083e-08,1.07497895029951e-08
1955,6.569925492527773e-09,1.5016972554349195e-08
1956,1.2209598665435806e-08,6.104799332717903e-09
1957,3.534015080575159e-09,1.6786572132332367e-08
1958,1.4062814024384807e-08,5.790570245522986e-09
1959,6.200598257066758e-09,2.2477168570844697e-08
