year,résultats_NOUN égaux_ADJ,résultats_NOUN légaux_ADJ
1800,0.0,0.0
1801,3.095537337571841e-08,0.0
1802,2.4616241489638924e-08,0.0
1803,5.851017448321727e-09,0.0
1804,1.2359254952798437e-08,0.0
1805,3.980028751016107e-08,0.0
1806,1.152667650217154e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,4.305540457494317e-08,0.0
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,7.521229861140455e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,2.8757416004054903e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,1.3486118000116676e-08,0.0
1816,6.952811659743929e-09,0.0
1817,7.784366928831332e-09,0.0
1818,1.668964877410417e-08,0.0
1819,1.3456364911235141e-08,0.0
1820,1.542642635854463e-08,0.0
1821,3.94459531705138e-09,0.0
1822,1.804610860745015e-08,0.0
1823,1.3835761869529506e-08,0.0
1824,1.6842225392110777e-08,0.0
1825,9.68598712347557e-09,0.0
1826,1.8496766784892316e-08,3.5231937367541377e-09
1827,1.2904182611350734e-08,5.530363722527909e-09
1828,6.420610709767516e-09,0.0
1829,1.457439946506156e-08,8.57317605795771e-10
1830,1.0436835395921662e-08,1.3567886369969528e-08
1831,3.1182412207897414e-09,0.0
1832,2.1647950987357945e-08,0.0
1833,2.6642345218874652e-08,1.2741991461950875e-08
1834,9.334531370086552e-09,0.0
1835,1.0588323107185715e-08,0.0
1836,6.72075017860152e-09,0.0
1837,1.8090515752078318e-08,0.0
1838,2.398621568033832e-08,3.787297142565649e-09
1839,2.586845759822154e-08,2.0974426639952526e-09
1840,1.8472096741106725e-08,1.2739377330817092e-09
1841,2.247191943638427e-08,0.0
1842,2.2808102073668124e-08,7.379091560011375e-09
1843,8.269675610961258e-09,7.678984559333912e-09
1844,1.1525978393933656e-08,2.7442805805577564e-09
1845,1.0044410636567136e-08,5.580227946389016e-10
1846,2.2247105491146613e-08,5.854501328173001e-10
1847,9.168480197274675e-09,6.47186837454683e-09
1848,6.43617736884039e-09,2.413566457803995e-09
1849,4.1897072478036534e-09,0.0
1850,2.0366988096043315e-09,2.4440385715251978e-08
1851,3.0957306051959677e-08,4.514607354622058e-09
1852,1.2370036550635177e-08,5.859490670445666e-09
1853,2.329053394589664e-08,7.763511611358354e-09
1854,1.1430461910322265e-08,2.0782657816909023e-09
1855,1.751289246954002e-08,1.0613874223963649e-09
1856,5.177189343896771e-09,1.1907535402144731e-08
1857,1.2691923956253959e-08,3.4170564155999728e-09
1858,1.2234189661342043e-08,5.3830437884982985e-09
1859,2.0877910955618972e-08,9.165912473463322e-09
1860,2.197048232233101e-08,1.373155145145688e-09
1861,9.903524222920623e-09,1.8863854922557266e-09
1862,4.517986429419807e-09,4.517986262886353e-10
1863,1.8480097452311384e-08,0.0
1864,1.6781548595190543e-08,4.794727948009836e-10
1865,3.435996376310868e-08,1.882737743486018e-09
1866,2.578774882522339e-08,6.811858188626729e-09
1867,2.232293283555009e-08,0.0
1868,1.7289560005906424e-08,4.939874287401835e-09
1869,2.0510780629479086e-08,4.395167341186834e-09
1870,1.7202147262196377e-08,2.8670243956696595e-09
1871,6.37270636261178e-09,1.0621177271019633e-09
1872,2.7213026498884574e-08,6.047339295989218e-10
1873,1.1972009161809183e-08,4.190203295451056e-09
1874,1.5533982988813477e-08,0.0
1875,3.2612703648737806e-08,2.2886108563824337e-09
1876,1.0882827083946722e-08,0.0
1877,2.6594708657512456e-08,0.0
1878,1.0870359723469392e-08,0.0
1879,3.604501941367744e-08,0.0
1880,1.8611753915820373e-08,1.2835692508872398e-09
1881,2.022027167924989e-08,0.0
1882,1.8635077481121698e-08,0.0
1883,2.0221884611260066e-08,1.2638677882037541e-09
1884,1.5844072720483382e-08,0.0
1885,1.160214413431504e-08,0.0
1886,2.452316216761119e-08,0.0
1887,3.133883907935342e-08,0.0
1888,1.9021843655764314e-08,1.268122939990235e-09
