year,pensions_NOUN égales_ADJ,pensions_NOUN légales_ADJ
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,1.7081731584767113e-08,0.0
1808,0.0,0.0
1809,0.0,9.036122072814123e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,3.236668177919455e-08
1816,0.0,0.0
1817,4.670620334934483e-09,4.981994905506326e-08
1818,4.768470951432846e-09,1.1921177378582115e-09
1819,0.0,0.0
1820,1.1866481131050932e-09,0.0
1821,0.0,1.972297702934611e-08
1822,0.0,1.0025615893027862e-09
1823,3.9530747564242574e-09,0.0
1824,2.5263338088166165e-09,0.0
1825,0.0,0.0
1826,0.0,9.688783109140786e-09
1827,0.0,0.0
1828,0.0,0.0
1829,8.57317605795771e-10,0.0
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,0.0,9.354723218280014e-09
1832,0.0,1.0823975493678972e-08
1833,0.0,0.0
1834,8.401078055442213e-09,1.8669061851994684e-09
1835,0.0,7.563087933704082e-10
1836,0.0,0.0
1837,0.0,2.0873671680021744e-09
1838,0.0,0.0
1839,2.0974426639952526e-09,1.957613093850341e-08
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,8.379414939696517e-10,2.513824481908955e-09
1850,0.0,0.0
1851,0.0,1.9348316282474798e-09
1852,0.0,0.0
1853,1.7915795513800958e-09,1.7915795513800958e-09
1854,1.0391328908454511e-09,0.0
1855,0.0,5.306937111981824e-10
1856,0.0,3.6240324075009767e-09
1857,9.763018171682347e-10,0.0
1858,1.468102750479261e-09,0.0
1859,0.0,0.0
1860,4.57718396518203e-09,0.0
1861,3.772770984511453e-09,4.715963730639317e-10
1862,1.8071945051545413e-09,7.228778020618165e-09
1863,4.495158911765884e-09,3.496234635136375e-09
1864,4.794727948009836e-10,3.3563094525845827e-09
1865,4.706844358715045e-10,0.0
1866,9.731225825149181e-10,3.8924903300596725e-09
1867,3.88224918879132e-09,3.88224918879132e-09
1868,1.975949626142892e-09,0.0
1869,0.0,1.4650557433881772e-09
1870,0.0,0.0
1871,0.0,0.0
1872,4.23313739617015e-09,2.4189357183956872e-09
1873,0.0,0.0
1874,5.974609140757536e-10,0.0
1875,2.2886108563824337e-09,0.0
1876,1.209202959984168e-09,5.441413541973361e-09
1877,8.658742167710898e-09,0.0
1878,1.8117265465633636e-09,0.0
1879,3.0546627449723474e-09,0.0
1880,0.0,0.0
1881,3.4862537301449947e-09,4.8807553554297556e-09
1882,3.9932310791357395e-09,0.0
1883,6.319338829996468e-09,0.0
1884,4.621187876807653e-09,0.0
1885,6.445635691854079e-10,2.5782542767416317e-09
1886,6.453463874400711e-10,0.0
