year,rapports_NOUN égaux_ADJ,rapports_NOUN légaux_ADJ
1800,1.6349655140857067e-07,3.772997558826319e-08
1801,1.2144030847593967e-07,0.0
1802,1.1412984690650774e-07,8.951360541686881e-09
1803,3.705644502360883e-08,1.3652374342143503e-08
1804,2.2988213288499537e-07,0.0
1805,5.970043304159844e-08,0.0
1806,1.7578182109900808e-07,0.0
1807,1.0533734240425474e-07,5.693910232196231e-09
1808,1.5635910699529632e-07,0.0
1809,9.262025457701384e-08,2.259030518203531e-09
1810,2.106114038724627e-07,0.0
1811,1.7549537290051376e-07,0.0
1812,1.1468995353425271e-07,0.0
1813,1.8117172828624462e-07,2.5881675469463516e-08
1814,5.349351184236184e-08,0.0
1815,1.3486118000116676e-08,1.0788894222457657e-08
1816,6.025770460382773e-08,0.0
1817,5.7604317760251433e-08,1.8682480451559513e-08
1818,3.9339885127276375e-08,8.344824387052086e-09
1819,7.866798057420965e-08,2.173720448084282e-08
1820,2.3732962262101864e-08,2.3732962262101864e-09
1821,2.9584464655840748e-08,9.86148829262845e-10
1822,5.012807946513931e-08,5.012807946513931e-09
1823,6.028439258898288e-08,1.9765373782121287e-09
1824,2.2737005167527968e-08,1.9368560089105813e-08
1825,1.5585634116632718e-07,1.8491430608946757e-08
1826,2.1139161532346407e-08,3.5231937367541377e-09
1827,3.871254605769536e-08,1.1060727445055818e-08
1828,3.5771975603893225e-08,8.255071293206129e-09
1829,2.0575622983187714e-08,2.1432940755516938e-08
1830,5.322786122974321e-08,3.965997663613052e-08
1831,3.274153215215847e-08,5.6128342862393765e-08
1832,4.6001897402447867e-08,1.352996914505411e-08
1833,3.1275796175123105e-08,2.20088942626262e-08
1834,1.0361329572106115e-07,2.240287422239362e-08
1835,5.445423312266939e-08,2.193295500774184e-08
1836,4.5701099793404865e-08,7.392825018825988e-09
1837,4.940102726891382e-08,1.3915782304252389e-08
1838,4.102905393210676e-08,2.2723781967215473e-08
1839,2.866504900111977e-08,1.4682098203877558e-08
1840,1.46502836528839e-08,1.8472096741106725e-08
1841,1.0914932957462042e-08,3.531301873138659e-08
1842,4.8299508392801727e-08,2.4149754196400863e-08
1843,3.071593823733565e-08,4.371114314949409e-08
1844,4.720162749549672e-08,3.677336124496833e-08
1845,4.2409730838244286e-08,5.3012167100519036e-08
1846,2.0490753982471688e-08,2.8101606375230404e-08
1847,3.020205241455187e-08,2.480882876909618e-08
1848,4.585776380849893e-08,5.229394162142853e-08
1849,3.100383594301093e-08,2.8490010350878947e-08
1850,5.2275268558332755e-08,2.5798184921654865e-08
1851,4.450112811582585e-08,6.449438538780328e-09
1852,7.552232972329875e-08,3.190167419120371e-08
1853,3.941475057445132e-08,3.0456853039595444e-08
1854,4.1565314745639625e-08,1.7665259477439577e-08
1855,4.563965916304369e-08,2.388121700391821e-08
1856,3.986435714864456e-08,7.558696069054349e-08
1857,4.490988203542656e-08,5.0279542529452215e-08
1858,4.1106879677954566e-08,3.327699715782728e-08
1859,5.703234151610559e-08,4.430190969628711e-08
1860,3.8448344952257685e-08,4.9433585308511496e-08
1861,6.177912581506462e-08,8.15861715963706e-08
