year,aurais_VERB également_ADV
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,3.900678446910888e-09
1804,0.0
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,2.3176038865813098e-09
1817,0.0
1818,1.1921177378582115e-09
1819,1.035105001712111e-09
1820,2.3732962262101864e-09
1821,6.903041693817613e-09
1822,7.017931125119503e-09
1823,9.882686891060644e-10
1824,3.3684450784221553e-09
1825,8.805443041381977e-10
1826,0.0
1827,9.217273055917019e-10
1828,1.8344602503717056e-09
1829,0.0
1830,1.2524203008013046e-08
1831,1.091384405071949e-08
1832,1.3529969367098715e-09
1833,0.0
1834,1.8669061851994684e-09
1835,7.563087933704082e-10
1836,4.704525213838906e-09
1837,1.3915781860163179e-09
1838,6.312161904276081e-10
1839,1.3982950353153e-09
1840,6.3696887764308485e-09
1841,0.0
1842,1.341653010911159e-09
1843,1.1813822142769936e-09
1844,1.6465684371524958e-09
1845,8.37034175305007e-09
1846,1.3465353276842507e-08
1847,5.393223645455691e-10
1848,4.02261068899179e-09
1849,1.0893239199560867e-08
1850,6.1100964288129944e-09
1851,1.9348316282474798e-09
1852,6.510545436100301e-10
1853,2.388772735173461e-09
1854,1.558699391779328e-09
1855,1.0613874223963649e-09
1856,1.0354378465748937e-09
1857,0.0
1858,2.936205500958522e-09
1859,8.656694916453489e-09
1860,5.492620580582752e-09
1861,5.659156698811785e-09
1862,0.0
1863,1.39849385405455e-08
1864,3.835782358407869e-09
1865,4.23615986733239e-09
1866,3.8924903300596725e-09
1867,1.455843445796745e-09
1868,1.4819622196071691e-09
1869,1.12320943657096e-08
1870,5.160643912205387e-09
1871,8.496941816815706e-09
1872,2.4189357183956872e-09
1873,5.387403856360606e-09
1874,5.377148060148329e-09
1875,5.149374260327022e-09
1876,1.5719638923883394e-08
1877,0.0
1878,4.831270938865373e-09
1879,2.443730107160036e-09
1880,1.2835692508872398e-09
1881,2.091752326904839e-09
1882,6.655385131892899e-10
1883,1.2638677882037541e-09
1884,4.621187876807653e-09
1885,3.86738152613475e-09
1886,6.453463874400711e-10
1887,1.3057849246322917e-09
1888,1.268122939990235e-09
1889,5.6386229019267375e-09
1890,1.9663159989136147e-09
1891,3.824531802365527e-09
1892,4.387958441043338e-09
1893,2.463366621796581e-09
1894,3.150769645188234e-09
1895,4.213029924926559e-09
1896,5.89702897624278e-10
1897,5.826713556089658e-10
1898,5.6583548957434e-10
1899,2.2110313580014918e-09
1900,6.22926377147337e-09
1901,1.676621730339889e-09
1902,4.419255628107521e-09
1903,5.400220270956879e-10
1904,4.837162670412454e-09
1905,5.160759042333041e-10
1906,3.0865106026567446e-09
1907,1.5428529565042481e-09
1908,2.9468334439286537e-09
1909,3.300590023513905e-09
1910,5.344150677544235e-10
1911,1.5961122423746588e-09
