year,côtes_NOUN égales_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,9.270415546325239e-09
1817,0.0
1818,0.0
1819,1.035105001712111e-09
1820,0.0
1821,1.97229765852569e-09
1822,0.0
1823,0.0
1824,4.210556348027694e-09
1825,4.9310479255382234e-08
1826,6.958307352533666e-08
1827,1.013900075008678e-08
1828,3.485474309172787e-08
1829,0.0
1830,0.0
1831,3.1182412207897414e-09
1832,2.0294953273491956e-08
1833,4.6334514003376626e-09
1834,6.534171426153534e-09
1835,1.5126175867408165e-09
1836,6.72075017860152e-09
1837,1.3915781860163179e-09
1838,1.3255539776935166e-08
1839,4.264799713382672e-08
1840,8.535382622909538e-08
1841,2.6966304744746594e-08
1842,6.238686722781495e-08
1843,7.50177733266355e-08
1844,4.9397050894128824e-09
1845,6.696273757711424e-09
1846,2.751615646445771e-08
1847,3.128069891999985e-08
1848,7.803864932043325e-08
1849,5.027648697364384e-08
1850,3.4623880651452055e-08
1851,9.674158363282004e-09
1852,9.765818376195057e-09
1853,2.149895550473957e-08
1854,1.610655964157104e-08
1855,7.429711956774554e-09
1856,1.0354378243704332e-08
1857,3.9540223539802355e-08
1858,2.4468380654951716e-09
1859,1.4258085379026397e-08
1860,2.654766584342383e-08
1861,3.112536062221949e-08
1862,1.671655003310235e-08
1863,2.7969877081091e-08
1864,1.0020981577874011e-07
1865,9.88437331983505e-09
1866,6.3252967308358166e-09
1867,1.3102591012170706e-08
1868,3.2603168165223906e-08
1869,1.12320943657096e-08
1870,3.4404292748035914e-09
1871,2.230447138096281e-08
1872,8.4662747923403e-09
1873,5.387403856360606e-09
1874,2.5093358502203955e-08
1875,2.6319025181464895e-08
1876,3.023007266733657e-08
1877,2.535774612510977e-08
1878,1.268208649207736e-08
1879,5.498392852132383e-09
1880,1.0268554007097919e-08
1881,9.761510710859511e-09
1882,2.6621540527571597e-09
1883,1.8958017378167824e-09
1884,9.902545450302114e-09
1885,2.3848852226393547e-08
1886,1.4842967299699694e-08
1887,3.0685946228459215e-08
1888,2.282621380800265e-08
1889,1.7542382657609323e-08
1890,9.831579994568074e-09
1891,1.0198752065093686e-08
1892,8.775916882086676e-09
1893,5.542574843531156e-09
1894,1.9534772466300865e-08
1895,6.018614495673091e-10
1896,7.66613794667137e-09
1897,4.078699600285063e-09
1898,2.26334195829736e-09
1899,8.844125432005967e-09
1900,0.0
1901,6.706486921359556e-09
1902,5.892340837476695e-09
1903,1.3500550899436803e-08
1904,1.1824175416563776e-08
1905,9.805441791854719e-09
1906,6.173021205313489e-09
1907,8.228549397415463e-09
1908,1.0313916831705683e-08
1909,4.400786846048277e-09
1910,1.0153886620400954e-08
1911,7.980561100850991e-09
1912,1.5628263128064646e-09
1913,2.121195885607108e-09
