year,autres_ADJ armes_NOUN,autres_ADJ larmes_NOUN
1800,1.2702424783128663e-06,3.772997558826319e-08
1801,1.1929724905712646e-06,5.714838380299625e-08
1802,1.1950066891586175e-06,5.147032311469957e-08
1803,1.2287136996746995e-06,3.705644502360883e-08
1804,1.1889602546943934e-06,3.9549615138412264e-08
1805,1.137151116381574e-06,7.107194477384837e-08
1806,1.0287558325217105e-06,5.76333825108577e-09
1807,1.187180259876186e-06,2.2775640928784924e-08
1808,1.1149084002681775e-06,3.3991110370834576e-08
1809,1.2289126516407123e-06,2.710836710662079e-08
1810,1.2777092024407466e-06,7.254392642153107e-08
1811,1.2861303275712999e-06,1.0028307073639553e-08
1812,1.0188734904659213e-06,2.1337665856435706e-08
1813,9.748764568939805e-07,4.026038169513413e-08
1814,9.219763796863845e-07,9.125363931161701e-08
1815,7.039753313620167e-07,3.776112933451259e-08
1816,1.179660330308252e-06,4.4034472068688046e-08
1817,1.0322070238544256e-06,3.89218364205135e-08
1818,1.3089452295389492e-06,5.96058882251782e-08
1819,1.1179133707628353e-06,3.8298885840504227e-08
1820,1.2875132142653456e-06,7.357218123615894e-08
1821,1.2188799018986174e-06,4.2404398215012407e-08
1822,1.136904870691069e-06,4.8122956286533736e-08
1823,1.411247694704798e-06,6.028439258898288e-08
1824,1.7086438219848787e-06,6.484256687144807e-08
1825,1.5365498029495939e-06,5.459374818883589e-08
1826,1.2974161336387624e-06,4.668231667892542e-08
1827,1.3162266441213433e-06,1.3825909306319772e-08
1828,1.1648822919596569e-06,3.66892045633449e-08
1829,1.2285361208341783e-06,2.2290258527846163e-08
1830,1.291036596740014e-06,1.7742621594152297e-08
1831,1.400090354763961e-06,1.091384405071949e-08
1832,1.469354629080044e-06,1.8941957335982806e-08
1833,1.1375122994650155e-06,4.9809603552830595e-08
1834,1.2106886515539372e-06,4.387229424196448e-08
1835,1.208581466016767e-06,5.672315950278062e-08
1836,1.506120042904513e-06,3.5619976301859424e-08
1837,1.1487477422633674e-06,3.2006298056330706e-08
1838,1.4480099252978107e-06,5.1759727170974656e-08
1839,1.2976178140888806e-06,1.7478688718597368e-08
1840,1.1529136827448383e-06,2.293087852933695e-08
1841,1.2744789046337246e-06,3.2102743574569104e-08
1842,1.4369103382705362e-06,2.817471411731276e-08
1843,9.510126801615115e-07,2.658109998776581e-08
1844,9.77512740973907e-07,2.9638231424655714e-08
1845,1.160687361334567e-06,2.3436957263811564e-08
1846,9.320365847997891e-07,2.6345256642912318e-08
1847,1.0764874787128065e-06,1.3483059113639229e-08
1848,1.0217431736236904e-06,1.689496542667257e-08
1849,9.552533128953655e-07,2.1786478399121734e-08
1850,9.314502449342399e-07,1.6293590476834652e-08
1851,1.090600108000217e-06,1.6768540334055615e-08
1852,9.524927691018092e-07,1.8229528109259263e-08
1853,1.0391161140432814e-06,2.6276499198729653e-08
1854,1.0022437209045165e-06,2.0782657372819813e-08
1855,8.650307563584647e-07,1.3798036491152743e-08
1856,8.573425134272838e-07,3.209857268871019e-08
1857,8.474299875160796e-07,3.270611159678083e-08
1858,8.583508019910369e-07,3.8170671956549995e-08
1859,1.0001028840633808e-06,3.768208145515928e-08
1860,9.699052725409274e-07,4.073693560258107e-08
1861,8.248220524365024e-07,3.1125360067107977e-08
1862,8.100749369077676e-07,2.3493528900075944e-08
1863,9.090209687201423e-07,3.296449690992631e-08
1864,8.352416216439451e-07,2.2535221688713136e-08
1865,8.472320018881874e-07,1.9298061815220535e-08
1866,8.568344469495059e-07,2.6274308950746672e-08
1867,7.618913855367282e-07,1.8925964795357686e-08
