year,plus_ADV latin_ADJ
1800,1.2576657937302116e-08
1801,0.0
1802,0.0
1803,5.851017448321727e-09
1804,1.4831105232815389e-08
1805,4.5486043376286034e-08
1806,8.645007376628655e-09
1807,3.131650672116848e-08
1808,3.852325747288887e-08
1809,0.0
1810,0.0
1811,0.0
1812,5.3344164641089264e-09
1813,3.738464116054274e-08
1814,0.0
1815,5.394447111228828e-09
1816,2.3176038865813098e-09
1817,2.1796227045456362e-08
1818,1.1921176934492905e-08
1819,2.5877625375869684e-08
1820,2.3732962262101864e-08
1821,2.465372084259343e-08
1822,8.120748873352568e-08
1823,2.569498569471307e-08
1824,3.452656116564867e-08
1825,2.4655239627691117e-08
1826,8.80798456392995e-09
1827,8.295545583791863e-09
1828,2.4765213879618386e-08
1829,8.57317605795771e-10
1830,2.0873670791843324e-08
1831,3.1182412207897414e-09
1832,1.352996914505411e-08
1833,4.170106393530659e-08
1834,6.534171426153534e-09
1835,2.8739734148075513e-08
1836,3.293167549767162e-08
1837,1.3915782304252389e-08
1838,2.209256599883247e-08
1839,3.146163862766116e-08
1840,2.229391071750797e-08
1841,3.852329122366882e-09
1842,1.542900918138912e-08
1843,3.6622846977252266e-08
1844,1.811225219805479e-08
1845,1.6182660544927785e-08
1846,2.4588905134237393e-08
1847,2.0494249852731627e-08
1848,1.448139919091318e-08
1849,2.8490010794968157e-08
1850,1.968808760466345e-08
1851,2.257303499675345e-08
1852,2.929745335222833e-08
1853,2.926246556178569e-08
1854,1.7665259477439577e-08
1855,1.6451505047143655e-08
1856,1.0354378687793542e-08
1857,2.782460128969433e-08
1858,2.0064071293290908e-08
1859,7.638259802433822e-09
1860,6.408057640072684e-09
1861,1.5091083938045813e-08
1862,1.8975542914745347e-08
1863,3.8958042125614156e-08
1864,2.3014694150447212e-08
1865,1.7415324293779122e-08
1866,4.2330832172865485e-08
1867,2.6690463172940326e-08
1868,3.210918109175509e-08
1869,2.539429999615095e-08
1870,3.039045992636602e-08
1871,1.5931766128574054e-08
1872,3.4469834986339265e-08
1873,2.8134220286801792e-08
1874,1.8521287614703397e-08
1875,2.803548326824057e-08
1876,1.813804395567331e-08
1877,2.040989244278535e-08
1878,2.113680963589104e-08
1879,2.2604503158163425e-08
1880,4.428314070992201e-08
1881,2.4403776777148778e-08
1882,4.19289278852375e-08
1883,1.579834751908038e-08
1884,3.1688145440966764e-08
1885,1.8047780159236027e-08
1886,2.0651084398082276e-08
1887,1.0446279397058333e-08
1888,1.5851536527833332e-08
1889,1.2530273707511697e-08
1890,1.9007721618891082e-08
1891,2.039750413018737e-08
1892,2.005923960268774e-08
1893,1.1085149742573464e-08
1894,1.764431090123253e-08
1895,2.768562623600701e-08
1896,2.299841384001411e-08
1897,4.078699333831537e-08
1898,4.5266837389590364e-08
1899,1.5477219506010442e-08
1900,2.4397948994447916e-08
1901,2.123720777014171e-08
1902,2.9461703132671602e-08
1903,9.720396931811592e-09
1904,1.6123875568041512e-08
1905,2.631987072732045e-08
1906,1.8519063615940468e-08
1907,4.165703160197154e-08
1908,1.817213934884876e-08
