year,véritables_ADJ âmes_NOUN,véritables_ADJ lames_NOUN
1800,0.0,0.0
1801,0.0,1.1905912700171939e-08
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,1.3336041604361526e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,3.5763532135746345e-09
1819,0.0,0.0
1820,0.0,2.3732962262101864e-09
1821,0.0,9.86148829262845e-10
1822,0.0,0.0
1823,8.894418535021487e-09,0.0
1824,0.0,8.421112696055388e-10
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,5.530363722527909e-09
1828,0.0,0.0
1829,0.0,1.457439946506156e-08
1830,0.0,3.1310507520032616e-09
1831,0.0,4.677361609140007e-09
1832,0.0,1.3529969367098715e-09
1833,0.0,1.1583628500844156e-09
1834,0.0,9.334530925997342e-10
1835,0.0,1.2100940693926532e-08
1836,0.0,3.36037508930076e-09
1837,0.0,8.349468672008697e-09
1838,0.0,1.8936485712828244e-09
1839,0.0,1.3982950353153e-09
1840,6.369688665408546e-10,1.2739377330817092e-09
1841,0.0,3.852329122366882e-09
1842,0.0,3.3541325272778977e-09
1843,0.0,0.0
1844,0.0,1.097712254427563e-09
1845,0.0,0.0
1846,0.0,1.1709002656346001e-09
1847,0.0,0.0
1848,0.0,2.413566457803995e-09
1849,0.0,0.0
1850,6.788996032014438e-09,1.0183494048021657e-08
1851,0.0,6.449438760824933e-09
1852,0.0,9.765818376195057e-09
1853,0.0,1.851298847554972e-08
1854,1.558699391779328e-09,9.352196350675968e-09
1855,2.1227748447927297e-09,1.3798036491152743e-08
1856,0.0,1.2942972915652717e-08
1857,1.2691923956253959e-08,1.9526035899275485e-08
1858,9.787352039936081e-10,5.3830437884982985e-09
