year,précautions_NOUN égales_ADJ,précautions_NOUN légales_ADJ
1800,3.144164484325529e-09,3.144164484325529e-09
1801,0.0,4.7623651688866175e-09
1802,0.0,4.699464284385613e-08
1803,0.0,5.851017448321727e-09
1804,1.9774807569206132e-08,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,8.540865792383556e-09
1808,0.0,2.2660739951163578e-09
1809,0.0,4.518061036407062e-09
1810,0.0,2.3401267590372754e-09
1811,0.0,1.0028307073639553e-08
1812,0.0,8.00162425207418e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,6.293354282149721e-09
1815,0.0,3.776112933451259e-08
1816,0.0,2.7811246638975717e-08
1817,0.0,4.514932783195036e-08
1818,0.0,1.5497530370112145e-08
1819,0.0,1.9666995143552413e-08
1820,1.1866481131050932e-09,4.50926265216367e-08
1821,1.1833785507064931e-08,3.944595483584834e-08
1822,0.0,1.5038423839541792e-08
1823,4.941343334508019e-09,2.174191138237802e-08
1824,0.0,5.052667617633233e-09
1825,0.0,1.2327620257934768e-08
1826,8.807984341885344e-10,8.80798456392995e-09
1827,2.7651818612639545e-09,1.474763688946723e-08
1828,0.0,1.1006761113652175e-08
1829,1.714635211591542e-09,1.8860987105462357e-08
1830,7.305785310052215e-09,2.0873670791843324e-08
1831,6.236482441579483e-09,7.795603274018958e-09
1832,0.0,6.764984572527055e-09
1833,0.0,2.89590715851773e-08
1834,0.0,1.8669062740173104e-08
1835,0.0,1.3613558280667348e-08
1836,0.0,1.8146025126952736e-08
1837,3.478945576063097e-09,4.453050195252217e-08
1838,0.0,1.009945904684173e-08
1839,0.0,2.307186797168015e-08
1840,4.458782232319436e-09,1.9746034141121527e-08
1841,0.0,1.9903700021473014e-08
1842,0.0,3.219967226186782e-08
1843,5.906911071384968e-10,4.0757687003178944e-08
1844,0.0,2.6893950177964143e-08
1845,2.7901139176833567e-09,3.348136701220028e-08
1846,0.0,1.2294452567118697e-08
1847,5.3932236454556914e-09,1.1325769655456952e-08
1848,0.0,1.126331028444838e-08
1849,1.6758829879393033e-09,3.4355601030711114e-08
1850,0.0,2.851378333446064e-08
1851,5.8044946626978344e-09,1.6768540334055615e-08
1852,0.0,1.7578472011337e-08
1853,0.0,1.3138249599364826e-08
1854,0.0,1.2989160858012383e-08
1855,0.0,1.2205955357558196e-08
1856,0.0,1.7084724746041502e-08
1857,0.0,3.124165814938351e-08
1858,1.468102750479261e-09,8.31924928945682e-09
1859,0.0,2.800695320104296e-08
1860,1.373155145145688e-09,2.242820151820979e-08
1861,0.0,2.87673795895671e-08
1862,0.0,2.5300723294208183e-08
1863,4.994620828036034e-10,1.997848314561068e-08
1864,4.794727948009836e-10,3.787835245461224e-08
1865,0.0,2.023943146411966e-08
1866,0.0,3.503241430280468e-08
1867,0.0,3.494024269912188e-08
1868,0.0,1.432563490055827e-08
1869,7.813630631403612e-09,2.783605879130846e-08
1870,0.0,1.0321287824410774e-08
1871,0.0,1.0621176826930423e-08
1872,0.0,3.688877114882416e-08
1873,6.584604861359367e-09,2.21482157058972e-08
1874,0.0,1.6131444624534197e-08
1875,0.0,8.58229043387837e-09
1876,0.0,1.6928840551599933e-08
1877,1.2369631985365004e-09,1.9791411176584006e-08
1878,1.2078177347163432e-09,1.0266450800600069e-08
1879,0.0,3.604501941367744e-08
1880,0.0,2.8238524407697696e-08
1881,0.0,2.4403776777148778e-08
1882,2.6621540527571597e-09,3.3276926103553706e-08
1883,0.0,2.338155447034751e-08
1884,6.601696966868076e-10,2.772712726084592e-08
1885,0.0,1.2246707647989297e-08
1886,0.0,3.226731948302586e-08
1887,0.0,2.4809914123125054e-08
1888,0.0,2.4728396663675767e-08
1889,1.2530273485467092e-09,2.3181006225669876e-08
1890,3.9326319978272295e-09,1.3108772733971819e-08
1891,0.0,1.5935549768641977e-08
1892,0.0,1.3163876211308434e-08
1893,0.0,1.4164357908796887e-08
1894,0.0,1.1342770278588432e-08
1895,1.8055843487019274e-09,2.5880042997528108e-08
1896,5.89702897624278e-10,1.2383760683576384e-08
