year,courants_NOUN égaux_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,1.7081731584767113e-08
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,9.882686891060644e-10
1824,8.421112696055388e-10
1825,8.805443041381977e-10
1826,2.642395191543301e-09
1827,1.8434546111834038e-09
1828,0.0
1829,0.0
1830,0.0
1831,1.5591206103948707e-09
1832,0.0
1833,1.2741991461950875e-08
1834,4.2005389389032644e-08
1835,1.4369867074037757e-08
1836,5.376600054063374e-09
1837,1.2524203896191466e-08
1838,6.312161904276081e-09
1839,9.088918062616358e-09
1840,2.6752692505738196e-08
1841,0.0
1842,2.4820581145945653e-08
1843,2.126487963494128e-08
1844,2.030767731753258e-08
1845,2.399498022498392e-08
1846,1.8148954339380907e-08
1847,2.2651539310913904e-08
1848,2.413566457803995e-09
1849,7.54147322368226e-09
1850,1.2899092460827433e-08
1851,7.094382858952031e-09
1852,1.4323200403509873e-08
1853,4.001194398028929e-08
1854,9.663936140213991e-08
1855,5.3600064831016425e-08
1856,9.215396801209863e-08
1857,1.8549734193129552e-08
1858,9.64054152063909e-08
1859,9.675129142294736e-09
1860,9.612086238064421e-09
1861,3.584132457490341e-08
1862,1.355395884417021e-08
1863,9.489779628779615e-09
1864,2.3014694150447212e-08
1865,1.2708479601997169e-08
1866,2.1895258939252926e-08
1867,3.2513838732484146e-08
1868,2.1735445443482604e-08
1869,6.202069613436834e-08
1870,3.669791226457164e-08
1871,4.0360472297606975e-08
1872,5.200711683528425e-08
1873,3.1725821969530443e-08
1874,1.7923827755339516e-08
1875,3.661777370211894e-08
1876,3.4462285469771814e-08
1877,2.535774612510977e-08
1878,3.140326043649111e-08
1879,2.6881030734671185e-08
1880,4.043243251317108e-08
1881,5.856906426515707e-08
1882,1.5573601785945357e-07
1883,5.687405035814663e-08
1884,2.772712726084592e-08
1885,1.9981470700258797e-08
1886,3.743009102663564e-08
1887,1.566941953967671e-08
1888,3.4239320712003973e-08
1889,2.0674951528576457e-08
1890,3.998175657216052e-08
1891,4.206985337873448e-08
1892,2.8835156484774416e-08
1893,3.94138659487453e-08
1894,2.3945849747519787e-08
1895,3.310238128051424e-08
1896,4.009979548413867e-08
1897,2.2141511735185304e-08
1898,1.7540900287826844e-08
1899,2.1557555740514545e-08
1900,2.180242297811219e-08
1901,2.6267072072982955e-08
1902,2.9461702411026636e-08
1903,2.2680925582108102e-08
1904,9.674325340824907e-09
1905,1.4450125540577119e-08
1906,6.6874399351490865e-09
1907,1.491424583832668e-08
1908,2.7503778810000767e-08
1909,1.3752458727367411e-08
1910,2.5651923252212327e-08
1911,1.4365010514438836e-08
1912,4.063348413296808e-08
1913,3.2878535449754054e-08
