year,aucunes_DET lois_NOUN
1800,3.144164484325529e-09
1801,4.7623651688866175e-09
1802,2.9091921760482364e-08
1803,4.4857802805609026e-08
1804,7.4155526164076946e-09
1805,2.2743021688143017e-08
1806,2.0171682990621775e-08
1807,1.4234775136401367e-08
1808,1.8128591960930862e-08
1809,0.0
1810,1.4040760554223652e-08
1811,1.2535384286138651e-08
1812,2.6672082320544632e-09
1813,2.8757416448144113e-09
1814,2.8320094713762956e-08
1815,2.697223555614414e-09
1816,2.0858434979231788e-08
1817,1.2454987263765815e-08
1818,1.668964877410417e-08
1819,4.45095160728215e-08
1820,3.9159388620646496e-08
1821,4.6348993976153e-08
1822,4.210758675071702e-08
1823,1.680056804787e-08
1824,5.894778887238772e-09
1825,5.6354835464844655e-08
1826,3.170874407487645e-08
1827,1.1982455028203276e-08
1828,1.9261833017480967e-08
1829,1.628903412154159e-08
1830,6.262101504006523e-09
1831,4.677361609140007e-09
1832,1.3529969367098715e-09
1833,1.1583628500844156e-09
1834,3.360431222176885e-08
1835,7.563087933704082e-09
1836,1.747394939854985e-08
1837,1.3915782304252389e-08
1838,1.7674054220151447e-08
1839,2.0974426639952526e-09
1840,2.356784811752277e-08
1841,1.6693427085101575e-08
1842,1.1404051036834062e-08
1843,1.5357969118667825e-08
1844,7.683985892015244e-09
1845,1.0044410636567136e-08
1846,1.5807152919933287e-08
1847,1.7258315665458213e-08
1848,2.654923214606697e-08
1849,3.3517659758786067e-09
1850,1.0862393651223101e-08
1851,4.514607354622058e-09
1852,5.859490670445666e-09
1853,1.1943863675867306e-08
1854,2.1302223984775992e-08
1855,8.491099379170919e-09
1856,1.0872097000458325e-08
1857,1.3668225662399891e-08
1858,1.761723389392955e-08
1859,1.018434669930457e-08
1860,6.408057640072684e-09
1861,6.13075279431996e-09
1862,1.2198563048571032e-08
1863,9.989241434027463e-09
1864,1.2945765348604255e-08
1865,2.4004906507002488e-08
1866,1.3137154475373336e-08
1867,8.73506067478047e-09
1868,1.1361710683388537e-08
1869,1.953407746668745e-08
1870,8.027668307875047e-09
1871,2.1242354542039266e-09
1872,6.047339295989218e-10
1873,4.788803575905831e-09
1874,2.9873046258899194e-09
