year,gros_ADJ yeux_NOUN,gros_ADJ lieux_NOUN
1800,2.986956246786576e-07,2.2009151834367913e-08
1801,1.7858869227893592e-07,0.0
1802,1.6336232988578558e-07,0.0
1803,2.7694815685208596e-07,0.0
1804,2.0021992952479195e-07,0.0
1805,2.245873389483677e-07,0.0
1806,6.916005901302924e-08,1.152667650217154e-08
1807,6.263301344233696e-08,4.555128185756985e-08
1808,1.8128591250388126e-07,0.0
1809,9.713831161661801e-08,1.8072244145628247e-08
1810,1.9891076874500868e-07,2.3401267590372754e-09
1811,1.353821517113829e-07,7.521229861140455e-09
1812,1.0935553973467904e-07,0.0
1813,1.2940837734731758e-07,0.0
1814,6.608021863030444e-08,0.0
1815,8.90083740046066e-08,0.0
1816,1.4137383175238938e-07,0.0
1817,2.273035164535031e-07,0.0
1818,1.9193095113223535e-07,1.1921176934492905e-08
1819,2.0909121190015867e-07,0.0
1820,1.091716228529549e-07,0.0
1821,1.0354562363090736e-07,0.0
1822,2.2657891918242967e-07,0.0
1823,1.4329896202980308e-07,2.9648061783404955e-09
1824,6.82110155025839e-08,0.0
1825,1.4617035049013793e-07,7.924898959288385e-09
1826,9.600702810530493e-08,2.642395191543301e-09
1827,1.318069990929871e-07,0.0
1828,1.5317742452225502e-07,9.172301251858528e-10
1829,2.8805871465920063e-07,3.8579290873030914e-08
1830,1.7429515253297723e-07,1.0436835840010872e-09
1831,2.0736304406909767e-07,1.5591206103948707e-09
1832,3.1930727573126205e-07,1.7588959622116818e-08
1833,1.957633202209763e-07,0.0
1834,2.4363126271964575e-07,3.733812370398937e-09
1835,2.8739734148075513e-07,1.5126175867408165e-09
1836,1.4852857077585213e-07,2.688300027031687e-09
1837,2.7135774871567264e-07,1.3915781860163179e-09
1838,1.754781067120348e-07,1.5780404538645598e-08
1839,1.5590990187774878e-07,2.7965900706306e-09
1840,1.350373963759921e-07,4.0766007458614695e-08
1841,1.6821837789393612e-07,0.0
1842,1.9722298816304829e-07,0.0
1843,2.717179086175747e-07,1.8311423488626133e-08
1844,1.9429506892265636e-07,0.0
1845,2.884977732264815e-07,3.348136878855712e-09
1846,2.4881632043616264e-07,1.1709002656346001e-09
1847,1.1757227724729091e-07,1.0786447290911383e-09
1848,1.7860392631519062e-07,8.045221711050488e-10
1849,2.1283713635966706e-07,0.0
1850,1.9484419055970648e-07,6.788996032014438e-10
1851,1.3543821353323438e-07,1.483370937194195e-08
1852,2.298222483432255e-07,9.765818376195057e-09
1853,2.7709762662198045e-07,5.3747388761848924e-09
1854,1.6366342947549128e-07,1.610655964157104e-08
1855,2.3138245808240754e-07,5.306937111981824e-10
1856,2.07605282298573e-07,5.694908100650764e-09
1857,2.660422353528702e-07,1.8061584228235006e-08
1858,2.383220163437727e-07,8.31924928945682e-09
1859,1.935025863986084e-07,8.656694916453489e-09
1860,3.075867596180615e-07,1.373155145145688e-09
1861,2.782418562219391e-07,4.715963730639317e-10
1862,2.59332409768831e-07,1.3553959066214816e-09
1863,3.2564926755185297e-07,4.994620717013731e-09
1864,2.5172320761157607e-07,3.3563094525845827e-09
1865,2.7911588063034287e-07,1.2708479601997169e-08
1866,3.036142572909739e-07,9.731225603104576e-09
1867,3.1980027870304184e-07,9.220341823379385e-09
1868,3.0874213052811683e-07,1.333765986544222e-08
1869,3.9019317910060636e-07,0.0
1870,3.182396994816372e-07,3.4404292748035914e-09
1871,2.931444953446771e-07,0.0
1872,3.513504225338693e-07,7.861540751719076e-09
1873,4.0585109672974795e-07,0.0
1874,4.1762518776522484e-07,2.3300975371398636e-08
1875,3.0781816917624383e-07,6.293679799540541e-09
1876,3.748529309177684e-07,3.3857681103199866e-08
1877,4.4716219349538733e-07,9.27722432209066e-09
1878,3.333576898967294e-07,6.039088784604019e-09
1879,4.4842448687631986e-07,1.4662380642960215e-08
1880,3.8442900063273555e-07,7.059631101924424e-09
1881,5.020205549044476e-07,6.2752567586699115e-09
1882,4.798532700078795e-07,3.9932310791357395e-09
1883,4.202360344152112e-07,3.159669414998234e-09
1884,4.614586259776843e-07,1.9144920315739e-08
1885,5.304758019519795e-07,1.353583467533781e-08
1886,4.5625989741893136e-07,7.744156427236248e-09
1887,4.1654539018054493e-07,9.793386546164129e-09
1888,4.184805675322423e-07,4.4384300679212174e-09
1889,4.4169215129841177e-07,3.132568426877924e-09
1890,4.883017936663236e-07,1.3108772956016423e-09
1891,3.473950016541494e-07,8.92390783491237e-09
1892,4.3503476376827166e-07,3.761107425503951e-09
1893,4.3047330677836726e-07,1.847525021858587e-09
1894,4.7387575818902405e-07,4.411077725308132e-09
1895,3.8097829246908077e-07,1.2037228991346183e-09
1896,4.2812430933736323e-07,1.7691086373616827e-09
1897,5.541204473047401e-07,5.826713334045053e-09
1898,3.9721652456137235e-07,2.8291773368493978e-09
1899,5.151703135197749e-07,3.8693048765026106e-09
1900,4.2047531678690575e-07,6.748368974740515e-09
1901,4.515701164109487e-07,8.38310842965484e-09
1902,3.6974438444303814e-07,5.892340837476695e-09
1903,4.195971143872157e-07,2.1600881083827517e-09
1904,3.70311681763269e-07,2.1498500757388683e-09
1905,4.3195552734687226e-07,4.64468330463319e-09
1906,4.5783241375829675e-07,1.6461390472954918e-08
1907,4.664559014599945e-07,5.65712765521198e-09
1908,3.9684024955022323e-07,1.080505640516094e-08
