year,certaines_DET oies_NOUN,certaines_DET lois_NOUN
1800,0.0,5.911029461458384e-07
1801,0.0,6.214886454358748e-07
1802,0.0,4.498058672197658e-07
1803,0.0,4.797834356473629e-07
1804,0.0,5.561664422337742e-07
1805,0.0,5.628897876697181e-07
1806,0.0,4.5242204294027033e-07
1807,0.0,2.4768510797912313e-07
1808,0.0,3.353789614912728e-07
1809,0.0,2.552704359004565e-07
1810,0.0,3.8612090724754466e-07
1811,0.0,4.036393583817244e-07
1812,0.0,3.414026537029713e-07
1813,0.0,2.846984346049908e-07
1814,0.0,3.713078946532278e-07
1815,0.0,7.255531100369694e-07
1816,0.0,9.154535245414763e-07
1817,0.0,6.149650175757415e-07
1818,0.0,5.054579137464543e-07
1819,0.0,4.0990159266840465e-07
1820,0.0,4.473663448578691e-07
1821,0.0,3.9840412879854625e-07
1822,0.0,5.87501077120578e-07
1823,0.0,3.281052158854436e-07
1824,0.0,5.052667386706844e-07
1825,0.0,3.9976710475286836e-07
1826,0.0,4.738695622563682e-07
1827,0.0,4.304466413307395e-07
1828,0.0,4.4669106569195094e-07
1829,0.0,5.195344670028135e-07
1830,7.305785310052215e-09,5.374970442062477e-07
1831,0.0,4.552632242305066e-07
1832,0.0,7.11676403586381e-07
1833,0.0,5.502223352493729e-07
1834,0.0,4.5739201492978054e-07
1835,0.0,6.322741725739434e-07
1836,0.0,6.136044898852333e-07
1837,0.0,6.603038471553191e-07
1838,0.0,3.8441065930427953e-07
1839,0.0,5.166700018932602e-07
1840,0.0,6.420646257998541e-07
1841,0.0,5.964689440141058e-07
1842,0.0,7.191259934202776e-07
1843,0.0,8.966691009693051e-07
1844,4.390849017710252e-09,6.503945302327452e-07
1845,8.928364714222425e-09,7.064568565695595e-07
1846,0.0,8.114338676534771e-07
1847,0.0,6.827821259491884e-07
1848,0.0,6.452268070944456e-07
1849,0.0,7.700682296274408e-07
1850,0.0,5.913215801456317e-07
1851,0.0,6.197910398242357e-07
1852,0.0,7.21368435652181e-07
1853,0.0,7.673932600482658e-07
1854,0.0,6.962190610693142e-07
1855,5.306937111981824e-10,7.047612271549042e-07
1856,2.0708756931497874e-09,4.7319508844623215e-07
1857,0.0,5.931033353334669e-07
1858,0.0,7.888605999539777e-07
1859,0.0,6.472152387360097e-07
1860,0.0,5.845064001697153e-07
1861,0.0,7.050365731231523e-07
1862,0.0,6.397468732544098e-07
1863,0.0,5.653910930547568e-07
1864,0.0,8.712020571621792e-07
1865,0.0,7.281487999222236e-07
1866,0.0,7.152451244607505e-07
1867,4.85281148598915e-10,7.725675832404022e-07
1868,0.0,7.360412439538777e-07
