year,courbes_NOUN égales_ADJ
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,7.4155526164076946e-09
1805,0.0
1806,1.152667650217154e-08
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,2.3401266702194334e-08
1811,3.5099073869560016e-08
1812,1.0668832928217853e-08
1813,1.4378708002027452e-08
1814,0.0
1815,1.0788894222457657e-08
1816,0.0
1817,7.784366928831332e-09
1818,3.5763532135746345e-09
1819,1.5526575580793178e-08
1820,1.1866481131050932e-08
1821,3.94459531705138e-09
1822,1.1028177482330648e-08
1823,3.9530747564242574e-09
1824,1.6842225392110777e-09
1825,3.9624492131906663e-08
1826,1.5854372037438225e-08
1827,2.7651818612639545e-09
1828,4.035812395386529e-08
1829,2.571952872898464e-09
1830,0.0
1831,1.4032085715598441e-08
1832,2.1647950987357945e-08
1833,1.0425265983826648e-08
1834,2.8003592777992026e-09
1835,4.5378527602224494e-09
1836,4.032449929525228e-09
1837,1.3915781860163179e-09
1838,1.2624323808552163e-09
1839,2.7965900706306e-09
1840,1.4013314952876499e-08
1841,6.420548537278137e-09
1842,1.1404051036834062e-08
1843,1.8902115428431898e-08
1844,8.781698035420504e-09
1845,1.5066614622583074e-08
1846,7.610851504580296e-09
1847,8.629157832729106e-09
1848,5.63165514222419e-09
1849,1.256912263158938e-08
1850,2.0366988096043315e-09
1851,5.8044946626978344e-09
1852,6.510545436100301e-09
1853,7.763511611358354e-09
1854,5.195664343204953e-09
1855,1.6982198758341838e-08
1856,1.346069211649592e-08
1857,4.881509085841174e-10
1858,1.1255455234504552e-08
1859,1.171199848215565e-08
1860,3.707518914097818e-08
1861,1.226150558863992e-08
1862,1.0843167252971853e-08
1863,5.494082966350788e-09
1864,1.342523781033833e-08
1865,1.4120533187167439e-08
1866,2.1408697037372804e-08
1867,2.6690463172940326e-08
1868,3.457911734727759e-09
1869,9.767038733343725e-09
1870,8.027668307875047e-09
1871,3.18635318130589e-09
1872,6.652073114565837e-09
1873,3.7711828326791874e-08
1874,8.603436896237326e-08
1875,6.293679799540541e-09
1876,1.3301232115736639e-08
1877,2.288381928394756e-08
1878,7.2469061862534545e-09
1879,3.665595160740054e-09
1880,1.2835692508872398e-09
1881,9.064259565150223e-09
1882,1.3310770263785798e-08
1883,1.2638677659992936e-08
1884,1.8484751507230612e-08
1885,1.0313017106966527e-08
1886,5.162771099520569e-09
1887,7.834709769838355e-09
1888,1.8387781963724592e-08
1889,6.891650361495749e-09
1890,9.831579994568074e-09
1891,1.0836173736095134e-08
1892,3.1342561879199593e-09
1893,4.926733243593162e-09
1894,7.561847148451761e-09
1895,7.22233739480771e-09
1896,1.9460195233023114e-08
1897,9.322741689743452e-09
1898,3.3950129374460403e-09
1899,2.2110313580014918e-09
1900,2.595526460424935e-09
1901,5.029864968975062e-09
1902,7.365425602756659e-09
1903,1.0260418292773466e-08
1904,2.1498500757388683e-08
1905,1.909480928929952e-08
1906,8.230695236477459e-09
1907,2.057137349353866e-09
1908,9.331639461152008e-09
1909,1.4302557360679202e-08
1910,2.67207544979442e-09
1911,8.51259862599818e-09
1912,6.251305251225858e-09
1913,3.075734156254839e-08
1914,6.428874144148722e-08
1915,1.5314990164938536e-08
1916,3.2962386153911893e-09
1917,1.0966424213165737e-08
1918,1.1486376294556067e-09
1919,5.524709134618888e-09
1920,1.741613253614105e-08
1921,2.0446417892117097e-08
1922,1.4755870969551665e-09
