year,les_DET égales_ADJ,les_DET légales_ADJ
1800,2.829747991484055e-08,0.0
1801,2.3811825400343878e-08,2.3811825844433088e-09
1802,2.2378401354217203e-08,0.0
1803,2.145373123596528e-08,0.0
1804,1.9774807569206132e-08,4.943701892301533e-09
1805,1.1371510844071508e-08,8.528632911009026e-09
1806,0.0,5.76333825108577e-09
1807,5.693910232196231e-09,8.540865792383556e-09
1808,6.798221985349073e-09,9.064295980465431e-09
1809,4.0662548883574345e-08,4.518061036407062e-09
1810,2.574139479349924e-08,7.020380277111826e-09
1811,0.0,0.0
1812,1.600324850414836e-08,1.600324850414836e-08
1813,2.0130190847567064e-08,5.751483289628823e-09
1814,0.0,0.0
1815,1.3486118000116676e-08,0.0
1816,6.489290882427667e-08,0.0
1817,3.113746815941454e-09,0.0
1818,1.1921177378582115e-09,0.0
1819,1.5526575580793178e-08,0.0
1820,2.3732962262101864e-08,1.1866481131050932e-09
1821,1.1833785507064931e-08,1.97229765852569e-09
1822,2.8071724500478012e-08,3.0076847679083585e-09
1823,1.3835761869529506e-08,9.882686891060644e-10
1824,2.5263338088166165e-09,0.0
1825,7.924898959288385e-09,2.641632912414593e-09
1826,2.025836387531399e-08,1.0569580766173203e-08
1827,0.0,7.373818444733615e-09
1828,3.668920500743411e-09,0.0
1829,1.2002446148073886e-08,6.001223074036943e-09
1830,1.0436835395921662e-08,2.0873671680021744e-09
1831,1.870944643656003e-08,6.236482441579483e-09
1832,9.470978667991403e-09,1.3529969367098715e-09
1833,1.0425265983826648e-08,3.4750886612755494e-09
1834,1.213489042584115e-08,9.334530925997342e-10
1835,1.4369867074037757e-08,3.025235173481633e-09
1836,2.016225053580456e-08,0.0
1837,2.6439986200443855e-08,1.3915781860163179e-09
1838,1.0730675015224733e-08,6.312161904276081e-10
1839,2.7965900706306e-09,9.788065469251706e-09
1840,1.7198159341091923e-08,1.2739377330817092e-09
1841,1.2841097074556274e-08,1.2841097074556274e-09
1842,4.22620693996123e-08,2.0124795163667386e-09
1843,2.2446261738195972e-08,1.1813822142769936e-09
1844,1.701453911095996e-08,4.9397050894128824e-09
1845,3.2923345827384765e-08,2.2320911785556063e-09
1846,2.4588905134237393e-08,5.854501328173001e-09
