year,dernières_ADJ oies_NOUN,dernières_ADJ lois_NOUN
1800,0.0,1.3519907327008696e-07
1801,0.0,1.0953439755212457e-07
1802,0.0,1.1860552717735118e-07
1803,0.0,1.735801902214007e-07
1804,0.0,1.5325475999361515e-07
1805,0.0,1.0802935435094696e-07
1806,0.0,1.152667650217154e-07
1807,0.0,3.046241943138739e-07
1808,0.0,2.311395519427606e-07
1809,0.0,2.439753075123008e-07
1810,0.0,2.574139443822787e-07
1811,0.0,8.022645658911642e-08
1812,0.0,2.5605197606637375e-07
1813,0.0,2.243078540686838e-07
1814,0.0,8.496028414128887e-08
1815,0.0,1.9150287755564932e-07
1816,0.0,1.0429217667251578e-07
1817,0.0,6.694555310104988e-08
1818,0.0,1.3828565670337412e-07
1819,0.0,2.2461777859916765e-07
1820,0.0,1.59010852485153e-07
1821,0.0,1.4299158124231326e-07
1822,0.0,1.8647645561031823e-07
1823,0.0,1.2155705064742506e-07
1824,0.0,9.600068295867459e-08
1825,0.0,7.57268097117958e-08
1826,0.0,1.4621254251778737e-07
1827,0.0,2.7283127224109194e-07
1828,0.0,2.650795067893341e-07
1829,0.0,1.6374765721138829e-07
1830,0.0,1.4820307114860043e-07
1831,0.0,8.731075240575592e-08
1832,0.0,1.5559464827674674e-07
1833,0.0,1.054110185805257e-07
1834,0.0,1.1761508744712046e-07
1835,0.0,1.005890695182643e-07
1836,0.0,1.4315197915948374e-07
1837,0.0,1.1341361982886156e-07
1838,0.0,1.29399325032864e-07
1839,0.0,1.0347383039288616e-07
1840,0.0,1.0955864837569607e-07
1841,0.0,9.695028069245382e-08
1842,0.0,1.3617777483432292e-07
1843,0.0,1.3231480977538013e-07
1844,0.0,1.2513919500634074e-07
1845,0.0,1.6796485624581692e-07
1846,0.0,1.3758078409864538e-07
1847,0.0,1.1056108206730642e-07
1848,0.0,1.4722755281582067e-07
1849,0.0,9.971503800443315e-08
1850,0.0,8.146795238417326e-08
1851,0.0,1.1480000949859459e-07
1852,0.0,1.2239824798143673e-07
1853,0.0,9.077336216023468e-08
1854,0.0,1.1326548587931029e-07
1855,0.0,9.074862816760287e-08
1856,0.0,1.0250834492353533e-07
1857,0.0,5.369659916709679e-08
1858,0.0,8.074565727156369e-08
1859,0.0,1.2781354996604932e-07
1860,0.0,9.29168351149201e-08
1861,0.0,7.592701933845092e-08
1862,0.0,1.1927484422358248e-07
1863,0.0,1.1237897012961184e-07
1864,0.0,1.1027874080582478e-07
1865,0.0,1.4873627662836952e-07
1866,0.0,9.63391357799992e-08
1867,0.0,1.0724713206400338e-07
1868,0.0,1.4029242834112665e-07
1869,0.0,1.0499566371890978e-07
1870,0.0,1.364703621220542e-07
1871,0.0,2.0392660360357695e-07
1872,0.0,1.2155152262494084e-07
1873,0.0,1.6940393265940656e-07
1874,0.0,1.6848397876856325e-07
1875,0.0,1.458989373759323e-07
1876,0.0,1.511503739948239e-07
1877,0.0,8.16395697711414e-08
1878,0.0,1.1897004981165082e-07
1879,0.0,1.1790997689331562e-07
1880,0.0,1.1744658934276231e-07
