year,mouvements_NOUN égaux_ADJ,mouvements_NOUN légaux_ADJ
1800,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,9.887403784603066e-09,0.0
1805,0.0,0.0
1806,3.1698359492793315e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,2.25903047379461e-08,0.0
1810,0.0,0.0
1811,5.0141535368197765e-09,0.0
1812,3.467370746079723e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,9.270415546325239e-09,0.0
1817,1.8682481339737933e-08,0.0
1818,1.1921177378582115e-09,0.0
1819,8.280840013696888e-09,0.0
1820,3.5599443393152796e-09,0.0
1821,1.0847637454958203e-08,0.0
1822,8.02049271442229e-09,0.0
1823,4.941343334508019e-09,0.0
1824,1.6842225392110777e-08,0.0
1825,1.6730341556581152e-08,0.0
1826,3.170874407487645e-08,0.0
1827,9.217273166939322e-09,0.0
1828,9.172301140836225e-09,0.0
1829,1.714635211591542e-09,0.0
1830,1.2524203008013046e-08,0.0
1831,1.5591206103948707e-09,0.0
1832,2.0294953273491956e-08,0.0
1833,1.853380560135065e-08,0.0
1834,1.120143711119681e-08,0.0
1835,1.8907719834260206e-08,0.0
1836,9.409050427677812e-09,0.0
1837,1.3915782304252389e-08,0.0
1838,1.64116205070286e-08,0.0
1839,2.516931019158619e-08,0.0
1840,1.2739377552861697e-08,0.0
1841,6.420548537278137e-09,0.0
1842,1.8112315203211438e-08,0.0
1843,1.7720733325177207e-08,0.0
1844,1.0428266250528395e-08,0.0
1845,6.138250796539069e-09,0.0
1846,1.3465353276842507e-08,0.0
1847,1.4022381478184798e-08,1.7258315665458213e-08
1848,2.494018680465615e-08,5.63165514222419e-09
1849,4.1897074254393374e-08,8.379414939696517e-10
1850,1.3577992064028876e-08,1.3577992064028876e-09
1851,7.739326512989919e-09,2.579775504329973e-09
1852,8.463708844885787e-09,0.0
1853,1.3138249599364826e-08,0.0
1854,3.3252252507054436e-08,0.0
1855,2.0697054736729115e-08,0.0
1856,8.28350277259915e-09,0.0
1857,2.245494101771328e-08,0.0
1858,1.3702292633865909e-08,1.468102750479261e-09
1859,6.619825576592575e-09,0.0
