year,aurons_VERB également_ADV
1800,5.65949598296811e-08
1801,0.0
1802,2.2378401354217203e-09
1803,7.801356893821776e-09
1804,4.943701892301533e-09
1805,0.0
1806,5.76333825108577e-09
1807,1.9928686256776018e-08
1808,4.5321479902327155e-09
1809,4.969867006821005e-08
1810,2.8081521108447305e-08
1811,2.5070767684098882e-09
1812,0.0
1813,1.1502966579257645e-08
1814,6.293354282149721e-09
1815,5.394447111228828e-09
1816,0.0
1817,3.113746815941454e-09
1818,4.768470951432846e-09
1819,6.210630232317271e-09
1820,1.1866481131050932e-09
1821,9.861488514673056e-09
1822,1.1028177482330648e-08
1823,4.941343334508019e-09
1824,8.421112696055388e-09
1825,3.522177216552791e-09
1826,2.6423952803611428e-08
1827,9.217273055917019e-10
1828,1.1923991571904935e-08
1829,7.715858174606183e-09
1830,8.349468672008697e-09
1831,2.9623292263636358e-08
1832,8.117981842303834e-09
1833,1.853380560135065e-08
1834,2.8003592333902816e-08
1835,4.5378527602224494e-09
1836,4.704525213838906e-09
1837,6.957891152126194e-09
1838,8.2058102535143e-09
1839,7.690622361167243e-09
1840,4.458782232319436e-09
1841,2.247191943638427e-08
1842,2.3478927246856074e-08
1843,1.4176587015413133e-08
1844,1.756339607084101e-08
1845,2.4553003186156275e-08
1846,9.952652035849496e-09
1847,3.55952778363644e-08
1848,1.448139919091318e-08
1849,3.100383594301093e-08
1850,1.6972489191857676e-08
1851,8.384270167027807e-09
1852,2.0833745395520964e-08
1853,1.5527023222716707e-08
1854,1.7145692865483397e-08
1855,2.812676669350367e-08
1856,8.801221973442352e-09
1857,2.0990489346672803e-08
1858,2.5936483183386372e-08
1859,3.564521477983362e-08
1860,1.0985241161165504e-08
1861,2.0750240636857598e-08
1862,1.8523744316212287e-08
1863,2.2475793670651e-08
1864,1.726102105692462e-08
1865,3.577201823645737e-08
1866,1.6056523222118813e-08
1867,1.747012134956094e-08
1868,3.112120694481746e-08
1869,1.3673853160867111e-08
1870,1.3761717099214366e-08
1871,3.18635318130589e-09
1872,1.1489944995446422e-08
1873,2.0352414864532875e-08
1874,1.7326366119618797e-08
1875,2.4030413214859436e-08
1876,3.023007266733657e-08
1877,3.64904160221613e-08
1878,2.3552445327368332e-08
1879,2.6270098985037293e-08
1880,2.631317030932223e-08
1881,2.998178416646624e-08
1882,2.728707926280549e-08
1883,2.9700892412165558e-08
1884,3.564916539744445e-08
1885,3.480643329112354e-08
1886,2.8395241713496944e-08
1887,3.003305337756501e-08
1888,3.360525724360741e-08
1889,2.4434033463194282e-08
1890,3.080561583601593e-08
1891,2.1672347472190268e-08
1892,2.2566645441202127e-08
1893,3.079208354961338e-08
1894,2.0164925729204697e-08
1895,2.166701307260155e-08
1896,1.8870492723976895e-08
1897,2.155884004650943e-08
1898,3.3384292663640736e-08
1899,2.819064981451902e-08
1900,2.0245106924221545e-08
1901,2.0119459875900247e-08
1902,1.8659077838378835e-08
1903,2.430099144135056e-08
1904,3.6009989656804464e-08
1905,2.6835946798087207e-08
1906,5.0927425832014706e-08
1907,2.3657079850636364e-08
1908,1.817213934884876e-08
1909,3.4106097501762633e-08
1910,3.7943468811363346e-08
1911,3.1390207766435196e-08
1912,2.4484279492753558e-08
1913,3.181793672979438e-08
1914,2.0759905794420774e-08
1915,3.652036184575991e-08
1916,3.84561182897869e-08
1917,4.496234140560773e-08
1918,1.8378202071289707e-08
1919,4.1435317399418636e-08
1920,1.590168707821249e-08
1921,2.7261890522822796e-08
1922,3.9103056792555435e-08
1923,2.3355084977083607e-08
1924,3.2229060309418855e-08
1925,2.969508017258704e-08
1926,2.5636119005412183e-08
1927,3.9022285847067906e-08
1928,3.884854038460617e-08
1929,2.785101571589621e-08
1930,2.7309368988426286e-08
1931,3.193499864551086e-08
1932,2.6302888755935783e-08
1933,2.064719240024715e-08
1934,2.875579241390369e-08
1935,1.4361940969820353e-08
1936,2.5461901032031165e-08
1937,1.7627565185307503e-08
1938,2.9819993585533666e-08
1939,3.364691281149135e-08
1940,2.5357829613881222e-08
1941,2.9515025090631752e-08
1942,9.102635090130207e-09
1943,2.6129116648121453e-08
1944,2.2492303131116387e-08
1945,3.703456741277478e-08
1946,3.480275978517966e-08
1947,2.8610090296865565e-08
1948,4.240036233227329e-08
1949,2.3560819073509265e-08
1950,3.296961992305114e-08
1951,2.4521224162299404e-08
1952,3.4797853487589236e-08
1953,3.5553629373907825e-08
1954,2.052232517257835e-08
1955,3.2849627018549654e-08
1956,2.703553825256222e-08
1957,2.297109880089465e-08
1958,2.9780077070995503e-08
1959,4.960478605653407e-08
1960,3.5296249478733444e-08
1961,1.80652133252579e-08
1962,2.8538803320543593e-08
1963,3.168366191630412e-08
1964,3.224503331011874e-08
1965,3.009623839034248e-08
1966,2.9357096309468034e-08
1967,2.218651040664099e-08
1968,2.4253646202510026e-08
1969,2.997560244466513e-08
1970,2.8971967935831344e-08
1971,3.083038535578453e-08
1972,2.924183739594355e-08
1973,2.4809416743210022e-08
1974,2.6440186928766707e-08
1975,2.341706917263764e-08
1976,3.085304456362792e-08
1977,2.703319701424789e-08
1978,2.257424647211792e-08
1979,2.808947208166046e-08
1980,3.183684427199296e-08
1981,2.5934753011824796e-08
1982,1.8622506203769262e-08
1983,2.3998200759933752e-08
1984,2.3775934110403796e-08
1985,1.804667348892508e-08
1986,2.8773531113301942e-08
1987,1.8943532964499354e-08
1988,1.5591039570495013e-08
1989,3.018467253923518e-08
1990,2.942271493111548e-08
1991,2.2859714121636898e-08
1992,2.1488782309120324e-08
1993,2.049506697687775e-08
1994,2.953958855300698e-08
1995,1.8978578708583882e-08
1996,1.5480466686312866e-08
1997,2.109753616252874e-08
1998,2.193339376788117e-08
1999,2.422206613061917e-08
2000,1.9439339027371716e-08
2001,2.1467938537966802e-08
2002,2.1906107150471144e-08
2003,1.8334461060476315e-08
2004,1.761916479381398e-08
2005,1.7114247796712334e-08
2006,2.182481573242967e-08
