year,quantités_NOUN égales_ADJ,quantités_NOUN egales_ADJ,quantités_NOUN légales_ADJ
1800,6.697070489281032e-07,0.0,0.0
1801,5.190977958591247e-07,0.0,0.0
1802,7.877197276684456e-07,0.0,0.0
1803,4.602800629527337e-07,0.0,0.0
1804,4.103272601696517e-07,2.4718509461507665e-09,4.943701892301533e-09
1805,2.444874951379461e-07,0.0,0.0
1806,5.936238380854775e-07,0.0,0.0
1807,7.515961328863341e-07,0.0,0.0
1808,4.486826412630762e-07,0.0,0.0
1809,7.048175234558585e-07,0.0,0.0
1810,5.686508188773587e-07,0.0,0.0
1811,4.78851688967552e-07,0.0,0.0
1812,9.388572834723163e-07,5.3344164641089264e-09,0.0
1813,4.860003173234873e-07,0.0,0.0
1814,4.0277467405758216e-07,3.1466771410748606e-09,0.0
1815,5.502336080098758e-07,0.0,0.0
1816,4.820616368306219e-07,0.0,0.0
1817,2.2574664626517915e-07,0.0,0.0
1818,3.2187179499487684e-07,1.1921177378582115e-09,0.0
1819,2.4842520929269085e-07,0.0,0.0
1820,1.9223699609938194e-07,2.3732962262101864e-09,0.0
1821,2.1596659394162998e-07,0.0,0.0
1822,2.757044512691209e-07,1.0025615893027862e-09,0.0
1823,3.8740131458325777e-07,0.0,0.0
1824,5.195826702220074e-07,0.0,0.0
1825,3.9448383404305787e-07,8.805443041381977e-10,0.0
1826,3.109218482677534e-07,8.807984341885344e-10,0.0
1827,5.097152211419598e-07,0.0,0.0
1828,2.4398320874752244e-07,0.0,0.0
1829,2.709123521071888e-07,0.0,0.0
1830,4.0181816984841134e-07,0.0,0.0
1831,3.788663036630169e-07,0.0,0.0
1832,2.7195238772037555e-07,0.0,0.0
1833,4.343860666722321e-07,0.0,0.0
1834,1.8202335638761724e-07,0.0,0.0
1835,3.1462445804208983e-07,0.0,0.0
1836,3.0646620530205837e-07,2.016224964762614e-09,0.0
1837,3.1240929843079357e-07,0.0,0.0
1838,2.3670607163239765e-07,0.0,6.312161904276081e-10
1839,5.103776743453636e-07,1.3982950353153e-09,0.0
1840,3.592504356220161e-07,0.0,0.0
1841,2.95987291565325e-07,0.0,0.0
1842,3.3876739280458423e-07,0.0,0.0
1843,4.29432446935607e-07,0.0,0.0
1844,3.479747761048202e-07,0.0,0.0
1845,4.2019115653602057e-07,1.1160455892778032e-09,0.0
1846,3.3956106904042826e-07,0.0,0.0
1847,3.446269829510129e-07,0.0,0.0
1848,2.9686867719647125e-07,0.0,0.0
1849,2.9998304285072663e-07,0.0,0.0
1850,3.1365161134999653e-07,0.0,0.0
1851,3.824517307293718e-07,0.0,0.0
1852,2.493538886483293e-07,0.0,0.0
1853,3.3263660270677065e-07,0.0,0.0
1854,4.2448579051779234e-07,0.0,0.0
1855,2.940043088983657e-07,5.306937111981824e-10,0.0
1856,3.1891485718915646e-07,5.177189232874468e-10,0.0
1857,3.5049234270445595e-07,4.881509085841174e-10,0.0
1858,4.820270760319545e-07,1.468102750479261e-09,0.0
1859,2.765050055586471e-07,5.092173349652285e-10,0.0
1860,3.1399480349136866e-07,4.577183909670879e-10,0.0
1861,3.5322568692208733e-07,0.0,0.0
1862,2.3583888264511188e-07,0.0,0.0
1863,3.031734934211272e-07,0.0,0.0
1864,3.413846343391924e-07,0.0,0.0
1865,2.814692834363086e-07,0.0,2.3534221238463715e-09
1866,3.5956878718934604e-07,0.0,1.4596839292835284e-09
1867,3.634755785242305e-07,0.0,0.0
1868,4.5446842023011413e-07,0.0,0.0
1869,3.7407755826279754e-07,9.767038289254515e-10,0.0
1870,3.486301807242853e-07,5.734048791339319e-10,0.0
1871,4.5140004090171715e-07,0.0,0.0
1872,5.442605583994009e-07,6.047339295989218e-10,0.0
1873,4.4954893496651493e-07,5.986004469882289e-10,1.7958012854535355e-09
1874,4.5227790224089404e-07,1.7923826867161097e-09,0.0
