year,avions_VERB également_ADV
1800,3.144164484325529e-09
1801,3.333655484993869e-08
1802,1.3427040812530322e-08
1803,3.705644502360883e-08
1804,1.2359254952798437e-08
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,4.555128185756985e-08
1808,4.5321479902327155e-09
1809,2.259030518203531e-09
1810,2.574139479349924e-08
1811,2.0056614147279106e-08
1812,5.3344164641089264e-09
1813,1.7254450312975678e-08
1814,4.090680150170556e-08
1815,5.394447111228828e-09
1816,2.0858434979231788e-08
1817,1.401186100480345e-08
1818,1.4305412854298538e-08
1819,1.0351049795076506e-08
1820,2.610625848831205e-08
1821,1.7750679148775816e-08
1822,1.7043547018147365e-08
1823,1.680056804787e-08
1824,3.115811608722652e-08
1825,1.584979791857677e-08
1826,2.290075862276808e-08
1827,5.7147094167930845e-08
1828,4.035812395386529e-08
1829,1.628903412154159e-08
1830,3.5485243188304594e-08
1831,1.870944643656003e-08
1832,1.7588959622116818e-08
1833,5.791814139399776e-09
1834,2.9870498963191494e-08
1835,1.9664028627630614e-08
1836,1.0753200108126748e-08
1837,4.87052354003481e-09
1838,1.3255539776935166e-08
1839,1.0487212875887053e-08
1840,1.52872523528913e-08
1841,3.723918240439161e-08
1842,3.6224630406422875e-08
1843,8.269675610961258e-09
1844,1.975882035765153e-08
1845,1.674068350610014e-08
1846,2.3418005312692003e-08
1847,8.089835468183537e-09
1848,1.6090443422100975e-09
1849,8.379414495607307e-09
1850,1.765138968323754e-08
1851,3.0957306051959677e-08
1852,2.799534470909748e-08
1853,1.3735443005202796e-08
1854,2.234135720868835e-08
1855,2.388121700391821e-08
1856,2.8992259260007813e-08
1857,3.172980811427806e-08
1858,2.1532175153993194e-08
1859,2.34239969643113e-08
1860,1.5562426014525954e-08
1861,1.744906619194353e-08
1862,3.8402884428023754e-08
1863,3.1965573299430616e-08
1864,1.6781548595190543e-08
1865,3.812543880599151e-08
1866,2.8707116683790446e-08
1867,1.2132028714972876e-08
1868,1.778354707937524e-08
1869,2.1487483792270723e-08
1870,2.1789386295267832e-08
1871,9.559059321873065e-09
1872,4.9588180672799353e-08
1873,2.9331422624068182e-08
1874,3.4055272379873713e-08
1875,3.661777370211894e-08
1876,1.753344314181504e-08
1877,2.1646856751544874e-08
1878,1.0870359723469392e-08
1879,1.9549840857280287e-08
1880,2.1820676820993867e-08
1881,2.7890029841159958e-08
1882,1.8635077481121698e-08
1883,2.1485751844352308e-08
1884,2.1125430293977843e-08
1885,3.545099502844096e-08
1886,2.5813855941692054e-08
1887,3.721487118468758e-08
1888,3.043495055976564e-08
1889,3.257871128425904e-08
1890,3.342736931699619e-08
1891,2.1672347472190268e-08
1892,2.5074049503359674e-08
1893,2.9560400349737392e-08
1894,2.520615716150587e-08
1895,3.009307292245467e-08
1896,4.1279204054944785e-08
1897,3.088158351260972e-08
1898,3.451596342074481e-08
1899,4.4220627160029835e-08
1900,3.73755817406618e-08
1901,3.856229824350521e-08
1902,2.356936334990678e-08
1903,4.3201762167655033e-08
1904,3.708491291831706e-08
1905,3.4061010012464976e-08
1906,4.6812079546043606e-08
