year,meilleures_ADJ âmes_NOUN,meilleures_ADJ ames_NOUN,meilleures_ADJ lames_NOUN
1800,0.0,0.0,3.144164484325529e-09
1801,0.0,4.7623651688866175e-09,1.1905912700171939e-08
1802,0.0,2.2378401354217203e-09,2.0140561218795483e-08
1803,0.0,1.5602713787643552e-08,3.90067853572873e-08
1804,0.0,2.4718509461507665e-09,0.0
1805,0.0,0.0,0.0
1806,4.3225035994964855e-08,2.881669125542885e-09,2.881669125542885e-09
1807,0.0,0.0,1.4234775136401367e-08
1808,0.0,0.0,2.039466551195801e-08
1809,0.0,2.259030518203531e-09,2.259030518203531e-09
1810,0.0,9.360507036149102e-09,0.0
1811,0.0,0.0,0.0
1812,0.0,0.0,0.0
1813,0.0,0.0,0.0
1814,0.0,0.0,0.0
1815,0.0,1.6183340889597275e-08,0.0
1816,0.0,5.3304887615013286e-08,2.3176038865813098e-08
1817,9.341240669868967e-09,0.0,0.0
1818,1.1921177378582115e-09,1.4305412854298538e-08,1.4305412854298538e-08
1819,2.070210003424222e-09,0.0,2.070210003424222e-09
1820,0.0,0.0,1.1866481131050932e-08
1821,0.0,8.875339574387908e-09,1.1833785507064931e-08
1822,2.0051231786055723e-09,4.010246357211145e-09,1.2030739071633434e-08
1823,0.0,1.9765373782121287e-09,2.9648060007048116e-08
1824,0.0,0.0,4.884245186076441e-08
1825,1.7610886082763955e-09,1.7610886082763955e-09,8.805443041381977e-10
1826,0.0,5.284790383086602e-09,1.76159691278599e-08
1827,0.0,4.608636583469661e-09,1.2904182611350734e-08
1828,1.1006761724274838e-08,9.172301140836225e-09,4.586150570418113e-09
1829,0.0,3.429270423183084e-09,0.0
1830,2.0873671680021744e-09,0.0,1.3567886369969528e-08
1831,0.0,7.795603274018958e-09,7.795603274018958e-09
1832,0.0,9.470978667991403e-09,1.8941957335982806e-08
1833,0.0,1.1583628500844156e-09,5.791814139399776e-09
1834,9.334530925997342e-10,9.334530925997342e-10,4.667265685043276e-09
1835,0.0,5.294161553592858e-09,1.285724948729694e-08
1836,8.064899859050456e-09,2.5538851033957144e-08,1.5457725766054864e-08
1837,2.0873671680021744e-09,1.3915781860163179e-09,2.0873671680021744e-09
1838,2.2723781967215473e-08,8.837027110075724e-09,2.5248647617104325e-09
1839,9.088918062616358e-09,0.0,1.2584655095793096e-08
1840,4.458782232319436e-09,3.821813088222825e-09,3.821813088222825e-09
1841,1.6051371787284552e-08,0.0,1.3483152372373297e-08
1842,4.695785538189057e-09,3.3541325272778977e-09,6.708265054555795e-09
1843,7.088293507706567e-09,5.906911071384968e-10,6.497602011990011e-09
1844,1.5916826967554698e-08,7.683985892015244e-09,2.7442805805577564e-09
1845,1.1160455670733427e-08,0.0,1.6182660544927785e-08
1846,1.1123552745573306e-08,0.0,1.9319854160926297e-08
1847,5.9325460100012606e-09,9.707802561820245e-09,4.853901280910122e-09
1848,4.82713291560799e-09,0.0,4.02261068899179e-09
1849,4.1897072478036534e-09,1.6758829879393033e-09,1.005529792763582e-08
1850,1.0862393651223101e-08,3.394498016007219e-09,7.467895635215882e-09
1851,1.9993260380601896e-08,1.9348316282474798e-09,9.029214709244116e-09
