year,barrières_NOUN légales_ADJ
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,0.0
1803,1.5602713787643552e-08
1804,0.0
1805,0.0
1806,2.5935023018064385e-08
1807,2.8469551160981155e-09
1808,0.0
1809,0.0
1810,4.680253518074551e-09
1811,0.0
1812,0.0
1813,0.0
1814,2.2026739543434815e-08
1815,0.0
1816,0.0
1817,0.0
1818,5.0068944545955674e-08
1819,5.175524897538253e-09
1820,2.254631326081835e-08
1821,0.0
1822,0.0
1823,1.680056804787e-08
1824,2.5263338088166165e-09
1825,1.7610886082763955e-09
1826,1.7615968683770689e-09
1827,1.013900075008678e-08
1828,1.7427371545863934e-08
1829,9.430493719264632e-09
1830,4.174734336004349e-09
1831,0.0
1832,0.0
1833,5.791814139399776e-09
1834,9.334530925997342e-10
1835,3.781543966852041e-09
1836,3.36037508930076e-09
1837,0.0
1838,4.418513555037862e-09
1839,9.788065469251706e-09
1840,1.4013314952876499e-08
1841,2.5682194149112547e-09
1842,6.708265054555795e-09
1843,6.497602011990011e-09
1844,1.0977122322231025e-08
1845,1.2276501593078137e-08
1846,1.3465353276842507e-08
1847,2.1572894581822766e-09
1848,4.424871846708811e-08
1849,3.016589289472904e-08
1850,1.2220192857625989e-08
1851,2.3217978650791338e-08
1852,1.3021090872200602e-09
1853,1.4332636411040767e-08
1854,8.832629738719788e-09
1855,9.552486801567284e-09
1856,8.28350277259915e-09
1857,8.298565390418844e-09
1858,2.0553439838977283e-08
1859,1.476730293603623e-08
1860,1.373155189554609e-08
1861,1.0375120318428799e-08
1862,2.4397126097142063e-08
1863,9.489779628779615e-09
1864,1.4863656971897399e-08
1865,9.413688495385486e-09
1866,2.7247432754506917e-08
1867,1.2132028714972876e-08
1868,3.556709415875048e-08
1869,1.8069020057964735e-08
1870,2.064257564882155e-08
1871,5.523012092112367e-08
1872,9.675742873582749e-09
1873,2.6937019725892242e-08
1874,7.169530746864439e-09
1875,2.0025344937835143e-08
1876,1.209202959984168e-08
1877,2.968711676487601e-08
1878,1.1474268646338714e-08
1879,7.94212251520321e-09
1880,1.0910338410496934e-08
1881,6.9725074602899895e-09
1882,5.989846840748214e-09
1883,6.951272890631799e-09
1884,1.9805090900604227e-08
1885,9.66845359329227e-09
1886,6.4534639854230136e-09
1887,1.1099172247952538e-08
1888,1.0779045211961602e-08
1889,2.192797943223468e-08
1890,1.1797895993481688e-08
1891,1.0836173736095134e-08
1892,4.387958441043338e-09
1893,7.390100087434348e-09
1894,1.3863386882917439e-08
1895,4.213029924926559e-09
1896,7.66613794667137e-09
1897,2.330685333618021e-08
1898,6.7900258748920805e-09
1899,1.1607914629507832e-08
1900,2.180242297811219e-08
1901,2.738482152153665e-08
1902,1.8659077838378835e-08
