year,dents_NOUN égales_ADJ
1800,1.0690159513160324e-07
1801,4.7623650800687756e-08
1802,2.3273537408385891e-07
1803,2.3209037181004533e-07
1804,6.673997887673977e-08
1805,1.5920115004064428e-07
1806,3.458002950651462e-08
1807,2.562259560079383e-08
1808,5.6651849433819734e-08
1809,1.581321384946932e-08
1810,8.190443878675069e-08
1811,5.264861258069686e-08
1812,4.5342538612658245e-08
1813,2.0130190847567064e-08
1814,4.405347908686963e-08
1815,1.1328339155625144e-07
1816,4.1716869958463576e-08
1817,2.0550729118440358e-07
1818,8.464036227451288e-08
1819,1.2214239575314423e-07
1820,2.610625848831205e-08
1821,3.550135829755163e-08
1822,5.413832582235045e-08
1823,9.586206317635515e-08
1824,4.8000341479337294e-08
1825,9.15766094067294e-08
1826,6.253668871636364e-08
1827,1.1429418833586169e-07
1828,8.988855171310206e-08
1829,6.77280880267972e-08
1830,7.201416996061027e-08
1831,8.731075240575592e-08
1832,5.276687886635045e-08
1833,2.89590715851773e-08
1834,2.240287422239362e-08
1835,3.6302822081779595e-08
1836,5.511014933290426e-08
1837,2.5048407792382932e-08
1838,3.9135404250600914e-08
1839,4.544459031308179e-08
1840,2.356784811752277e-08
1841,5.8426991689231045e-08
1842,2.95163662400455e-08
1843,2.2446261738195972e-08
1844,2.6345094994439933e-08
1845,2.1204865419122143e-08
1846,7.435216375917264e-08
1847,4.476375536910382e-08
1848,2.735375304041554e-08
1849,6.284561493430374e-08
1850,2.5798184921654865e-08
1851,7.739326512989919e-09
1852,2.3437962681782665e-08
1853,5.0761421732659073e-08
1854,3.16935526711859e-08
1855,2.812676669350367e-08
1856,2.7956822634678247e-08
1857,4.735063896532665e-08
1858,1.3702292633865909e-08
1859,1.6804172275897145e-08
1860,5.858795404378725e-08
1861,3.5369726703038395e-08
1862,1.400575744270327e-08
1863,1.39849385405455e-08
1864,2.5412058235474433e-08
1865,2.9653119071326728e-08
1866,8.75810357570117e-09
1867,2.717574432153924e-08
1868,1.6301584082611953e-08
1869,1.3185501579471293e-08
1870,2.0642576092910758e-08
1871,4.6733180880664804e-08
1872,4.535504416480762e-08
1873,3.651462793241578e-08
1874,2.150859329530519e-08
1875,2.345826055627498e-08
1876,2.4788660679675445e-08
1877,1.0514186854493346e-08
1878,1.6305540029293297e-08
1879,5.009646741882534e-08
1880,2.5029599504122757e-08
1881,3.5559788003070025e-08
1882,3.793569547383413e-08
1883,2.7173157945981075e-08
1884,4.093052297093891e-08
1885,1.2891271161663553e-08
1886,5.679048342699389e-08
1887,3.656197722357035e-08
1888,3.4239320712003973e-08
1889,2.1301465480405568e-08
1890,8.52070264345528e-09
1891,4.398211927991724e-08
1892,4.826754373965514e-08
1893,2.5865349195797194e-08
1894,1.7644309346920295e-08
1895,3.671354775747204e-08
1896,1.5273305042917684e-07
1897,1.0604618694287637e-07
1898,2.2633418694795182e-08
1899,3.205995469102163e-08
1900,4.308574175215796e-08
1901,7.824234704578714e-09
1902,5.597723601313831e-08
1903,1.2474509492044206e-07
1904,1.1286712897629059e-08
1905,1.4966200723165457e-08
1906,3.858138342138773e-08
1907,2.7257069490360664e-08
1908,2.701263923654551e-08
1909,5.8860525065096425e-08
1910,1.9238942883248455e-08
1911,1.8621308939259507e-08
1912,2.344239469209697e-08
1913,3.553003224965323e-08
1914,1.9420557606508737e-08
1915,4.712304768617059e-09
1916,8.789969641043172e-09
1917,3.070598708632133e-08
1918,2.067547733020092e-08
1919,1.4732557396257562e-08
1920,1.4387239843927091e-08
1921,2.2718241510233383e-08
1922,1.1066902949607993e-08
1923,8.174279741979262e-08
1924,1.2891624656674594e-08
1925,1.4297631523163545e-08
1926,7.802296586589819e-09
1927,1.2264147031260109e-08
1928,2.170947865920425e-08
1929,4.010546450494701e-08
1930,2.4158288924880367e-08
1931,1.2545892325022123e-08
1932,4.603005265835236e-08
1933,2.2941325283909464e-08
1934,2.2765002327673756e-08
1935,4.6676309040094566e-08
1936,2.5461901032031165e-08
1937,8.813782592653752e-09
1938,4.797129449229942e-08
1939,2.7529290846928234e-08
1940,1.5214697057785997e-08
1941,5.60785480274717e-08
1942,1.517105907566929e-08
1943,1.7419411690866582e-08
1944,2.8918675454292497e-08
1945,1.9606536838523425e-08
1946,5.568441707737293e-09
1947,2.5033829231801974e-08
1948,7.610321262063735e-08
1949,3.043272656100271e-08
1950,3.40331576254016e-08
1951,1.2793682557799002e-08
1952,7.065018792218325e-08
1953,3.124409908572545e-08
1954,1.856781906006688e-08
1955,1.3139851429144755e-08
1956,1.744228228517386e-08
1957,1.678657179926546e-08
1958,2.0680609225109947e-08
1959,1.6276571201956358e-08
1960,1.591791587429725e-08
1961,2.36237411854745e-08
1962,9.512934440181198e-09
1963,1.8751554975438012e-08
1964,1.8251904820854037e-08
1965,1.5868925395956524e-08
1966,2.1602390987141007e-08
1967,9.367637332502454e-09
1968,8.98283178396575e-09
1969,1.77128555989281e-08
1970,1.057706744411746e-08
1971,1.1304474689666222e-08
1972,8.721249500354133e-09
1973,8.269805285010534e-09
1974,2.2502286700643026e-09
1975,5.140332159925265e-09
1976,1.428381679602353e-08
1977,7.639816779203557e-09
1978,2.970295565063452e-09
1979,2.925986564150662e-09
1980,5.116635559687666e-09
1981,4.427884725544118e-09
1982,9.311253101884631e-09
1983,4.4207211225000265e-09
1984,4.639206796497319e-09
1985,5.414002135495366e-09
1986,4.196139880008332e-09
1987,1.3443797186596385e-08
1988,4.797243047249822e-09
1989,7.134558721588746e-09
1990,7.628111475810329e-09
1991,6.4476117778156095e-09
1992,6.61193322315512e-09
1993,2.2156829704300662e-09
1994,1.0549853213248639e-09
1995,2.7112254663563817e-09
1996,1.6014276571496566e-09
1997,9.58978896292706e-10
1998,3.337690568372409e-09
1999,4.570201106446348e-09
2000,2.2090156370779823e-09
2001,4.3812117822561447e-10
2002,2.6287327870022636e-09
2003,5.8336921959778465e-09
2004,8.809582507929292e-10
2005,1.3511248786457486e-09
2006,8.235779835885637e-10
2007,1.5977917877663117e-09
2008,4.257439734089985e-09
2009,5.245011536203492e-09
2010,1.8895172093635892e-09
2011,6.883149605840799e-09
2012,2.382976926895708e-09
2013,2.2313000336282585e-09
2014,1.9489005964601347e-09
2015,5.763096222466402e-09
2016,8.078226088059637e-09
2017,2.7671724911471074e-09
2018,2.323319980845895e-09
2019,1.53059265262101e-09
