year,toutes_DET égales_ADJ
1800,3.144164395507687e-08
1801,2.3811825844433088e-09
1802,2.2378401354217203e-09
1803,1.950339267864365e-08
1804,1.4831105232815389e-08
1805,5.685755422035754e-09
1806,2.881669125542885e-09
1807,0.0
1808,2.039466551195801e-08
1809,1.3554183553310395e-08
1810,9.360507036149102e-09
1811,5.0141535368197765e-09
1812,1.3336041604361526e-08
1813,0.0
1814,1.5733386149463513e-08
1815,5.394447111228828e-09
1816,4.1716869958463576e-08
1817,1.2454987263765815e-08
1818,8.344824387052086e-09
1819,1.7596784473994376e-08
1820,2.3732962262101864e-09
1821,1.4792232327920374e-08
1822,2.606660132187244e-08
1823,1.9765373782121287e-09
1824,1.6000115010683658e-08
1825,2.1133063299316746e-08
1826,7.0463874735082754e-09
1827,3.6869092223668076e-09
1828,8.255071293206129e-09
1829,1.7146351893870815e-08
1830,3.1310506187764986e-08
1831,2.494592976631793e-08
1832,1.352996914505411e-08
1833,2.0850531967653296e-08
1834,7.467624740797874e-09
1835,6.050470346963266e-09
1836,1.4785650037651976e-08
1837,1.6003149028165353e-08
1838,6.312161904276081e-10
1839,2.0974425751774106e-08
1840,1.46502836528839e-08
1841,6.420548537278137e-09
1842,4.024959032733477e-09
1843,1.1223130869097986e-08
1844,1.0977122322231025e-08
1845,1.674068439427856e-09
1846,1.8734404916287417e-08
1847,1.0247124926365814e-08
1848,8.04522137798358e-09
1849,1.6758828991214614e-08
1850,4.752297222410107e-09
1851,1.2253933867611977e-08
1852,2.1484799939130994e-08
1853,1.911018188138769e-08
1854,5.7152309551611324e-09
1855,3.714855978387277e-09
1856,1.1907535402144731e-08
1857,5.857811125054013e-09
1858,1.3212924976357954e-08
1859,5.601390462572908e-09
1860,7.323494255473406e-09
1861,7.545541969022906e-09
1862,3.6143890103090826e-09
1863,1.048870412745373e-08
1864,9.589456340108882e-09
1865,2.023943146411966e-08
1866,1.3137154475373336e-08
1867,1.0190904120577216e-08
1868,2.1735445443482604e-08
1869,6.348574999037737e-09
1870,6.880858549607183e-09
1871,6.37270636261178e-09
1872,7.256807155187062e-09
1873,6.584604861359367e-09
1874,1.7923826867161097e-09
1875,1.0298748520654044e-08
1876,8.464420275799966e-09
1877,1.4843558382438005e-08
1878,7.850815109122777e-09
1879,9.163987790827832e-09
1880,7.059631101924424e-09
1881,1.045876096839038e-08
1882,9.983077475794744e-09
1883,3.791603475633565e-09
1884,1.7824580922365385e-08
1885,7.090199094506033e-09
1886,1.936039106809062e-09
1887,9.140494583448344e-09
1888,1.0779045211961602e-08
1889,4.385595886446936e-09
1890,7.209825181320184e-09
1891,1.4023283867459213e-08
1892,1.8805537127519756e-09
