year,des_DET ans_NOUN,des_DET lents_ADJ
1800,2.4210066706942257e-07,3.144164484325529e-09
1801,1.2144031291683177e-07,0.0
1802,1.544109693440987e-07,0.0
1803,1.677291692203653e-07,0.0
1804,2.298821382140659e-07,0.0
1805,2.2743021221849347e-07,0.0
1806,9.221341379372916e-08,0.0
1807,1.7366426563469872e-07,0.0
1808,3.2178249620429256e-07,0.0
1809,1.671682585691059e-07,0.0
1810,1.6848911998934568e-07,0.0
1811,3.4096242984560376e-07,0.0
1812,1.1735716398675322e-07,0.0
1813,2.1280487771946355e-07,0.0
1814,2.0453401017306305e-07,0.0
1815,1.645306344499886e-07,0.0
1816,1.7382028794088455e-07,0.0
1817,1.603579571352043e-07,0.0
1818,1.5497530236885382e-07,0.0
1819,1.387040714506682e-07,0.0
1820,1.9342364865337913e-07,0.0
1821,1.2031015916846854e-07,0.0
1822,1.6843034700286807e-07,0.0
1823,1.6207605924023483e-07,0.0
1824,2.5263338887526743e-07,0.0
1825,2.0164464720195951e-07,0.0
1826,1.655901114006042e-07,0.0
1827,1.3457219222301475e-07,0.0
1828,1.008953154912895e-07,0.0
1829,1.285976387599419e-07,0.0
1830,1.4298465544904104e-07,0.0
1831,7.171954852225326e-08,0.0
1832,1.1500473751091533e-07,0.0
1833,1.4711208606854598e-07,0.0
1834,1.7642263561157279e-07,0.0
1835,1.3084142835850798e-07,0.0
1836,1.458402760223798e-07,0.0
1837,1.1897993812404195e-07,0.0
1838,1.117252639293298e-07,0.0
1839,1.244482580320394e-07,5.5931801412612e-09
1840,1.2293498929949465e-07,0.0
1841,1.0016055718153893e-07,0.0
1842,1.3148199817791806e-07,0.0
1843,1.3585894986789526e-07,7.678984559333912e-09
1844,9.824524904722409e-08,0.0
1845,1.5457230917448328e-07,5.580227946389016e-10
1846,1.1065007576860353e-07,0.0
1847,8.089835112912169e-08,5.393223645455691e-10
1848,1.1585119558121804e-07,0.0
1849,1.055806320149344e-07,0.0
1850,1.0251383653070434e-07,0.0
1851,1.2060450571560466e-07,0.0
1852,1.1979403624629015e-07,0.0
1853,1.1107793307374436e-07,0.0
1854,1.1638288199833369e-07,3.63696517347023e-09
1855,1.3001995569084102e-07,0.0
1856,1.0354378376931095e-07,0.0
1857,1.7719877498656444e-07,0.0
1858,1.1549075340511195e-07,9.787352039936081e-10
