year,plusieurs_DET livres_NOUN
1800,5.124988060600799e-07
1801,6.619687740183622e-07
1802,1.1681526075335569e-06
1803,7.937880752706405e-07
1804,7.712174905361024e-07
1805,7.135622919207663e-07
1806,6.627839024275772e-07
1807,5.494623280810629e-07
1808,7.908598469441586e-07
1809,7.409619957599034e-07
1810,1.017955174376084e-06
1811,9.000405771786291e-07
1812,1.2215813569582679e-06
1813,5.348879259514661e-07
1814,7.26882436907772e-07
1815,6.770031344416338e-07
1816,9.942520247108178e-07
1817,9.045434734566982e-07
1818,7.42689326926893e-07
1819,9.357349330940679e-07
1820,1.1913946806885178e-06
1821,8.293511521983987e-07
1822,7.017930983010956e-07
1823,6.660930731428039e-07
1824,8.16005815806875e-07
1825,7.801622809999742e-07
1826,6.482676562225009e-07
1827,5.613319202235623e-07
1828,6.741641407348453e-07
1829,8.418858676861873e-07
1830,7.003116753168115e-07
1831,6.049387957229868e-07
1832,7.739142279250544e-07
1833,7.425105780223262e-07
1834,6.254135678229744e-07
1835,5.437860011170415e-07
1836,7.95064759251396e-07
1837,7.048343713123018e-07
1838,7.59353103285676e-07
1839,6.50906315735611e-07
1840,7.681844557683171e-07
1841,7.563406425603603e-07
1842,6.473475515633709e-07
1843,8.003864331307398e-07
1844,5.18669051041698e-07
1845,5.407240979415917e-07
1846,6.328716057879546e-07
1847,5.884007032719296e-07
1848,6.074142262502136e-07
1849,4.910337134678144e-07
1850,6.904408849095489e-07
1851,8.906674779929347e-07
1852,5.833448804004604e-07
1853,6.909525245291093e-07
1854,7.809083739651612e-07
1855,6.283413789276437e-07
1856,6.393828488882036e-07
1857,6.497288502771426e-07
1858,6.009434156961646e-07
1859,5.63703600464649e-07
1860,5.09898296363609e-07
1861,5.654440261015914e-07
1862,5.145986401999814e-07
1863,5.364222572801225e-07
1864,5.250227328446044e-07
1865,5.172821900267799e-07
1866,4.763435184074183e-07
1867,5.279859056628311e-07
1868,5.473380553233653e-07
1869,4.5416728045033494e-07
1870,4.398015565065805e-07
1871,2.8358543624484867e-07
1872,4.0880013330024667e-07
1873,3.9986511080059017e-07
1874,3.6564608407729793e-07
1875,4.1538287653963835e-07
1876,4.987962474167773e-07
1877,5.13339744045993e-07
1878,4.78295834716036e-07
1879,5.1196147010657e-07
1880,5.577108153076438e-07
1881,3.702401405458744e-07
1882,4.4790743003453315e-07
1883,4.7268656322430047e-07
1884,4.0270352474891524e-07
1885,3.725577339963593e-07
1886,4.0979494375648073e-07
1887,3.7280160647412686e-07
1888,3.398569532464535e-07
1889,3.483415972338477e-07
1890,3.5721405744482126e-07
1891,3.8627774712196583e-07
1892,4.074532951037213e-07
1893,3.479505337189437e-07
1894,3.50995745357352e-07
1895,3.7014479792318866e-07
1896,3.349512329720028e-07
1897,3.070677982996983e-07
1898,3.4176463303836613e-07
1899,3.399460606345883e-07
1900,3.197688761558126e-07
1901,3.207936016824675e-07
1902,3.127850818351874e-07
1903,2.9161189440962687e-07
1904,3.176403584603804e-07
1905,2.9984010541106443e-07
1906,2.921896911090016e-07
1907,3.3068484128762066e-07
1908,2.2395934018426544e-07
1909,3.1080558127172253e-07
1910,2.9499710751945685e-07
1911,3.1975448688825736e-07
1912,4.00083557394737e-07
1913,2.8211904945507627e-07
1914,4.0582267546440676e-07
1915,1.884921965178421e-07
1916,2.9116773592186007e-07
