year,énormes_ADJ lettres_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,9.270415546325239e-09
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,2.0051231786055723e-09
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,1.5591206103948707e-09
1832,0.0
1833,8.108539617524002e-09
1834,8.401078055442213e-09
1835,0.0
1836,1.3441500135158435e-09
1837,0.0
1838,0.0
1839,0.0
1840,1.2739377330817092e-09
1841,2.5682194149112547e-09
1842,2.0124795163667386e-09
1843,4.7255288571079745e-09
1844,5.488561272137815e-10
1845,1.1160455892778032e-09
1846,1.0538101946622191e-08
1847,5.393223645455691e-10
1848,8.84974404868899e-09
1849,8.379414939696517e-10
1850,6.788996032014438e-10
1851,1.9348316282474798e-09
1852,0.0
1853,1.7915795513800958e-09
1854,1.558699391779328e-09
1855,5.306937111981824e-09
1856,2.5885946719483854e-09
1857,4.881509085841174e-10
1858,0.0
1859,0.0
1860,4.577183909670879e-10
1861,0.0
1862,2.2589932147099034e-09
1863,0.0
1864,9.589455896019672e-10
1865,1.1767110841276462e-08
1866,4.865612912574591e-10
1867,3.396968040192405e-09
1868,2.4699371437009177e-09
1869,0.0
1870,2.8670243956696595e-09
1871,0.0
1872,0.0
1873,8.979006871356887e-09
1874,1.1949218281515073e-09
1875,5.721527140956084e-10
1876,3.02300739996042e-09
1877,6.184815992682502e-10
1878,7.2469061862534545e-09
1879,0.0
1880,4.492492600149944e-09
1881,4.183504653809678e-09
1882,6.655385131892899e-10
1883,6.319338941018771e-10
1884,3.9610181801208455e-09
1885,7.7347630522695e-09
1886,3.872078213618124e-09
1887,6.528924623161458e-10
1888,1.9021844099853524e-09
1889,2.5060546970934183e-09
1890,1.3108772956016423e-09
1891,1.9122660788184476e-08
1892,8.775916882086676e-09
1893,6.15841644346915e-09
1894,1.449354058991048e-08
1895,9.629783193076946e-09
1896,5.897029087265082e-09
1897,1.2818770045441852e-08
1898,2.26334195829736e-09
1899,5.527578395003729e-09
1900,7.26747462209687e-09
1901,2.235495566438317e-09
1902,9.329538919189417e-09
1903,1.6200660812870638e-09
1904,3.2247751136083025e-09
1905,7.2250627702885595e-09
1906,3.0865106026567446e-09
1907,2.057137349353866e-09
1908,4.4202499438483756e-09
1909,4.400786846048277e-09
1910,6.412980813053082e-09
1911,1.3832972989291648e-08
1912,2.0837684910901544e-09
1913,3.71209285532359e-09
1914,9.37544086809794e-09
1915,9.424609537234119e-09
1916,1.0987461607214755e-08
1917,5.483212106582869e-09
1918,1.2635013924011673e-08
1919,4.603924352863942e-09
1920,3.028892692213958e-09
1921,4.543648568500203e-09
1922,6.640141769764796e-09
1923,3.1847844361720945e-09
