year,pas_ADV latin_ADJ
1800,2.5153315874604232e-08
1801,2.3811825400343878e-08
1802,8.951360541686881e-09
1803,4.8758479920252285e-08
1804,3.9549615138412264e-08
1805,1.1371510844071508e-08
1806,2.305335300434308e-08
1807,0.0
1808,1.5862518409903714e-08
1809,6.7770917766551975e-09
1810,7.020380277111826e-09
1811,1.2535384286138651e-08
1812,2.6672082320544632e-09
1813,5.751483289628823e-09
1814,1.5733386149463513e-08
1815,2.4275012222574333e-08
1816,9.270415546325239e-09
1817,4.514932783195036e-08
1818,3.337929754820834e-08
1819,5.4860564091541164e-08
1820,3.797273961936298e-08
1821,2.1695274909916407e-08
1822,2.105379337535851e-08
1823,3.4589405117912975e-08
1824,4.5474010335055937e-08
1825,1.3208164340028361e-08
1826,2.290075862276808e-08
1827,4.2399456390285195e-08
1828,1.9261833017480967e-08
1829,3.6864655328372464e-08
1830,1.982998831806526e-08
1831,8.263339168479433e-08
1832,1.7588959622116818e-08
1833,2.4325620628928846e-08
1834,1.4935249481595747e-08
1835,1.4369867074037757e-08
1836,4.032450107160912e-08
1837,1.3915782304252389e-08
1838,4.039783618736692e-08
1839,2.9364196407755117e-08
1840,1.9109066329292546e-08
1841,3.4028907691663335e-08
1842,3.152884531232303e-08
1843,1.594865928211675e-08
1844,3.0735943568060975e-08
1845,2.3436957263811564e-08
1846,2.751615646445771e-08
1847,1.6718992412734224e-08
1848,1.6090443422100975e-09
1849,1.4245005175439474e-08
1850,2.7834882843080777e-08
1851,1.5478653025979838e-08
1852,3.6459056218518526e-08
1853,2.388772735173461e-08
1854,3.4291385730966795e-08
1855,4.351688431825096e-08
1856,9.318940286107136e-09
1857,7.810414537345878e-09
1858,1.0276719919488642e-08
1859,3.055303920973529e-08
1860,4.165237399433863e-08
1861,2.87673795895671e-08
1862,3.207770404856092e-08
1863,3.8958042125614156e-08
1864,1.5343129433631475e-08
1865,1.5061901947888146e-08
1866,2.8707116683790446e-08
1867,1.164674756637396e-08
1868,6.174842326345242e-08
1869,3.7603097524652185e-08
1870,6.708837219093766e-08
1871,5.416800519242315e-08
1872,3.205089882385437e-08
1873,2.334541804316359e-08
1874,3.4652732239237594e-08
1875,4.1194994082616176e-08
1876,8.464420275799966e-09
1877,3.154256233983688e-08
1878,3.2611080058586595e-08
1879,1.7717043832021773e-08
1880,3.0805662021293756e-08
1881,4.671580100534811e-08
1882,4.2594464844114555e-08
1883,3.159669503816076e-08
1884,4.951272813968899e-08
1885,2.1915161241281567e-08
1886,3.033127882190456e-08
1887,1.8933882017790893e-08
1888,2.8532765483646472e-08
1889,2.8819629349641218e-08
1890,3.8015443237782165e-08
1891,1.1473596295275001e-08
1892,1.002961980134387e-08
1893,1.6627724974682678e-08
1894,1.0082462864602348e-08
1895,2.8287487907618925e-08
1896,2.358811634906033e-08
1897,2.3889525024856084e-08
1898,2.8291774256672397e-08
1899,3.427098604902312e-08
1900,2.3359739032002835e-08
1901,2.235495522029396e-08
1902,2.6515532880466708e-08
1903,3.2401320737562855e-08
1904,1.3436562973367927e-08
1905,1.1353670004154992e-08
1906,2.2634411678268407e-08
1907,2.0057088434555226e-08
1908,1.9154416719402434e-08
1909,2.7504917454734823e-08
1910,1.977335806202518e-08
1911,1.2236860413850081e-08
1912,1.927485904218429e-08
