year,vingt - six lettres
1800,2.4113379737400464e-08
1801,2.0919863175095088e-08
1802,7.88321372624523e-08
1803,1.071427835341865e-08
1804,8.155216946192922e-09
1805,1.2488940548394112e-08
1806,1.2639726598706602e-08
1807,6.229897042686616e-09
1808,2.4901481765482458e-08
1809,1.7296715171255528e-08
1810,7.692871228925924e-09
1811,5.5186070824220224e-08
1812,3.5051002100772166e-08
1813,3.1470654970888745e-09
1814,3.439378781777691e-09
1815,8.869252887677703e-09
1816,1.7731985657576388e-08
1817,1.7061235979554112e-08
1818,7.819937586361903e-09
1819,2.0350962359749758e-08
1820,2.201283422209599e-08
1821,2.1600643496100247e-09
1822,9.86828574411902e-09
1823,4.31834878966697e-09
1824,7.350030806207997e-09
1825,1.9221408908975945e-09
1826,1.0571650221891105e-08
1827,1.0060654531685032e-09
1828,0.0
1829,1.8730987871862226e-09
1830,3.424176275856894e-09
1831,1.7114482275815135e-08
1832,2.3722035891182713e-08
1833,5.069511921362846e-09
1834,4.091497363134522e-09
1835,4.979763268408988e-09
1836,3.6717449081180575e-09
1837,1.2904679103087346e-08
1838,2.4087851713261443e-08
1839,3.821289507044412e-09
1840,9.046100757359454e-09
1841,2.5973223571895687e-08
1842,9.535770395530108e-09
1843,1.3553774103058913e-08
1844,2.3935895487881e-09
1845,4.880323700717781e-09
1846,1.0891228363618666e-08
1847,1.178119934941435e-09
1848,1.1451721348976207e-08
1849,1.743100241924367e-08
1850,1.7089153203642127e-08
1851,2.3999132903185227e-08
1852,2.3540655647025233e-08
1853,1.24203793916422e-08
1854,3.2962468310415716e-08
1855,1.9780479476594337e-08
1856,7.939596535777582e-09
1857,2.6748487869099336e-09
1858,9.649777865661235e-09
1859,2.3969320750438783e-08
1860,1.7061140056284785e-08
1861,6.712996825086748e-09
1862,1.1387495613135457e-08
1863,1.5899578320599517e-08
1864,2.624769879222555e-08
1865,7.739408225404532e-09
1866,2.0823295088234772e-08
1867,1.437299612661036e-08
1868,2.7049557260738766e-08
1869,1.8214861619014755e-08
1870,9.42493283417889e-09
1871,1.399791038636522e-08
1872,1.3930374187509642e-08
1873,5.90438187231257e-09
1874,3.933098291497572e-09
1875,6.286970499758127e-09
1876,1.4609829013245701e-08
1877,1.8380412858398643e-08
1878,7.311521166286639e-09
1879,1.0080793977351732e-08
1880,1.0600474775745994e-08
1881,1.6905663535737858e-08
1882,3.0043297349902076e-08
1883,1.6023201876436133e-08
1884,8.729811040719682e-09
1885,3.622062838548601e-08
1886,5.0491383074557916e-08
1887,1.944708571954834e-08
1888,3.2848392117479364e-08
1889,4.010155940648019e-08
1890,3.6144871984333804e-08
1891,5.762309951418132e-08
1892,2.3518441194525508e-08
1893,1.6982355077743705e-08
1894,1.4613500631810439e-08
1895,1.859748088861579e-08
1896,2.9269594747916017e-08
1897,3.285339111869234e-08
1898,1.935203719494183e-08
1899,2.9281968072503162e-08
1900,3.154802374893961e-08
1901,1.295142687540718e-08
1902,2.325075643128116e-08
1903,3.397765535595454e-08
1904,2.3147384453636732e-08
1905,1.7663477791529658e-08
1906,1.4756708910379501e-08
1907,1.818780731577263e-08
1908,2.7124322343752283e-08
1909,1.819819672732592e-08
1910,2.4183269164979038e-08
1911,2.2900059626351776e-08
1912,2.126657028256318e-08
1913,1.0531980620953618e-08
1914,3.397833081564272e-08
1915,2.207976557144775e-08
1916,1.934937721159713e-08
1917,1.2061023291209949e-08
1918,2.401162291221226e-08
1919,1.6215913944961358e-08
1920,2.41957920366076e-08
1921,2.5070878706401345e-09
1922,1.9545327245573674e-08
1923,1.7597121981793862e-08
1924,2.9923017952349085e-08
1925,2.193333514810547e-08
1926,4.074082227134568e-08
1927,1.6045484274584965e-08
1928,7.590990946937382e-09
1929,1.4811152082572221e-08
1930,1.5113531759425314e-08
1931,1.3891400696408596e-08
1932,1.5767465999516617e-08
1933,0.0
1934,1.991126419298439e-08
1935,2.7853851891634918e-08
1936,1.208006406017148e-08
1937,9.763313713051502e-09
1938,2.0081756146872465e-08
1939,1.1859522919266396e-08
1940,1.1258459942098398e-08
1941,9.842890946742955e-09
1942,0.0
1943,1.284549089319853e-08
1944,7.098901022573045e-09
1945,9.611848206247942e-09
1946,2.617550975969607e-08
1947,1.5801393526970742e-08
1948,8.422445851863358e-09
1949,8.652859539992619e-09
1950,1.9996698519264555e-08
1951,1.1799059507211496e-08
1952,1.7520423223338355e-08
1953,1.0717434939522263e-08
1954,1.1887395734433426e-08
1955,1.8698087078661274e-08
1956,2.3152537664827832e-08
1957,1.760179768606207e-08
1958,2.8361646364771786e-08
1959,8.574415288897796e-09
1960,1.8368077725483545e-08
1961,1.8403509827180642e-08
1962,1.258966464412481e-08
1963,1.4977584894548812e-08
1964,1.879167638163537e-08
1965,2.413545407975448e-08
1966,2.1998069144046895e-08
1967,1.683884864878138e-08
1968,2.3716484109925773e-08
1969,2.6960799148767478e-08
1970,2.2760448747938256e-08
1971,2.323196268694261e-08
1972,1.7524312667660524e-08
1973,2.0717155990723768e-08
1974,1.492629575494675e-08
1975,1.768358792730851e-08
1976,2.1458651522365813e-08
1977,9.741991213729762e-09
1978,3.2717348830146875e-08
1979,1.868019050554892e-08
1980,1.690650131003224e-08
1981,2.2281042788563354e-08
1982,3.272982862512208e-08
1983,2.499095330676937e-08
1984,1.4646702961584879e-08
1985,1.652103520655146e-08
1986,3.028430173301899e-08
1987,1.678419991879565e-08
1988,2.5684672833037325e-08
1989,1.8083419817127577e-08
1990,3.1640977615765564e-08
1991,1.864678256247032e-08
1992,2.3536640414434373e-08
1993,3.1543572975856193e-08
1994,2.828951428668347e-08
1995,2.7865632135082308e-08
1996,2.508418706081983e-08
1997,2.512435370860544e-08
1998,2.3411520277960562e-08
1999,1.5453942514565e-08
2000,2.7940646019075643e-08
2001,2.34095878237639e-08
2002,2.5776070167182752e-08
2003,2.2235867591646752e-08
2004,2.2544271505164915e-08
2005,2.8939118768001038e-08
2006,2.4232059914197634e-08
2007,2.4432935397111777e-08
2008,3.021744743314514e-08
2009,2.920790120874983e-08
2010,2.53666269656172e-08
2011,2.3499989176833935e-08
2012,3.412104110367409e-08
2013,3.973450857230887e-08
2014,4.6226496408507955e-08
2015,3.1868417127434157e-08
2016,2.911459731635979e-08
2017,2.6216786463972852e-08
2018,2.72174415227866e-08
2019,2.8325012668695138e-08
