year,pièces_NOUN égales_ADJ,pièces_NOUN légales_ADJ
1800,4.7162465932615305e-08,1.2576657937302116e-08
1801,5.476719877606229e-08,9.524730337773235e-09
1802,8.280008501060365e-08,4.475680270843441e-09
1803,1.0921899473714802e-07,0.0
1804,4.449331569844617e-08,0.0
1805,3.4114531644036106e-08,0.0
1806,8.35684019762084e-08,2.305335300434308e-08
1807,0.0,7.402083213037258e-08
1808,6.118399653587403e-08,4.078933102391602e-08
1809,3.162642769893864e-08,6.7770917766551975e-09
1810,1.6380887757350138e-08,3.7442028144596406e-08
1811,5.0141537144554604e-08,1.0028307073639553e-08
1812,2.6672082320544632e-09,4.267533171287141e-08
1813,3.4508900625951355e-08,1.1502966579257645e-08
1814,1.0069366851439554e-07,2.2026739543434815e-08
1815,2.4275012222574333e-08,2.6972236000233352e-08
1816,1.3442102897442965e-07,3.476405652236281e-08
1817,5.916118794857539e-08,1.556873407970727e-09
1818,2.026600220972341e-08,2.98029441125891e-08
1819,8.280840013696888e-09,3.1053151161586356e-09
1820,3.5599443393152796e-09,2.966620371580575e-08
1821,4.930744257336528e-09,1.8736827200882544e-08
1822,8.02049271442229e-09,9.023054303725075e-09
1823,3.063632902922109e-08,1.7788837070042973e-08
1824,2.105278085196005e-08,1.3473780313688621e-08
1825,2.289415235168235e-08,3.258013947515792e-08
1826,1.5854372037438225e-08,3.787433300317389e-08
1827,1.8434546111834038e-09,3.7790819362726324e-08
1828,3.393751413227619e-08,7.33784091266898e-08
1829,7.715858174606183e-09,3.086343269842473e-08
1830,2.400472176589119e-08,1.5655253093882493e-08
1831,1.4032085715598441e-08,1.870944643656003e-08
1832,2.4353944638733083e-08,2.705993829010822e-08
1833,1.3900354645102198e-08,2.548398292390175e-08
1834,5.600718555598405e-09,4.947301235347368e-08
1835,1.739510224751939e-08,1.8151411040889798e-08
1836,1.0753200108126748e-08,9.409050427677812e-09
1837,1.3219993100221927e-08,9.045257876039159e-09
1838,1.199310784016916e-08,1.7674054220151447e-08
1839,2.3771015378315496e-08,9.088918062616358e-09
1840,1.8472096741106725e-08,8.280594876453051e-09
1841,2.247191943638427e-08,1.3483152372373297e-08
1842,1.408735705865638e-08,2.2808102073668124e-08
1843,1.1813821920725331e-08,7.088293507706567e-09
1844,1.4270259640625227e-08,3.841992946007622e-09
1845,1.1160455670733427e-08,1.3950569588416784e-08
1846,1.4050803187615202e-08,5.854501328173001e-09
1847,9.168480197274675e-09,1.4022381478184798e-08
1848,5.63165514222419e-09,3.539897619475596e-08
1849,1.1731181359664333e-08,2.4300303991253713e-08
1850,5.431196825611551e-09,8.82569484161877e-09
1851,6.449438760824933e-10,8.384270167027807e-09
1852,2.929745512858517e-08,2.018269107395554e-08
1853,1.7318601663873778e-08,4.120633079196523e-08
1854,9.352196350675968e-09,6.234797567117312e-09
1855,1.2736649068756378e-08,9.552486801567284e-09
1856,5.694908100650764e-09,5.694908100650764e-09
1857,8.298565390418844e-09,6.8341128311999455e-09
1858,9.297984604472731e-09,2.936205500958522e-09
1859,2.34239969643113e-08,1.5785737161877478e-08
1860,2.5632230560290736e-08,1.0069804545764782e-08
1861,1.3204698667834691e-08,1.226150558863992e-08
1862,1.0843167252971853e-08,1.490935552794781e-08
1863,1.4983863039219614e-09,1.6482248454963155e-08
1864,1.342523781033833e-08,9.589456340108882e-09
1865,5.177528628053096e-09,2.4946274379544775e-08
1866,3.4059290943133647e-09,1.897589108068587e-08
1867,8.249779526181555e-09,6.79393608038481e-09
1868,1.2843672791973404e-08,3.457911734727759e-09
1869,6.8369265804335555e-09,1.4650557433881772e-09
1870,7.454262984651905e-09,1.6628741050794815e-08
1871,3.18635318130589e-09,5.3105884134652115e-09
1872,5.442605477412599e-09,0.0
1873,2.9930022904522957e-09,1.1373408881354408e-08
1874,4.182226565063729e-09,8.961913877669758e-09
1875,1.0298748520654044e-08,3.20405533216217e-08
1876,1.0882827083946722e-08,1.4510435519810017e-08
1877,6.80329748092845e-09,7.421779191219002e-09
1878,1.4493812372506909e-08,4.046189516770937e-08
1879,1.4662380642960215e-08,9.163987790827832e-09
1880,2.1820676820993867e-08,9.626769603698904e-09
