year,trois_DET êtres_NOUN,trois_DET lettres_NOUN
1800,3.772997425599556e-08,9.621143064464377e-07
1801,3.095537337571841e-08,8.596068994393136e-07
1802,2.4616241489638924e-08,7.317737242829025e-07
1803,2.3404070459420723e-08,5.265916156460548e-07
1804,1.9774807569206132e-08,6.204346103544367e-07
1805,5.685755422035754e-09,7.249338143111572e-07
1806,1.4408345627714425e-08,7.002455690852116e-07
1807,3.4163463169534225e-08,5.921666854646901e-07
1808,4.985362878073829e-08,7.3874011263797e-07
1809,1.8072244145628247e-08,6.957814007169105e-07
1810,4.446240886579744e-08,8.775475492939222e-07
1811,0.0,7.120098279855824e-07
1812,5.601137331723294e-08,7.201462337569353e-07
1813,2.0130190847567064e-08,1.0812788471259438e-06
1814,5.034683425719777e-08,8.401627766829733e-07
1815,4.045835311217161e-08,7.363420477801697e-07
1816,6.489290882427667e-08,6.697875249983554e-07
1817,4.514932783195036e-08,7.644248265492593e-07
1818,1.1921176934492905e-08,6.03211573135809e-07
1819,5.4860564091541164e-08,7.56661778567036e-07
1820,4.034603762193001e-08,9.089724493094309e-07
1821,2.070912508145284e-08,9.960103355410865e-07
1822,5.213320264374488e-08,7.769852317096593e-07
1823,3.360113609574e-08,7.283540028879543e-07
1824,5.810567671460376e-08,7.983214729279098e-07
1825,1.584979791857677e-08,8.611723316676034e-07
1826,2.3781558056157337e-08,9.107455625212424e-07
1827,3.410390903013649e-08,7.770161332132375e-07
1828,5.870272801189458e-08,7.567148330167583e-07
1829,7.287199821348622e-08,1.0244945460868848e-06
1830,2.5048405571936883e-08,6.867437818414146e-07
1831,1.2940700400143612e-07,8.372477662277333e-07
1832,3.382492430592521e-08,7.19794368997384e-07
1833,6.486831694019202e-08,6.313077438591108e-07
1834,7.654315115068755e-08,6.814207837990693e-07
1835,5.7479468296151026e-08,7.147118310513179e-07
1836,4.771732520225669e-08,7.345779877709901e-07
1837,4.731365876864402e-08,7.340574788017307e-07
1838,4.5447563934430946e-08,6.747701277731721e-07
1839,4.61437359433603e-08,5.726018184049053e-07
1840,7.707323418371104e-08,6.095792057791982e-07
1841,7.51204178861542e-08,5.932586759627156e-07
1842,8.38533114055906e-08,7.050386638951522e-07
1843,1.0396163219184018e-07,7.791215477226388e-07
1844,5.872760455716275e-08,5.993508880308696e-07
1845,6.194053203678607e-08,7.762096823071829e-07
1846,6.791221629498523e-08,7.294708961325114e-07
1847,7.496581044819095e-08,8.154554258510416e-07
1848,6.436177302227009e-08,9.163507570519869e-07
1849,6.200767188602185e-08,6.619738073254666e-07
1850,9.776154019647265e-08,1.024459493237373e-06
1851,1.1608989880507181e-07,8.655146572777994e-07
1852,6.445440292601745e-08,7.669422501521694e-07
1853,7.166317939066857e-08,8.181546533592154e-07
1854,2.2860923654111076e-08,9.580805446773866e-07
1855,7.695059167645013e-08,9.998269234756663e-07
1856,7.196292928224324e-08,8.221376734951491e-07
1857,3.807577209080648e-08,9.143066357353291e-07
1858,7.487324071853152e-08,9.479050575578185e-07
1859,4.8375645045339866e-08,7.368374603800021e-07
1860,6.728460233418332e-08,8.925508878654398e-07
1861,5.470517860928226e-08,8.163333147237495e-07
1862,7.409497770893836e-08,9.207655882192967e-07
1863,6.592899470803104e-08,9.5447203030119e-07
1864,6.329041157826509e-08,8.362005736728406e-07
1865,4.989254875908955e-08,8.161668247907983e-07
1866,4.4763637518929755e-08,9.040308848184964e-07
1867,4.707226963773792e-08,7.541268995936434e-07
1868,4.791677721271981e-08,7.23197585372759e-07
1869,5.371871036885523e-08,9.72796986964397e-07
1870,5.9060703438973405e-08,9.489850825161739e-07
1871,3.080141386391233e-08,9.240424176937267e-07
1872,5.321658758106196e-08,8.550937622420207e-07
