year,six_DET ans_NOUN
1800,6.759953720347767e-06
1801,7.886476510066132e-06
1802,7.107380127990837e-06
1803,7.389835104731901e-06
1804,7.1930861622604425e-06
1805,7.68145565643863e-06
1806,6.962112436781354e-06
1807,6.9693459607833574e-06
1808,8.413932434336857e-06
1809,9.476632953919761e-06
1810,7.1186657208954784e-06
1811,9.504328119191996e-06
1812,7.758908907362638e-06
1813,8.233248465217002e-06
1814,8.341840668890654e-06
1815,8.078184919213527e-06
1816,7.103455928358926e-06
1817,7.508800294431239e-06
1818,9.274676045833985e-06
1819,8.741461670069839e-06
1820,9.78510053073478e-06
1821,9.401943003695123e-06
1822,8.174887526024577e-06
1823,8.049448595670583e-06
1824,8.182794758226919e-06
1825,8.92431688725992e-06
1826,8.252200728975367e-06
1827,8.277110993049064e-06
1828,8.341290694602321e-06
1829,8.215674355938063e-06
1830,7.826583114933783e-06
1831,8.09495422515738e-06
1832,8.316872239788609e-06
1833,8.112014782568622e-06
1834,8.397344146260366e-06
1835,7.983595736504867e-06
1836,9.062259721304144e-06
1837,9.680513755938591e-06
1838,8.56118555248031e-06
1839,8.098225379171708e-06
1840,8.282506257728528e-06
1841,8.23692136009413e-06
1842,8.677811962343185e-06
1843,9.178749195370983e-06
1844,8.18783567524406e-06
1845,8.483620376864565e-06
1846,8.659393159859974e-06
1847,8.745651399522103e-06
1848,9.116845689050024e-06
1849,7.959606250551587e-06
1850,8.359969399407419e-06
1851,7.934099699014041e-06
1852,8.295086217913195e-06
1853,8.6885632697431e-06
1854,8.29332003604577e-06
1855,8.936351576949164e-06
1856,8.318707813259607e-06
1857,8.520673929979239e-06
1858,8.792957231662513e-06
1859,8.425509747667093e-06
1860,8.256781939053326e-06
1861,8.391113908601255e-06
1862,8.504657046159991e-06
1863,9.00729875752404e-06
1864,8.913879014471604e-06
1865,8.438900920282322e-06
1866,8.401940647217998e-06
1867,9.219371634117124e-06
1868,8.474848101513999e-06
1869,8.290750784567535e-06
1870,9.004749870200612e-06
1871,7.561216136764415e-06
1872,8.254617711145329e-06
1873,8.536042628293217e-06
1874,8.848395907534723e-06
1875,9.37243396492704e-06
1876,1.0109541591418747e-05
1877,8.723682753952744e-06
1878,9.005488635693837e-06
1879,9.308778459171663e-06
1880,9.038252812842984e-06
1881,8.993837383286518e-06
1882,9.235012072394966e-06
1883,9.712824123653263e-06
1884,9.60612931066862e-06
1885,9.295251317098518e-06
1886,8.962570746007259e-06
1887,9.25409787555509e-06
1888,9.33401850033988e-06
1889,8.90589154778354e-06
1890,8.727821324328033e-06
1891,8.660015652139919e-06
1892,9.039194992510602e-06
1893,8.597765742024421e-06
1894,8.841059724318256e-06
1895,8.795001605221842e-06
1896,8.83846732335769e-06
1897,8.67306337681839e-06
1898,8.799873086218213e-06
1899,9.519595380425017e-06
1900,9.252533004655561e-06
1901,8.830207377741317e-06
1902,7.725840589500876e-06
1903,8.553949015777107e-06
1904,9.039582124614753e-06
1905,9.115964360262296e-06
1906,9.140701195065049e-06
1907,9.28437549418959e-06
1908,9.266317562151016e-06
1909,9.199295163853094e-06
1910,8.924197516080312e-06
1911,9.115396665038134e-06
1912,9.872894793261366e-06
1913,9.067052019418043e-06
1914,9.057345749852175e-06
1915,6.9506495208315755e-06
1916,6.81881874697865e-06
1917,6.603980949648758e-06
1918,6.936622725106645e-06
1919,7.513604458608825e-06
1920,8.302195169562765e-06
1921,7.881715504254316e-06
1922,7.11675654940791e-06
1923,7.289971534873985e-06
1924,7.915457615581545e-06
1925,8.166147040356009e-06
1926,7.673001761077103e-06
1927,8.101026736540007e-06
1928,7.646306698916305e-06
1929,8.35307687907516e-06
1930,8.281041317559357e-06
1931,8.560860919715196e-06
1932,8.659129548505007e-06
1933,7.585548985389323e-06
1934,7.029593177776405e-06
1935,7.556774704653435e-06
1936,7.696768733467252e-06
1937,7.2235244488183525e-06
1938,6.880639119799525e-06
1939,6.9832632618727075e-06
1940,6.937902242043492e-06
1941,6.726474225615675e-06
1942,6.9089000476196816e-06
1943,6.662924818101601e-06
1944,6.410306468751514e-06
1945,7.78161637526864e-06
1946,7.978184697776669e-06
1947,7.5077644510201935e-06
1948,7.035198734683945e-06
1949,7.725003882796955e-06
1950,7.0055124865575635e-06
1951,7.440592469265539e-06
1952,7.144104500866888e-06
1953,7.245399046951206e-06
1954,6.996158447236667e-06
1955,6.984769157725168e-06
1956,7.222849291110833e-06
1957,6.597122762741492e-06
1958,7.1645901016381686e-06
1959,7.522875876020407e-06
1960,7.4025233516294975e-06
1961,7.574883341021632e-06
1962,7.210804341184485e-06
1963,7.304053582402048e-06
1964,7.651806782860149e-06
1965,7.128431093406107e-06
1966,7.239016696303224e-06
1967,7.428536520137641e-06
1968,7.658313080582957e-06
